Year,Units,Series,Value
1999,Percentage,<u>Time series of the indicator:</u> Data from the Federal Statistical Office,2.852
2000,Percentage,<u>Time series of the indicator:</u> Data from the Federal Statistical Office,
2001,Percentage,<u>Time series of the indicator:</u> Data from the Federal Statistical Office,3.573
2002,Percentage,<u>Time series of the indicator:</u> Data from the Federal Statistical Office,
2003,Percentage,<u>Time series of the indicator:</u> Data from the Federal Statistical Office,4.299
2004,Percentage,<u>Time series of the indicator:</u> Data from the Federal Statistical Office,
2005,Percentage,<u>Time series of the indicator:</u> Data from the Federal Statistical Office,4.593
2006,Percentage,<u>Time series of the indicator:</u> Data from the Federal Statistical Office,
2007,Percentage,<u>Time series of the indicator:</u> Data from the Federal Statistical Office,5.079
2008,Percentage,<u>Time series of the indicator:</u> Data from the Federal Statistical Office,
2009,Percentage,<u>Time series of the indicator:</u> Data from the Federal Statistical Office,
2010,Percentage,<u>Time series of the indicator:</u> Data from the Federal Statistical Office,5.636
2011,Percentage,<u>Time series of the indicator:</u> Data from the Federal Statistical Office,
2012,Percentage,<u>Time series of the indicator:</u> Data from the Federal Statistical Office,5.76
2013,Percentage,<u>Time series of the indicator:</u> Data from the Federal Statistical Office,6.04
2014,Percentage,<u>Time series of the indicator:</u> Data from the Federal Statistical Office,6.18
2015,Percentage,<u>Time series of the indicator:</u> Data from the Federal Statistical Office,6.34
2016,Percentage,<u>Time series of the indicator:</u> Data from the Federal Statistical Office,6.82
2017,Percentage,<u>Time series of the indicator:</u> Data from the Federal Statistical Office,6.82
2018,Percentage,<u>Time series of the indicator:</u> Data from the Federal Statistical Office,7.34
2019,Percentage,<u>Time series of the indicator:</u> Data from the Federal Statistical Office,7.75
2020,Percentage,<u>Time series of the indicator:</u> Data from the Federal Statistical Office,9.59
2021,Percentage,<u>Time series of the indicator:</u> Data from the Federal Statistical Office,9.65
2022,Percentage,<u>Time series of the indicator:</u> Data from the Federal Statistical Office,9.774
2023,Percentage,<u>Time series of the indicator:</u> Data from the Federal Statistical Office,11.17
2030,Percentage,<u>Time series of the indicator:</u> Data from the Federal Statistical Office,
1999,Percentage,<u>Additional time series:</u> Data from the BMLEH,2.6
2000,Percentage,<u>Additional time series:</u> Data from the BMLEH,3.2
2001,Percentage,<u>Additional time series:</u> Data from the BMLEH,3.7
2002,Percentage,<u>Additional time series:</u> Data from the BMLEH,4.1
2003,Percentage,<u>Additional time series:</u> Data from the BMLEH,4.3
2004,Percentage,<u>Additional time series:</u> Data from the BMLEH,4.5
2005,Percentage,<u>Additional time series:</u> Data from the BMLEH,4.7
2006,Percentage,<u>Additional time series:</u> Data from the BMLEH,4.9
2007,Percentage,<u>Additional time series:</u> Data from the BMLEH,5.1
2008,Percentage,<u>Additional time series:</u> Data from the BMLEH,5.4
2009,Percentage,<u>Additional time series:</u> Data from the BMLEH,5.6
2010,Percentage,<u>Additional time series:</u> Data from the BMLEH,5.9
2011,Percentage,<u>Additional time series:</u> Data from the BMLEH,6.1
2012,Percentage,<u>Additional time series:</u> Data from the BMLEH,6.2
2013,Percentage,<u>Additional time series:</u> Data from the BMLEH,6.3
2014,Percentage,<u>Additional time series:</u> Data from the BMLEH,6.3
2015,Percentage,<u>Additional time series:</u> Data from the BMLEH,6.5
2016,Percentage,<u>Additional time series:</u> Data from the BMLEH,7.5
2017,Percentage,<u>Additional time series:</u> Data from the BMLEH,8.2
2018,Percentage,<u>Additional time series:</u> Data from the BMLEH,9.1
2019,Percentage,<u>Additional time series:</u> Data from the BMLEH,9.7
2020,Percentage,<u>Additional time series:</u> Data from the BMLEH,10.3
2021,Percentage,<u>Additional time series:</u> Data from the BMLEH,10.9
2022,Percentage,<u>Additional time series:</u> Data from the BMLEH,11.2
2023,Percentage,<u>Additional time series:</u> Data from the BMLEH,11.4
2030,Percentage,<u>Additional time series:</u> Data from the BMLEH,
