Year,Units,Sex,Age group,Value
1999,Percentage,,,10.7
2003,Percentage,,,11.7
2005,Percentage,,,12.5
2009,Percentage,,,13.3
2013,Percentage,,,14.1
2017,Percentage,,,14.789
2021,Percentage,,,15.431
2000,Percentage,,,
2001,Percentage,,,
2002,Percentage,,,
2004,Percentage,,,
2006,Percentage,,,
2007,Percentage,,,
2008,Percentage,,,
2010,Percentage,,,
2011,Percentage,,,
2012,Percentage,,,
2014,Percentage,,,
2015,Percentage,,,
2016,Percentage,,,
2018,Percentage,,,
2019,Percentage,,,
2020,Percentage,,,
1999,Percentage,,18 to under 20 years,
2003,Percentage,,18 to under 20 years,
2005,Percentage,,18 to under 20 years,
2009,Percentage,,18 to under 20 years,
2013,Percentage,,18 to under 20 years,3.473
2017,Percentage,,18 to under 20 years,4.241
2021,Percentage,,18 to under 20 years,5.5
2000,Percentage,,18 to under 20 years,
2001,Percentage,,18 to under 20 years,
2002,Percentage,,18 to under 20 years,
2004,Percentage,,18 to under 20 years,
2006,Percentage,,18 to under 20 years,
2007,Percentage,,18 to under 20 years,
2008,Percentage,,18 to under 20 years,
2010,Percentage,,18 to under 20 years,
2011,Percentage,,18 to under 20 years,
2012,Percentage,,18 to under 20 years,
2014,Percentage,,18 to under 20 years,
2015,Percentage,,18 to under 20 years,
2016,Percentage,,18 to under 20 years,
2018,Percentage,,18 to under 20 years,
2019,Percentage,,18 to under 20 years,
2020,Percentage,,18 to under 20 years,
1999,Percentage,,20 to under 25 years,
2003,Percentage,,20 to under 25 years,
2005,Percentage,,20 to under 25 years,
2009,Percentage,,20 to under 25 years,
2013,Percentage,,20 to under 25 years,5.597
2017,Percentage,,20 to under 25 years,6.013
2021,Percentage,,20 to under 25 years,6.2
2000,Percentage,,20 to under 25 years,
2001,Percentage,,20 to under 25 years,
2002,Percentage,,20 to under 25 years,
2004,Percentage,,20 to under 25 years,
2006,Percentage,,20 to under 25 years,
2007,Percentage,,20 to under 25 years,
2008,Percentage,,20 to under 25 years,
2010,Percentage,,20 to under 25 years,
2011,Percentage,,20 to under 25 years,
2012,Percentage,,20 to under 25 years,
2014,Percentage,,20 to under 25 years,
2015,Percentage,,20 to under 25 years,
2016,Percentage,,20 to under 25 years,
2018,Percentage,,20 to under 25 years,
