Year,Units,Time series,Value
2015,Million euros,Germany’s contribution to global pandemic prevention and response,147.9
2016,Million euros,Germany’s contribution to global pandemic prevention and response,154.5
2017,Million euros,Germany’s contribution to global pandemic prevention and response,322.1
2018,Million euros,Germany’s contribution to global pandemic prevention and response,279.4
2019,Million euros,Germany’s contribution to global pandemic prevention and response,300.5
2020,Million euros,Germany’s contribution to global pandemic prevention and response,398.3
2021,Million euros,Germany’s contribution to global pandemic prevention and response,396.7
2022,Million euros,Germany’s contribution to global pandemic prevention and response,452.8
2023,Million euros,Germany’s contribution to global pandemic prevention and response,587.6
2030,Million euros,Germany’s contribution to global pandemic prevention and response,
2015,Million euros,Separate amount devoted to curbing the COVID-19 pandemic,0.0
2016,Million euros,Separate amount devoted to curbing the COVID-19 pandemic,0.0
2017,Million euros,Separate amount devoted to curbing the COVID-19 pandemic,0.0
2018,Million euros,Separate amount devoted to curbing the COVID-19 pandemic,0.0
2019,Million euros,Separate amount devoted to curbing the COVID-19 pandemic,0.0
2020,Million euros,Separate amount devoted to curbing the COVID-19 pandemic,743.7
2021,Million euros,Separate amount devoted to curbing the COVID-19 pandemic,842.7
2022,Million euros,Separate amount devoted to curbing the COVID-19 pandemic,1224.9
2023,Million euros,Separate amount devoted to curbing the COVID-19 pandemic,30.7
2030,Million euros,Separate amount devoted to curbing the COVID-19 pandemic,
