Year,Units,Time series,Value
2006,Hours,Mothers,14.747
2007,Hours,Mothers,14.947
2008,Hours,Mothers,15.51
2009,Hours,Mothers,15.848
2010,Hours,Mothers,16.244
2011,Hours,Mothers,16.689
2012,Hours,Mothers,17.008
2013,Hours,Mothers,17.23
2014,Hours,Mothers,17.393
2015,Hours,Mothers,17.576
2016,Hours,Mothers,17.894
2017,Hours,Mothers,18.037
2018,Hours,Mothers,18.361
2019,Hours,Mothers,18.704
2020,Hours,Mothers,18.443
2021,Hours,Mothers,18.726
2022,Hours,Mothers,19.073
2023,Hours,Mothers,19.201
2006,Hours,Fathers,35.927
2007,Hours,Fathers,36.254
2008,Hours,Fathers,38.093
2009,Hours,Fathers,37.84
2010,Hours,Fathers,38.05
2011,Hours,Fathers,38.648
2012,Hours,Fathers,38.766
2013,Hours,Fathers,38.466
2014,Hours,Fathers,38.201
2015,Hours,Fathers,38.048
2016,Hours,Fathers,37.898
2017,Hours,Fathers,37.623
2018,Hours,Fathers,37.581
2019,Hours,Fathers,37.587
2020,Hours,Fathers,36.528
2021,Hours,Fathers,36.515
2022,Hours,Fathers,36.982
2023,Hours,Fathers,36.783
2006,Hours,Difference,21.18
2007,Hours,Difference,21.307
2008,Hours,Difference,22.583
2009,Hours,Difference,21.992
2010,Hours,Difference,21.806
2011,Hours,Difference,21.959
2012,Hours,Difference,21.758
2013,Hours,Difference,21.236
2014,Hours,Difference,20.808
2015,Hours,Difference,20.472
2016,Hours,Difference,20.004
2017,Hours,Difference,19.586
2018,Hours,Difference,19.22
2019,Hours,Difference,18.883
2020,Hours,Difference,18.085
2021,Hours,Difference,17.789
2022,Hours,Difference,17.909
2023,Hours,Difference,17.585
