Year,Units,Time series,Value
2012,Millions,XXXPeople gaining first-time or upgraded access to drinking water or sanitation,10.6
2013,Millions,XXXPeople gaining first-time or upgraded access to drinking water or sanitation,11.6
2014,Millions,XXXPeople gaining first-time or upgraded access to drinking water or sanitation,31.0
2015,Millions,XXXPeople gaining first-time or upgraded access to drinking water or sanitation,11.0
2016,Millions,XXXPeople gaining first-time or upgraded access to drinking water or sanitation,14.3
2017,Millions,XXXPeople gaining first-time or upgraded access to drinking water or sanitation,28.6
2018,Millions,XXXPeople gaining first-time or upgraded access to drinking water or sanitation,60.3
2019,Millions,XXXPeople gaining first-time or upgraded access to drinking water or sanitation,
2020,Millions,XXXPeople gaining first-time or upgraded access to drinking water or sanitation,
2021,Millions,XXXPeople gaining first-time or upgraded access to drinking water or sanitation,
2022,Millions,XXXPeople gaining first-time or upgraded access to drinking water or sanitation,
2023,Millions,XXXPeople gaining first-time or upgraded access to drinking water or sanitation,
2012,Millions,XXXPeople gaining first-time or upgraded access to drinking water,
2013,Millions,XXXPeople gaining first-time or upgraded access to drinking water,
2014,Millions,XXXPeople gaining first-time or upgraded access to drinking water,
2015,Millions,XXXPeople gaining first-time or upgraded access to drinking water,
2016,Millions,XXXPeople gaining first-time or upgraded access to drinking water,
2017,Millions,XXXPeople gaining first-time or upgraded access to drinking water,
2018,Millions,XXXPeople gaining first-time or upgraded access to drinking water,
2019,Millions,XXXPeople gaining first-time or upgraded access to drinking water,14.3
2020,Millions,XXXPeople gaining first-time or upgraded access to drinking water,10.9
2021,Millions,XXXPeople gaining first-time or upgraded access to drinking water,9.3
2022,Millions,XXXPeople gaining first-time or upgraded access to drinking water,14.8
2023,Millions,XXXPeople gaining first-time or upgraded access to drinking water,10.2
2012,Millions,XXXNumber of people gaining first-time or improved access to sanitation,
2013,Millions,XXXNumber of people gaining first-time or improved access to sanitation,
2014,Millions,XXXNumber of people gaining first-time or improved access to sanitation,
2015,Millions,XXXNumber of people gaining first-time or improved access to sanitation,
2016,Millions,XXXNumber of people gaining first-time or improved access to sanitation,
2017,Millions,XXXNumber of people gaining first-time or improved access to sanitation,
2018,Millions,XXXNumber of people gaining first-time or improved access to sanitation,
2019,Millions,XXXNumber of people gaining first-time or improved access to sanitation,6.1
2020,Millions,XXXNumber of people gaining first-time or improved access to sanitation,1.8
2021,Millions,XXXNumber of people gaining first-time or improved access to sanitation,3.0
2022,Millions,XXXNumber of people gaining first-time or improved access to sanitation,6.3
2023,Millions,XXXNumber of people gaining first-time or improved access to sanitation,3.0
