Year,Units,Series,Value
2008,2008 = 100,a) Final energy productivity,100.0
2009,2008 = 100,a) Final energy productivity,100.639
2010,2008 = 100,a) Final energy productivity,98.304
2011,2008 = 100,a) Final energy productivity,106.161
2012,2008 = 100,a) Final energy productivity,105.707
2013,2008 = 100,a) Final energy productivity,103.9
2014,2008 = 100,a) Final energy productivity,112.129
2015,2008 = 100,a) Final energy productivity,110.64
2016,2008 = 100,a) Final energy productivity,112.256
2017,2008 = 100,a) Final energy productivity,114.263
2018,2008 = 100,a) Final energy productivity,116.973
2019,2008 = 100,a) Final energy productivity,118.235
2020,2008 = 100,a) Final energy productivity,121.138
2021,2008 = 100,a) Final energy productivity,121.041
2022,2008 = 100,a) Final energy productivity,126.62
2023,2008 = 100,a) Final energy productivity,131.763
2024,2008 = 100,a) Final energy productivity,
2030,2008 = 100,a) Final energy productivity,
2008,2008 = 100,b) Primary energy consumption,100.0
2009,2008 = 100,b) Primary energy consumption,93.945
2010,2008 = 100,b) Primary energy consumption,98.304
2011,2008 = 100,b) Primary energy consumption,94.048
2012,2008 = 100,b) Primary energy consumption,94.75
2013,2008 = 100,b) Primary energy consumption,96.71
2014,2008 = 100,b) Primary energy consumption,92.085
2015,2008 = 100,b) Primary energy consumption,93.031
2016,2008 = 100,b) Primary energy consumption,93.905
2017,2008 = 100,b) Primary energy consumption,94.062
2018,2008 = 100,b) Primary energy consumption,91.704
2019,2008 = 100,b) Primary energy consumption,89.132
2020,2008 = 100,b) Primary energy consumption,82.719
2021,2008 = 100,b) Primary energy consumption,86.59
2022,2008 = 100,b) Primary energy consumption,81.246
2023,2008 = 100,b) Primary energy consumption,74.123
2024,2008 = 100,b) Primary energy consumption,73.335
2030,2008 = 100,b) Primary energy consumption,
