Year,Units,Time series,COMMENT_OBS_0,Value
2010,2010 = 100,Raw material input productivity,,100.0
2011,2010 = 100,Raw material input productivity,r,98.0
2012,2010 = 100,Raw material input productivity,r,101.0
2013,2010 = 100,Raw material input productivity,,101.0
2014,2010 = 100,Raw material input productivity,r,102.0
2015,2010 = 100,Raw material input productivity,r,106.0
2016,2010 = 100,Raw material input productivity,r,105.0
2017,2010 = 100,Raw material input productivity,r,108.0
2018,2010 = 100,Raw material input productivity,r,109.0
2019,2010 = 100,Raw material input productivity,r,112.0
2020,2010 = 100,Raw material input productivity,r,121.0
2021,2010 = 100,Raw material input productivity,r,121.0
2022,2010 = 100,Raw material input productivity,r,124.0
2023,2010 = 100,Raw material input productivity,p,136.0
2030,2010 = 100,Raw material input productivity,…,
2010,2010 = 100,"Raw material input for consumption, investment and exports",,100.0
2011,2010 = 100,"Raw material input for consumption, investment and exports",,107.0
2012,2010 = 100,"Raw material input for consumption, investment and exports",r,104.0
2013,2010 = 100,"Raw material input for consumption, investment and exports",r,105.0
2014,2010 = 100,"Raw material input for consumption, investment and exports",r,106.0
2015,2010 = 100,"Raw material input for consumption, investment and exports",r,104.0
2016,2010 = 100,"Raw material input for consumption, investment and exports",r,109.0
2017,2010 = 100,"Raw material input for consumption, investment and exports",r,109.0
2018,2010 = 100,"Raw material input for consumption, investment and exports",r,110.0
2019,2010 = 100,"Raw material input for consumption, investment and exports",r,109.0
2020,2010 = 100,"Raw material input for consumption, investment and exports",r,96.0
2021,2010 = 100,"Raw material input for consumption, investment and exports",r,100.0
2022,2010 = 100,"Raw material input for consumption, investment and exports",r,101.0
2023,2010 = 100,"Raw material input for consumption, investment and exports",p,92.0
2030,2010 = 100,"Raw material input for consumption, investment and exports",…,
2010,2010 = 100,"Value of consumption, investment and exports (price-adjusted)",,100.0
2011,2010 = 100,"Value of consumption, investment and exports (price-adjusted)",,105.0
2012,2010 = 100,"Value of consumption, investment and exports (price-adjusted)",,105.0
2013,2010 = 100,"Value of consumption, investment and exports (price-adjusted)",,106.0
2014,2010 = 100,"Value of consumption, investment and exports (price-adjusted)",,108.0
2015,2010 = 100,"Value of consumption, investment and exports (price-adjusted)",,111.0
2016,2010 = 100,"Value of consumption, investment and exports (price-adjusted)",,114.0
2017,2010 = 100,"Value of consumption, investment and exports (price-adjusted)",r,118.0
2018,2010 = 100,"Value of consumption, investment and exports (price-adjusted)",,120.0
2019,2010 = 100,"Value of consumption, investment and exports (price-adjusted)",,122.0
2020,2010 = 100,"Value of consumption, investment and exports (price-adjusted)",,116.0
2021,2010 = 100,"Value of consumption, investment and exports (price-adjusted)",r,122.0
2022,2010 = 100,"Value of consumption, investment and exports (price-adjusted)",,125.0
2023,2010 = 100,"Value of consumption, investment and exports (price-adjusted)",p,125.0
2030,2010 = 100,"Value of consumption, investment and exports (price-adjusted)",…,
2010,2010 = 100,Raw material consumption and investment,,100.0
2011,2010 = 100,Raw material consumption and investment,,108.0
2012,2010 = 100,Raw material consumption and investment,r,102.0
2013,2010 = 100,Raw material consumption and investment,,102.0
2014,2010 = 100,Raw material consumption and investment,,103.0
2015,2010 = 100,Raw material consumption and investment,r,99.0
2016,2010 = 100,Raw material consumption and investment,,103.0
2017,2010 = 100,Raw material consumption and investment,,106.0
2018,2010 = 100,Raw material consumption and investment,r,108.0
2019,2010 = 100,Raw material consumption and investment,,106.0
2020,2010 = 100,Raw material consumption and investment,r,99.0
2021,2010 = 100,Raw material consumption and investment,r,103.0
2022,2010 = 100,Raw material consumption and investment,r,103.0
2023,2010 = 100,Raw material consumption and investment,p,93.0
2030,2010 = 100,Raw material consumption and investment,…,
2010,2010 = 100,Raw material consumption for exports,,100.0
2011,2010 = 100,Raw material consumption for exports,r,107.0
2012,2010 = 100,Raw material consumption for exports,,104.0
2013,2010 = 100,Raw material consumption for exports,r,105.0
2014,2010 = 100,Raw material consumption for exports,r,106.0
2015,2010 = 100,Raw material consumption for exports,r,104.0
2016,2010 = 100,Raw material consumption for exports,r,109.0
2017,2010 = 100,Raw material consumption for exports,r,109.0
2018,2010 = 100,Raw material consumption for exports,r,110.0
2019,2010 = 100,Raw material consumption for exports,r,109.0
2020,2010 = 100,Raw material consumption for exports,r,96.0
2021,2010 = 100,Raw material consumption for exports,r,100.0
2022,2010 = 100,Raw material consumption for exports,r,101.0
2023,2010 = 100,Raw material consumption for exports,p,92.0
2030,2010 = 100,Raw material consumption for exports,…,
