Year,Units,COMMENT_OBS_0,COMMENT_OBS_1,Länder,GeoCode,Value
1991,Percentage,,,,,39.0
1992,Percentage,,,,,41.4
1993,Percentage,,,,,45.1
1994,Percentage,,,,,47.5
1995,Percentage,,,,,54.9
1996,Percentage,,,,,57.7
1997,Percentage,,,,,58.8
1998,Percentage,,,,,59.4
1999,Percentage,,,,,60.3
2000,Percentage,,,,,59.2
2001,Percentage,,,,,58.1
2002,Percentage,,,,,59.8
2003,Percentage,,,,,63.3
2004,Percentage,,,,,65.0
2005,Percentage,,,,,67.1
2006,Percentage,,,,,66.4
2007,Percentage,,,,,63.7
2008,Percentage,,,,,65.2
2009,Percentage,r,,,,72.4
2010,Percentage,,,,,81.0
2011,Percentage,,,,,78.5
2012,Percentage,,,,,79.8
2013,Percentage,r,,,,77.5
2014,Percentage,,,,,74.5
2015,Percentage,,,,,71.2
2016,Percentage,,,,,68.3
2017,Percentage,,,,,64.0
2018,Percentage,,,,,60.8
2019,Percentage,,,,,58.7
2020,Percentage,r,,,,68.0
2021,Percentage,r,,,,67.9
2022,Percentage,r,p,,,64.4
2023,Percentage,r,p,,,62.3
2024,Percentage,r,p,,,62.2
1991,Percentage,,,Baden-Wuerttemberg,code08,11.508
1992,Percentage,,,Baden-Wuerttemberg,code08,11.591
1993,Percentage,,,Baden-Wuerttemberg,code08,11.617
1994,Percentage,,,Baden-Wuerttemberg,code08,11.696
1995,Percentage,,,Baden-Wuerttemberg,code08,11.951
1996,Percentage,,,Baden-Wuerttemberg,code08,11.807
1997,Percentage,,,Baden-Wuerttemberg,code08,12.098
1998,Percentage,,,Baden-Wuerttemberg,code08,11.983
1999,Percentage,,,Baden-Wuerttemberg,code08,11.831
2000,Percentage,r,,Baden-Wuerttemberg,code08,11.623
2001,Percentage,r,,Baden-Wuerttemberg,code08,11.289
2002,Percentage,r,,Baden-Wuerttemberg,code08,11.998
2003,Percentage,r,,Baden-Wuerttemberg,code08,12.111
2004,Percentage,r,,Baden-Wuerttemberg,code08,12.661
2005,Percentage,r,,Baden-Wuerttemberg,code08,13.06
2006,Percentage,r,,Baden-Wuerttemberg,code08,12.826
2007,Percentage,r,,Baden-Wuerttemberg,code08,12.618
2008,Percentage,r,,Baden-Wuerttemberg,code08,12.32
2009,Percentage,r,,Baden-Wuerttemberg,code08,17.799
2010,Percentage,r,,Baden-Wuerttemberg,code08,16.666
2011,Percentage,r,,Baden-Wuerttemberg,code08,16.608
2012,Percentage,r,,Baden-Wuerttemberg,code08,16.354
2013,Percentage,r,,Baden-Wuerttemberg,code08,16.33
2014,Percentage,r,,Baden-Wuerttemberg,code08,13.307
2015,Percentage,r,,Baden-Wuerttemberg,code08,13.148
2016,Percentage,r,,Baden-Wuerttemberg,code08,12.822
2017,Percentage,r,,Baden-Wuerttemberg,code08,10.791
2018,Percentage,r,,Baden-Wuerttemberg,code08,10.001
2019,Percentage,r,,Baden-Wuerttemberg,code08,9.898
2020,Percentage,r,,Baden-Wuerttemberg,code08,11.071
2021,Percentage,r,,Baden-Wuerttemberg,code08,10.318
2022,Percentage,r,p,Baden-Wuerttemberg,code08,9.118
2023,Percentage,r,p,Baden-Wuerttemberg,code08,8.414
2024,Percentage,p,,Baden-Wuerttemberg,code08,8.901
1991,Percentage,,,Bavaria,code09,9.281
1992,Percentage,,,Bavaria,code09,9.103
1993,Percentage,,,Bavaria,code09,8.872
1994,Percentage,,,Bavaria,code09,8.864
1995,Percentage,,,Bavaria,code09,8.56
1996,Percentage,,,Bavaria,code09,8.544
1997,Percentage,,,Bavaria,code09,9.228
1998,Percentage,,,Bavaria,code09,9.392
1999,Percentage,,,Bavaria,code09,9.359
2000,Percentage,r,,Bavaria,code09,8.967
2001,Percentage,r,,Bavaria,code09,8.493
2002,Percentage,r,,Bavaria,code09,8.368
2003,Percentage,r,,Bavaria,code09,8.843
2004,Percentage,r,,Bavaria,code09,9.111
2005,Percentage,r,,Bavaria,code09,9.317
2006,Percentage,r,,Bavaria,code09,9.305
2007,Percentage,r,,Bavaria,code09,8.516
2008,Percentage,r,,Bavaria,code09,8.091
2009,Percentage,r,,Bavaria,code09,9.503
2010,Percentage,r,,Bavaria,code09,9.405
2011,Percentage,r,,Bavaria,code09,8.646
2012,Percentage,r,,Bavaria,code09,8.377
2013,Percentage,r,,Bavaria,code09,7.723
2014,Percentage,r,,Bavaria,code09,6.963
2015,Percentage,r,,Bavaria,code09,6.298
2016,Percentage,r,,Bavaria,code09,5.639
2017,Percentage,r,,Bavaria,code09,4.94
2018,Percentage,r,,Bavaria,code09,4.379
2019,Percentage,r,,Bavaria,code09,3.949
2020,Percentage,r,,Bavaria,code09,4.991
2021,Percentage,r,,Bavaria,code09,5.103
2022,Percentage,r,p,Bavaria,code09,4.878
2023,Percentage,r,p,Bavaria,code09,4.674
2024,Percentage,p,,Bavaria,code09,4.994
1991,Percentage,,,Berlin,code11,11.835
1992,Percentage,,,Berlin,code11,13.907
1993,Percentage,,,Berlin,code11,16.837
1994,Percentage,,,Berlin,code11,19.313
1995,Percentage,,,Berlin,code11,25.048
1996,Percentage,,,Berlin,code11,29.172
1997,Percentage,,,Berlin,code11,32.308
1998,Percentage,,,Berlin,code11,34.828
1999,Percentage,,,Berlin,code11,36.906
2000,Percentage,r,,Berlin,code11,38.8
2001,Percentage,r,,Berlin,code11,44.001
2002,Percentage,r,,Berlin,code11,51.248
2003,Percentage,r,,Berlin,code11,56.292
2004,Percentage,r,,Berlin,code11,62.173
2005,Percentage,r,,Berlin,code11,64.626
2006,Percentage,r,,Berlin,code11,63.813
2007,Percentage,r,,Berlin,code11,58.687
2008,Percentage,r,,Berlin,code11,55.428
2009,Percentage,r,,Berlin,code11,58.013
2010,Percentage,r,,Berlin,code11,57.25
2011,Percentage,r,,Berlin,code11,55.49
2012,Percentage,r,,Berlin,code11,54.204
2013,Percentage,r,,Berlin,code11,52.032
2014,Percentage,r,,Berlin,code11,48.817
2015,Percentage,r,,Berlin,code11,45.375
2016,Percentage,r,,Berlin,code11,42.555
2017,Percentage,r,,Berlin,code11,39.255
2018,Percentage,r,,Berlin,code11,35.784
2019,Percentage,r,,Berlin,code11,33.811
2020,Percentage,r,,Berlin,code11,37.559
2021,Percentage,r,,Berlin,code11,36.166
2022,Percentage,r,p,Berlin,code11,33.434
2023,Percentage,r,p,Berlin,code11,31.629
2024,Percentage,p,,Berlin,code11,32.236
1991,Percentage,,,Brandenburg,code12,5.597
1992,Percentage,,,Brandenburg,code12,14.341
1993,Percentage,,,Brandenburg,code12,11.8
1994,Percentage,,,Brandenburg,code12,19.692
1995,Percentage,,,Brandenburg,code12,25.226
1996,Percentage,,,Brandenburg,code12,28.23
1997,Percentage,,,Brandenburg,code12,31.993
1998,Percentage,,,Brandenburg,code12,33.789
1999,Percentage,,,Brandenburg,code12,34.04
2000,Percentage,r,,Brandenburg,code12,33.901
2001,Percentage,r,,Brandenburg,code12,31.497
2002,Percentage,r,,Brandenburg,code12,32.617
2003,Percentage,r,,Brandenburg,code12,34.643
2004,Percentage,r,,Brandenburg,code12,37.037
2005,Percentage,r,,Brandenburg,code12,36.697
2006,Percentage,r,,Brandenburg,code12,35.733
2007,Percentage,r,,Brandenburg,code12,34.932
2008,Percentage,r,,Brandenburg,code12,33.478
2009,Percentage,r,,Brandenburg,code12,34.588
2010,Percentage,r,,Brandenburg,code12,38.408
