Year,Units,Time series,Federal state,GeoCode,Value
2015,Percentage,All wired technologies,,,
2016,Percentage,All wired technologies,,,
2017,Percentage,All wired technologies,,,
2025,Percentage,All wired technologies,,,
2018/2,Percentage,All wired technologies,,,27.33
2019/1,Percentage,All wired technologies,,,34.12
2019/2,Percentage,All wired technologies,,,43.22
2020/1,Percentage,All wired technologies,,,55.9
2020/2,Percentage,All wired technologies,,,59.18
2021/1,Percentage,All wired technologies,,,62.13
2021/2,Percentage,All wired technologies,,,
2022/1,Percentage,All wired technologies,,,68.04
2022/2,Percentage,All wired technologies,,,70.5
2023/1,Percentage,All wired technologies,,,73.6
2015,Percentage,Fibre-to-the-Building/Home (FTTB/H),,,6.7
2016,Percentage,Fibre-to-the-Building/Home (FTTB/H),,,7.1
2017,Percentage,Fibre-to-the-Building/Home (FTTB/H),,,8.0
2025,Percentage,Fibre-to-the-Building/Home (FTTB/H),,,
2018/2,Percentage,Fibre-to-the-Building/Home (FTTB/H),,,9.0
2019/1,Percentage,Fibre-to-the-Building/Home (FTTB/H),,,10.5
2019/2,Percentage,Fibre-to-the-Building/Home (FTTB/H),,,11.8
2020/1,Percentage,Fibre-to-the-Building/Home (FTTB/H),,,13.8
2020/2,Percentage,Fibre-to-the-Building/Home (FTTB/H),,,14.5
2021/1,Percentage,Fibre-to-the-Building/Home (FTTB/H),,,15.4
2021/2,Percentage,Fibre-to-the-Building/Home (FTTB/H),,,
2022/1,Percentage,Fibre-to-the-Building/Home (FTTB/H),,,18.2
2022/2,Percentage,Fibre-to-the-Building/Home (FTTB/H),,,23.2
2023/1,Percentage,Fibre-to-the-Building/Home (FTTB/H),,,28.2
2015,Percentage,Hybrid Fiber Coax (HFC),,,
2016,Percentage,Hybrid Fiber Coax (HFC),,,
2017,Percentage,Hybrid Fiber Coax (HFC),,,
2025,Percentage,Hybrid Fiber Coax (HFC),,,
2018/2,Percentage,Hybrid Fiber Coax (HFC),,,23.66
2019/1,Percentage,Hybrid Fiber Coax (HFC),,,29.28
2019/2,Percentage,Hybrid Fiber Coax (HFC),,,37.83
2020/1,Percentage,Hybrid Fiber Coax (HFC),,,50.18
2020/2,Percentage,Hybrid Fiber Coax (HFC),,,53.5
2021/1,Percentage,Hybrid Fiber Coax (HFC),,,56.54
2021/2,Percentage,Hybrid Fiber Coax (HFC),,,
2022/1,Percentage,Hybrid Fiber Coax (HFC),,,59.07
2022/2,Percentage,Hybrid Fiber Coax (HFC),,,60.55
2023/1,Percentage,Hybrid Fiber Coax (HFC),,,61.9
2022/1,Percentage,All wired technologies,Baden-Wuerttemberg,code08,69.65
2022/2,Percentage,All wired technologies,Baden-Wuerttemberg,code08,71.48
2023/1,Percentage,All wired technologies,Baden-Wuerttemberg,code08,71.9
2022/1,Percentage,All wired technologies,Bavaria,code09,65.66
2022/2,Percentage,All wired technologies,Bavaria,code09,66.47
2023/1,Percentage,All wired technologies,Bavaria,code09,67.9
2022/1,Percentage,All wired technologies,Berlin,code11,96.64
2022/2,Percentage,All wired technologies,Berlin,code11,98.97
2023/1,Percentage,All wired technologies,Berlin,code11,99.3
2022/1,Percentage,All wired technologies,Brandenburg,code12,49.48
2022/2,Percentage,All wired technologies,Brandenburg,code12,47.77
2023/1,Percentage,All wired technologies,Brandenburg,code12,57.0
2022/1,Percentage,All wired technologies,Bremen,code04,92.36
2022/2,Percentage,All wired technologies,Bremen,code04,92.81
2023/1,Percentage,All wired technologies,Bremen,code04,94.5
2022/1,Percentage,All wired technologies,Hamburg,code02,98.15
2022/2,Percentage,All wired technologies,Hamburg,code02,93.77
2023/1,Percentage,All wired technologies,Hamburg,code02,94.9
2022/1,Percentage,All wired technologies,Hesse,code06,66.45
2022/2,Percentage,All wired technologies,Hesse,code06,68.15
2023/1,Percentage,All wired technologies,Hesse,code06,70.9
2022/1,Percentage,All wired technologies,Mecklenburg Western Pomerania,code13,56.66
2022/2,Percentage,All wired technologies,Mecklenburg Western Pomerania,code13,58.4
2023/1,Percentage,All wired technologies,Mecklenburg Western Pomerania,code13,62.8
2022/1,Percentage,All wired technologies,Lower Saxony,code03,74.59
2022/2,Percentage,All wired technologies,Lower Saxony,code03,78.22
2023/1,Percentage,All wired technologies,Lower Saxony,code03,81.4
2022/1,Percentage,All wired technologies,North Rhine-Westphalia,code05,73.06
2022/2,Percentage,All wired technologies,North Rhine-Westphalia,code05,76.94
2023/1,Percentage,All wired technologies,North Rhine-Westphalia,code05,79.9
2022/1,Percentage,All wired technologies,Rhineland Palatinate,code07,58.24
2022/2,Percentage,All wired technologies,Rhineland Palatinate,code07,62.14
2023/1,Percentage,All wired technologies,Rhineland Palatinate,code07,65.7
2022/1,Percentage,All wired technologies,Saarland,code10,59.87
2022/2,Percentage,All wired technologies,Saarland,code10,60.76
2023/1,Percentage,All wired technologies,Saarland,code10,62.9
2022/1,Percentage,All wired technologies,Saxony,code14,43.78
2022/2,Percentage,All wired technologies,Saxony,code14,51.36
2023/1,Percentage,All wired technologies,Saxony,code14,61.2
2022/1,Percentage,All wired technologies,Saxony-Anhalt,code15,33.82
2022/2,Percentage,All wired technologies,Saxony-Anhalt,code15,37.85
2023/1,Percentage,All wired technologies,Saxony-Anhalt,code15,48.9
2022/1,Percentage,All wired technologies,Schleswig-Holstein,code01,85.08
2022/2,Percentage,All wired technologies,Schleswig-Holstein,code01,86.75
2023/1,Percentage,All wired technologies,Schleswig-Holstein,code01,88.7
2022/1,Percentage,All wired technologies,Thuringia,code16,39.9
2022/2,Percentage,All wired technologies,Thuringia,code16,41.39
2023/1,Percentage,All wired technologies,Thuringia,code16,46.4
2022/1,Percentage,Fibre-to-the-Building/Home (FTTB/H),Baden-Wuerttemberg,code08,10.94
2022/2,Percentage,Fibre-to-the-Building/Home (FTTB/H),Baden-Wuerttemberg,code08,19.99
2023/1,Percentage,Fibre-to-the-Building/Home (FTTB/H),Baden-Wuerttemberg,code08,18.3
2022/1,Percentage,Fibre-to-the-Building/Home (FTTB/H),Bavaria,code09,18.99
2022/2,Percentage,Fibre-to-the-Building/Home (FTTB/H),Bavaria,code09,21.57
2023/1,Percentage,Fibre-to-the-Building/Home (FTTB/H),Bavaria,code09,24.4
