Year,Units,Series,Sex,Federal state,GeoCode,Value
1996,Percentage,Foreigns,,,,80.4
1997,Percentage,Foreigns,,,,80.6
1998,Percentage,Foreigns,,,,80.5
1999,Percentage,Foreigns,,,,80.7
2000,Percentage,Foreigns,,,,80.1
2001,Percentage,Foreigns,,,,79.8
2002,Percentage,Foreigns,,,,80.6
2003,Percentage,Foreigns,,,,80.9
2004,Percentage,Foreigns,,,,81.9
2005,Percentage,Foreigns,,,,82.6
2006,Percentage,Foreigns,,,,83.2
2007,Percentage,Foreigns,,,,84.0
2008,Percentage,Foreigns,,,,85.0
2009,Percentage,Foreigns,,,,86.2
2010,Percentage,Foreigns,,,,87.2
2011,Percentage,Foreigns,,,,88.2
2012,Percentage,Foreigns,,,,88.6
2013,Percentage,Foreigns,,,,89.3
2014,Percentage,Foreigns,,,,88.5
2015,Percentage,Foreigns,,,,88.2
2016,Percentage,Foreigns,,,,85.8
2017,Percentage,Foreigns,,,,81.8
2018,Percentage,Foreigns,,,,81.8
2019,Percentage,Foreigns,,,,82.4
2020,Percentage,Foreigns,,,,85.3
2021,Percentage,Foreigns,,,,84.3
2030,Percentage,Foreigns,,,,
1996,Percentage,Foreigns,Female,,,84.5
1997,Percentage,Foreigns,Female,,,84.7
1998,Percentage,Foreigns,Female,,,84.5
1999,Percentage,Foreigns,Female,,,84.9
2000,Percentage,Foreigns,Female,,,84.3
2001,Percentage,Foreigns,Female,,,84.3
2002,Percentage,Foreigns,Female,,,84.4
2003,Percentage,Foreigns,Female,,,84.6
2004,Percentage,Foreigns,Female,,,85.8
2005,Percentage,Foreigns,Female,,,86.4
2006,Percentage,Foreigns,Female,,,86.5
2007,Percentage,Foreigns,Female,,,87.0
2008,Percentage,Foreigns,Female,,,87.9
2009,Percentage,Foreigns,Female,,,88.5
2010,Percentage,Foreigns,Female,,,89.5
2011,Percentage,Foreigns,Female,,,90.3
2012,Percentage,Foreigns,Female,,,90.6
2013,Percentage,Foreigns,Female,,,91.1
2014,Percentage,Foreigns,Female,,,90.4
2015,Percentage,Foreigns,Female,,,90.3
2016,Percentage,Foreigns,Female,,,89.1
2017,Percentage,Foreigns,Female,,,86.4
2018,Percentage,Foreigns,Female,,,85.6
2019,Percentage,Foreigns,Female,,,85.8
2020,Percentage,Foreigns,Female,,,88.0
2021,Percentage,Foreigns,Female,,,87.4
2030,Percentage,Foreigns,,,,
1996,Percentage,Foreigns,Male,,,76.7
1997,Percentage,Foreigns,Male,,,76.8
1998,Percentage,Foreigns,Male,,,76.9
1999,Percentage,Foreigns,Male,,,76.9
2000,Percentage,Foreigns,Male,,,76.2
2001,Percentage,Foreigns,Male,,,75.8
2002,Percentage,Foreigns,Male,,,76.9
2003,Percentage,Foreigns,Male,,,77.4
2004,Percentage,Foreigns,Male,,,78.3
2005,Percentage,Foreigns,Male,,,79.1
2006,Percentage,Foreigns,Male,,,80.2
2007,Percentage,Foreigns,Male,,,81.2
2008,Percentage,Foreigns,Male,,,82.3
2009,Percentage,Foreigns,Male,,,83.9
2010,Percentage,Foreigns,Male,,,85.0
2011,Percentage,Foreigns,Male,,,86.2
2012,Percentage,Foreigns,Male,,,86.7
2013,Percentage,Foreigns,Male,,,87.6
2014,Percentage,Foreigns,Male,,,86.8
2015,Percentage,Foreigns,Male,,,86.2
2016,Percentage,Foreigns,Male,,,82.9
2017,Percentage,Foreigns,Male,,,78.0
2018,Percentage,Foreigns,Male,,,78.8
2019,Percentage,Foreigns,Male,,,79.5
2020,Percentage,Foreigns,Male,,,83.0
2021,Percentage,Foreigns,Male,,,81.6
2030,Percentage,Foreigns,,,,
1996,Percentage,Germans,,,,92.3
1997,Percentage,Germans,,,,92.3
1998,Percentage,Germans,,,,92.1
1999,Percentage,Germans,,,,92.0
2000,Percentage,Germans,,,,91.7
2001,Percentage,Germans,,,,91.3
2002,Percentage,Germans,,,,91.8
2003,Percentage,Germans,,,,92.1
2004,Percentage,Germans,,,,92.6
2005,Percentage,Germans,,,,92.8
2006,Percentage,Germans,,,,93.1
2007,Percentage,Germans,,,,93.6
2008,Percentage,Germans,,,,93.8
2009,Percentage,Germans,,,,94.2
2010,Percentage,Germans,,,,94.6
2011,Percentage,Germans,,,,95.0
2012,Percentage,Germans,,,,95.1
2013,Percentage,Germans,,,,95.4
2014,Percentage,Germans,,,,95.1
2015,Percentage,Germans,,,,95.0
2016,Percentage,Germans,,,,95.1
2017,Percentage,Germans,,,,94.8
2018,Percentage,Germans,,,,94.6
2019,Percentage,Germans,,,,94.5
2020,Percentage,Germans,,,,94.9
2021,Percentage,Germans,,,,94.9
2030,Percentage,Germans,,,,
1996,Percentage,Foreigns,,Baden-Wuerttemberg,code08,80.0
1997,Percentage,Foreigns,,Baden-Wuerttemberg,code08,80.3
1998,Percentage,Foreigns,,Baden-Wuerttemberg,code08,81.2
1999,Percentage,Foreigns,,Baden-Wuerttemberg,code08,80.8
2000,Percentage,Foreigns,,Baden-Wuerttemberg,code08,80.1
2001,Percentage,Foreigns,,Baden-Wuerttemberg,code08,79.8
2002,Percentage,Foreigns,,Baden-Wuerttemberg,code08,80.3
2003,Percentage,Foreigns,,Baden-Wuerttemberg,code08,81.5
2004,Percentage,Foreigns,,Baden-Wuerttemberg,code08,82.5
2005,Percentage,Foreigns,,Baden-Wuerttemberg,code08,83.3
2006,Percentage,Foreigns,,Baden-Wuerttemberg,code08,83.9
2007,Percentage,Foreigns,,Baden-Wuerttemberg,code08,84.9
2008,Percentage,Foreigns,,Baden-Wuerttemberg,code08,86.3
2009,Percentage,Foreigns,,Baden-Wuerttemberg,code08,87.2
2010,Percentage,Foreigns,,Baden-Wuerttemberg,code08,88.3
2011,Percentage,Foreigns,,Baden-Wuerttemberg,code08,88.7
2012,Percentage,Foreigns,,Baden-Wuerttemberg,code08,88.0
2013,Percentage,Foreigns,,Baden-Wuerttemberg,code08,90.0
2014,Percentage,Foreigns,,Baden-Wuerttemberg,code08,89.1
2015,Percentage,Foreigns,,Baden-Wuerttemberg,code08,90.1
2016,Percentage,Foreigns,,Baden-Wuerttemberg,code08,87.8
2017,Percentage,Foreigns,,Baden-Wuerttemberg,code08,80.6
2018,Percentage,Foreigns,,Baden-Wuerttemberg,code08,81.5
2019,Percentage,Foreigns,,Baden-Wuerttemberg,code08,84.1
2020,Percentage,Foreigns,,Baden-Wuerttemberg,code08,85.5
2021,Percentage,Foreigns,,Baden-Wuerttemberg,code08,84.5
2030,Percentage,Foreigns,,,,
1996,Percentage,Foreigns,Female,Baden-Wuerttemberg,code08,84.1
1997,Percentage,Foreigns,Female,Baden-Wuerttemberg,code08,84.4
1998,Percentage,Foreigns,Female,Baden-Wuerttemberg,code08,84.6
1999,Percentage,Foreigns,Female,Baden-Wuerttemberg,code08,85.0
2000,Percentage,Foreigns,Female,Baden-Wuerttemberg,code08,84.7
2001,Percentage,Foreigns,Female,Baden-Wuerttemberg,code08,84.4
2002,Percentage,Foreigns,Female,Baden-Wuerttemberg,code08,84.0
2003,Percentage,Foreigns,Female,Baden-Wuerttemberg,code08,85.6
2004,Percentage,Foreigns,Female,Baden-Wuerttemberg,code08,86.2
2005,Percentage,Foreigns,Female,Baden-Wuerttemberg,code08,87.5
2006,Percentage,Foreigns,Female,Baden-Wuerttemberg,code08,87.0
2007,Percentage,Foreigns,Female,Baden-Wuerttemberg,code08,87.6
2008,Percentage,Foreigns,Female,Baden-Wuerttemberg,code08,88.8
2009,Percentage,Foreigns,Female,Baden-Wuerttemberg,code08,89.4
2010,Percentage,Foreigns,Female,Baden-Wuerttemberg,code08,89.8
2011,Percentage,Foreigns,Female,Baden-Wuerttemberg,code08,90.6
2012,Percentage,Foreigns,Female,Baden-Wuerttemberg,code08,89.7
2013,Percentage,Foreigns,Female,Baden-Wuerttemberg,code08,91.4
2014,Percentage,Foreigns,Female,Baden-Wuerttemberg,code08,90.3
2015,Percentage,Foreigns,Female,Baden-Wuerttemberg,code08,91.5
