Year,Units,Time series,Value
2005,2005 = 100,Final energy consumption for the transport of goods,100.0
2006,2005 = 100,Final energy consumption for the transport of goods,104.935
2007,2005 = 100,Final energy consumption for the transport of goods,107.875
2008,2005 = 100,Final energy consumption for the transport of goods,105.894
2009,2005 = 100,Final energy consumption for the transport of goods,95.759
2010,2005 = 100,Final energy consumption for the transport of goods,99.336
2011,2005 = 100,Final energy consumption for the transport of goods,100.956
2012,2005 = 100,Final energy consumption for the transport of goods,98.965
2013,2005 = 100,Final energy consumption for the transport of goods,99.973
2014,2005 = 100,Final energy consumption for the transport of goods,101.539
2015,2005 = 100,Final energy consumption for the transport of goods,103.068
2016,2005 = 100,Final energy consumption for the transport of goods,104.894
2017,2005 = 100,Final energy consumption for the transport of goods,107.47
2018,2005 = 100,Final energy consumption for the transport of goods,109.201
2019,2005 = 100,Final energy consumption for the transport of goods,108.099
2020,2005 = 100,Final energy consumption for the transport of goods,104.988
2021,2005 = 100,Final energy consumption for the transport of goods,106.974
2030,2005 = 100,Final energy consumption for the transport of goods,
2005,2005 = 100,Goods transport performance,100.0
2006,2005 = 100,Goods transport performance,107.457
2007,2005 = 100,Goods transport performance,112.232
2008,2005 = 100,Goods transport performance,112.914
2009,2005 = 100,Goods transport performance,100.475
2010,2005 = 100,Goods transport performance,108.179
2011,2005 = 100,Goods transport performance,108.284
2012,2005 = 100,Goods transport performance,106.515
2013,2005 = 100,Goods transport performance,109.191
2014,2005 = 100,Goods transport performance,111.063
2015,2005 = 100,Goods transport performance,113.689
2016,2005 = 100,Goods transport performance,116.579
2017,2005 = 100,Goods transport performance,119.437
2018,2005 = 100,Goods transport performance,119.702
2019,2005 = 100,Goods transport performance,120.41
2020,2005 = 100,Goods transport performance,115.97
2021,2005 = 100,Goods transport performance,121.279
2030,2005 = 100,Goods transport performance,
2005,2005 = 100,Energy consumption per tonne-kilometre,100.0
2006,2005 = 100,Energy consumption per tonne-kilometre,97.652
2007,2005 = 100,Energy consumption per tonne-kilometre,96.118
2008,2005 = 100,Energy consumption per tonne-kilometre,93.784
2009,2005 = 100,Energy consumption per tonne-kilometre,95.307
2010,2005 = 100,Energy consumption per tonne-kilometre,91.825
2011,2005 = 100,Energy consumption per tonne-kilometre,93.232
2012,2005 = 100,Energy consumption per tonne-kilometre,92.912
2013,2005 = 100,Energy consumption per tonne-kilometre,91.558
2014,2005 = 100,Energy consumption per tonne-kilometre,91.424
2015,2005 = 100,Energy consumption per tonne-kilometre,90.658
2016,2005 = 100,Energy consumption per tonne-kilometre,89.977
2017,2005 = 100,Energy consumption per tonne-kilometre,89.98
2018,2005 = 100,Energy consumption per tonne-kilometre,91.228
2019,2005 = 100,Energy consumption per tonne-kilometre,89.776
2020,2005 = 100,Energy consumption per tonne-kilometre,90.53
2021,2005 = 100,Energy consumption per tonne-kilometre,88.205
2030,2005 = 100,Energy consumption per tonne-kilometre,
