Year,Units,Time series,Value
2005,2005 = 100,Energy consumption in passenger transport,100.0
2006,2005 = 100,Energy consumption in passenger transport,99.247
2007,2005 = 100,Energy consumption in passenger transport,99.354
2008,2005 = 100,Energy consumption in passenger transport,98.265
2009,2005 = 100,Energy consumption in passenger transport,99.416
2010,2005 = 100,Energy consumption in passenger transport,99.331
2011,2005 = 100,Energy consumption in passenger transport,100.065
2012,2005 = 100,Energy consumption in passenger transport,99.386
2013,2005 = 100,Energy consumption in passenger transport,99.324
2014,2005 = 100,Energy consumption in passenger transport,100.354
2015,2005 = 100,Energy consumption in passenger transport,99.685
2016,2005 = 100,Energy consumption in passenger transport,100.673
2017,2005 = 100,Energy consumption in passenger transport,101.189
2018,2005 = 100,Energy consumption in passenger transport,101.054
2019,2005 = 100,Energy consumption in passenger transport,101.647
2020,2005 = 100,Energy consumption in passenger transport,85.468
2021,2005 = 100,Energy consumption in passenger transport,84.448
2030,2005 = 100,Energy consumption in passenger transport,
2005,2005 = 100,Passenger transport performance,100.0
2006,2005 = 100,Passenger transport performance,101.148
2007,2005 = 100,Passenger transport performance,101.49
2008,2005 = 100,Passenger transport performance,102.317
2009,2005 = 100,Passenger transport performance,102.231
2010,2005 = 100,Passenger transport performance,102.739
2011,2005 = 100,Passenger transport performance,103.307
2012,2005 = 100,Passenger transport performance,103.925
2013,2005 = 100,Passenger transport performance,103.957
2014,2005 = 100,Passenger transport performance,104.257
2015,2005 = 100,Passenger transport performance,104.957
2016,2005 = 100,Passenger transport performance,105.943
2017,2005 = 100,Passenger transport performance,106.262
2018,2005 = 100,Passenger transport performance,106.422
2019,2005 = 100,Passenger transport performance,106.976
2020,2005 = 100,Passenger transport performance,84.106
2021,2005 = 100,Passenger transport performance,83.211
2030,2005 = 100,Passenger transport performance,
2005,2005 = 100,Energy consumption per passenger-kilometre,100.0
2006,2005 = 100,Energy consumption per passenger-kilometre,98.12
2007,2005 = 100,Energy consumption per passenger-kilometre,97.896
2008,2005 = 100,Energy consumption per passenger-kilometre,96.04
2009,2005 = 100,Energy consumption per passenger-kilometre,97.246
2010,2005 = 100,Energy consumption per passenger-kilometre,96.682
2011,2005 = 100,Energy consumption per passenger-kilometre,96.862
2012,2005 = 100,Energy consumption per passenger-kilometre,95.632
2013,2005 = 100,Energy consumption per passenger-kilometre,95.543
2014,2005 = 100,Energy consumption per passenger-kilometre,96.256
2015,2005 = 100,Energy consumption per passenger-kilometre,94.977
2016,2005 = 100,Energy consumption per passenger-kilometre,95.026
2017,2005 = 100,Energy consumption per passenger-kilometre,95.226
2018,2005 = 100,Energy consumption per passenger-kilometre,94.956
2019,2005 = 100,Energy consumption per passenger-kilometre,95.019
2020,2005 = 100,Energy consumption per passenger-kilometre,101.619
2021,2005 = 100,Energy consumption per passenger-kilometre,101.486
2030,2005 = 100,Energy consumption per passenger-kilometre,
