Year,Units,Series,COMMENT_OBS_0,Value
2015,Percentage,a) Sustainability in procurement procedures,.,
2016,Percentage,a) Sustainability in procurement procedures,.,
2017,Percentage,a) Sustainability in procurement procedures,.,
2018,Percentage,a) Sustainability in procurement procedures,.,
2019,Percentage,a) Sustainability in procurement procedures,.,
2020,Percentage,a) Sustainability in procurement procedures,.,
2021,Percentage,a) Sustainability in procurement procedures,,12.6
2022,Percentage,a) Sustainability in procurement procedures,,12.8
2023,Percentage,a) Sustainability in procurement procedures,,14.0
2026,Percentage,a) Sustainability in procurement procedures,…,
2015,2015 = 100,b) CO₂ emissions of commercially available vehicles in the public sector,,100.0
2016,2015 = 100,b) CO₂ emissions of commercially available vehicles in the public sector,r,100.021
2017,2015 = 100,b) CO₂ emissions of commercially available vehicles in the public sector,r,99.997
2018,2015 = 100,b) CO₂ emissions of commercially available vehicles in the public sector,r,100.344
2019,2015 = 100,b) CO₂ emissions of commercially available vehicles in the public sector,r,100.846
2020,2015 = 100,b) CO₂ emissions of commercially available vehicles in the public sector,r,101.112
2021,2015 = 100,b) CO₂ emissions of commercially available vehicles in the public sector,r,100.506
2022,2015 = 100,b) CO₂ emissions of commercially available vehicles in the public sector,r,99.043
2023,2015 = 100,b) CO₂ emissions of commercially available vehicles in the public sector,,96.789
2026,2015 = 100,b) CO₂ emissions of commercially available vehicles in the public sector,…,
2015,Percentage,c) Sustainable textile procurement,.,
2016,Percentage,c) Sustainable textile procurement,.,
2017,Percentage,c) Sustainable textile procurement,.,
2018,Percentage,c) Sustainable textile procurement,.,
2019,Percentage,c) Sustainable textile procurement,.,
2020,Percentage,c) Sustainable textile procurement,.,
2021,Percentage,c) Sustainable textile procurement,.,
2022,Percentage,c) Sustainable textile procurement,.,
2023,Percentage,c) Sustainable textile procurement,,0.0
2026,Percentage,c) Sustainable textile procurement,…,
