Year,Units,COMMENT_OBS_0,Time series,Sea,Value
2003,Percentage,r,Commercial exploited fish stocks assessed for MSY that is fished sustainably,,42.424
2004,Percentage,r,Commercial exploited fish stocks assessed for MSY that is fished sustainably,,30.303
2005,Percentage,r,Commercial exploited fish stocks assessed for MSY that is fished sustainably,,30.303
2006,Percentage,r,Commercial exploited fish stocks assessed for MSY that is fished sustainably,,30.303
2007,Percentage,r,Commercial exploited fish stocks assessed for MSY that is fished sustainably,,33.333
2008,Percentage,r,Commercial exploited fish stocks assessed for MSY that is fished sustainably,,36.364
2009,Percentage,r,Commercial exploited fish stocks assessed for MSY that is fished sustainably,,30.303
2010,Percentage,r,Commercial exploited fish stocks assessed for MSY that is fished sustainably,,36.364
2011,Percentage,r,Commercial exploited fish stocks assessed for MSY that is fished sustainably,,45.455
2012,Percentage,r,Commercial exploited fish stocks assessed for MSY that is fished sustainably,,45.455
2013,Percentage,r,Commercial exploited fish stocks assessed for MSY that is fished sustainably,,45.455
2014,Percentage,r,Commercial exploited fish stocks assessed for MSY that is fished sustainably,,51.515
2015,Percentage,r,Commercial exploited fish stocks assessed for MSY that is fished sustainably,,36.364
2016,Percentage,r,Commercial exploited fish stocks assessed for MSY that is fished sustainably,,30.303
2017,Percentage,r,Commercial exploited fish stocks assessed for MSY that is fished sustainably,,41.176
2018,Percentage,r,Commercial exploited fish stocks assessed for MSY that is fished sustainably,,44.118
2019,Percentage,r,Commercial exploited fish stocks assessed for MSY that is fished sustainably,,38.235
2020,Percentage,r,Commercial exploited fish stocks assessed for MSY that is fished sustainably,,41.176
2021,Percentage,r,Commercial exploited fish stocks assessed for MSY that is fished sustainably,,55.882
2022,Percentage,r,Commercial exploited fish stocks assessed for MSY that is fished sustainably,,58.824
2023,Percentage,r,Commercial exploited fish stocks assessed for MSY that is fished sustainably,,61.765
2024,Percentage,,Commercial exploited fish stocks assessed for MSY that is fished sustainably,,67.647
2030,Percentage,…,Commercial exploited fish stocks assessed for MSY that is fished sustainably,,
2003,Percentage,,Commercial exploited fish stocks assessed for MSY that is fished sustainably,North Sea,50.0
2004,Percentage,,Commercial exploited fish stocks assessed for MSY that is fished sustainably,North Sea,34.615
2005,Percentage,r,Commercial exploited fish stocks assessed for MSY that is fished sustainably,North Sea,30.769
2006,Percentage,r,Commercial exploited fish stocks assessed for MSY that is fished sustainably,North Sea,34.615
2007,Percentage,r,Commercial exploited fish stocks assessed for MSY that is fished sustainably,North Sea,34.615
2008,Percentage,r,Commercial exploited fish stocks assessed for MSY that is fished sustainably,North Sea,42.308
2009,Percentage,r,Commercial exploited fish stocks assessed for MSY that is fished sustainably,North Sea,34.615
2010,Percentage,r,Commercial exploited fish stocks assessed for MSY that is fished sustainably,North Sea,42.308
2011,Percentage,r,Commercial exploited fish stocks assessed for MSY that is fished sustainably,North Sea,46.154
2012,Percentage,r,Commercial exploited fish stocks assessed for MSY that is fished sustainably,North Sea,42.308
2013,Percentage,r,Commercial exploited fish stocks assessed for MSY that is fished sustainably,North Sea,46.154
2014,Percentage,r,Commercial exploited fish stocks assessed for MSY that is fished sustainably,North Sea,46.154
2015,Percentage,,Commercial exploited fish stocks assessed for MSY that is fished sustainably,North Sea,42.308
2016,Percentage,r,Commercial exploited fish stocks assessed for MSY that is fished sustainably,North Sea,34.615
2017,Percentage,r,Commercial exploited fish stocks assessed for MSY that is fished sustainably,North Sea,44.444
2018,Percentage,r,Commercial exploited fish stocks assessed for MSY that is fished sustainably,North Sea,48.148
2019,Percentage,,Commercial exploited fish stocks assessed for MSY that is fished sustainably,North Sea,40.741
2020,Percentage,,Commercial exploited fish stocks assessed for MSY that is fished sustainably,North Sea,48.148
2021,Percentage,r,Commercial exploited fish stocks assessed for MSY that is fished sustainably,North Sea,59.259
2022,Percentage,,Commercial exploited fish stocks assessed for MSY that is fished sustainably,North Sea,59.259
2023,Percentage,r,Commercial exploited fish stocks assessed for MSY that is fished sustainably,North Sea,59.259
2024,Percentage,,Commercial exploited fish stocks assessed for MSY that is fished sustainably,North Sea,62.963
2030,Percentage,…,Commercial exploited fish stocks assessed for MSY that is fished sustainably,North Sea,
2003,Percentage,r,Commercial exploited fish stocks assessed for MSY that is fished sustainably,Baltic Sea,14.286
2004,Percentage,r,Commercial exploited fish stocks assessed for MSY that is fished sustainably,Baltic Sea,14.286
2005,Percentage,r,Commercial exploited fish stocks assessed for MSY that is fished sustainably,Baltic Sea,28.571
2006,Percentage,r,Commercial exploited fish stocks assessed for MSY that is fished sustainably,Baltic Sea,14.286
2007,Percentage,r,Commercial exploited fish stocks assessed for MSY that is fished sustainably,Baltic Sea,28.571
2008,Percentage,r,Commercial exploited fish stocks assessed for MSY that is fished sustainably,Baltic Sea,14.286
