Year,Units,Series,Value
2009,Million EUR,Preservation or restoration of forests in developing countries under the REDD+ rulebook,3.0
2010,Million EUR,Preservation or restoration of forests in developing countries under the REDD+ rulebook,20.0
2011,Million EUR,Preservation or restoration of forests in developing countries under the REDD+ rulebook,12.0
2012,Million EUR,Preservation or restoration of forests in developing countries under the REDD+ rulebook,24.9
2013,Million EUR,Preservation or restoration of forests in developing countries under the REDD+ rulebook,36.3
2014,Million EUR,Preservation or restoration of forests in developing countries under the REDD+ rulebook,31.0
2015,Million EUR,Preservation or restoration of forests in developing countries under the REDD+ rulebook,15.7
2016,Million EUR,Preservation or restoration of forests in developing countries under the REDD+ rulebook,59.8
2017,Million EUR,Preservation or restoration of forests in developing countries under the REDD+ rulebook,68.0
2018,Million EUR,Preservation or restoration of forests in developing countries under the REDD+ rulebook,63.0
2019,Million EUR,Preservation or restoration of forests in developing countries under the REDD+ rulebook,63.5
2020,Million EUR,Preservation or restoration of forests in developing countries under the REDD+ rulebook,24.2
2009,Million EUR,German gross bilateral development expenditure for the implementation of the UN Convention to Combat Desertification,40.0
2010,Million EUR,German gross bilateral development expenditure for the implementation of the UN Convention to Combat Desertification,152.5
2011,Million EUR,German gross bilateral development expenditure for the implementation of the UN Convention to Combat Desertification,198.6
2012,Million EUR,German gross bilateral development expenditure for the implementation of the UN Convention to Combat Desertification,245.3
2013,Million EUR,German gross bilateral development expenditure for the implementation of the UN Convention to Combat Desertification,248.7
2014,Million EUR,German gross bilateral development expenditure for the implementation of the UN Convention to Combat Desertification,239.7
2015,Million EUR,German gross bilateral development expenditure for the implementation of the UN Convention to Combat Desertification,271.9
2016,Million EUR,German gross bilateral development expenditure for the implementation of the UN Convention to Combat Desertification,347.4
2017,Million EUR,German gross bilateral development expenditure for the implementation of the UN Convention to Combat Desertification,483.4
2018,Million EUR,German gross bilateral development expenditure for the implementation of the UN Convention to Combat Desertification,571.8
2019,Million EUR,German gross bilateral development expenditure for the implementation of the UN Convention to Combat Desertification,745.6
2020,Million EUR,German gross bilateral development expenditure for the implementation of the UN Convention to Combat Desertification,703.5
