Year,Units,Value
1995,Percentage,0.31
1996,Percentage,0.32
1997,Percentage,0.28
1998,Percentage,0.26
1999,Percentage,0.26
2000,Percentage,0.27
2001,Percentage,0.27
2002,Percentage,0.27
2003,Percentage,0.28
2004,Percentage,0.28
2005,Percentage,0.36
2006,Percentage,0.36
2007,Percentage,0.37
2008,Percentage,0.38
2009,Percentage,0.35
2010,Percentage,0.39
2011,Percentage,0.39
2012,Percentage,0.37
2013,Percentage,0.38
2014,Percentage,0.42
2015,Percentage,0.52
2016,Percentage,0.7
2017,Percentage,0.67
2018,Percentage,0.61
2019,Percentage,0.61
2020,Percentage,0.73
2021,Percentage,0.76
2022,Percentage,0.85
2023,Percentage,0.82
2030,Percentage,
