Year,Units,Time series,Länder,GeoCode,COMMENT_OBS_0,Sex,Value
2005,Number,,,,,,140519.0
2006,Number,,,,,,141289.0
2007,Number,,,,,,136087.0
2008,Number,,,,,,140832.0
2009,Number,,,,,,147152.0
2010,Number,,,,,,153690.0
2011,Number,,,,,,158557.0
2012,Number,,,,,,170618.0
2013,Number,,,,,,185787.0
2014,Number,,,,,,200349.0
2015,Number,,,,,,215258.0
2016,Number,,,,,,230689.0
2017,Number,,,,,,247436.0
2018,Number,,,,,,267250.0
2019,Number,,,,,,285450.0
2020,Number,,,,,,298149.0
2021,Number,,,,,,316001.0
2022,Number,,,,,,335016.0
2023,Number,,,,,,348976.0
2024,Number,,,,,,372778.0
2005,Number,Students from LDCs,,,,,4960.0
2006,Number,Students from LDCs,,,,,5012.0
2007,Number,Students from LDCs,,,,,4933.0
2008,Number,Students from LDCs,,,,,5331.0
2009,Number,Students from LDCs,,,,,5738.0
2010,Number,Students from LDCs,,,,,6300.0
2011,Number,Students from LDCs,,,,,6925.0
2012,Number,Students from LDCs,,,,,7577.0
2013,Number,Students from LDCs,,,,,8348.0
2014,Number,Students from LDCs,,,,,9244.0
2015,Number,Students from LDCs,,,,,9746.0
2016,Number,Students from LDCs,,,,,10119.0
2017,Number,Students from LDCs,,,,,10576.0
2018,Number,Students from LDCs,,,,,11525.0
2019,Number,Students from LDCs,,,,,13067.0
2020,Number,Students from LDCs,,,,,15055.0
2021,Number,Students from LDCs,,,,,17113.0
2022,Number,Students from LDCs,,,,,18315.0
2023,Number,Students from LDCs,,,,,19505.0
2024,Number,Students from LDCs,,,,,22027.0
2005,Number,Students from LDCs,Baden-Wuerttemberg,code08,,,502.0
2006,Number,Students from LDCs,Baden-Wuerttemberg,code08,,,524.0
2007,Number,Students from LDCs,Baden-Wuerttemberg,code08,,,532.0
2008,Number,Students from LDCs,Baden-Wuerttemberg,code08,,,559.0
2009,Number,Students from LDCs,Baden-Wuerttemberg,code08,,,598.0
2010,Number,Students from LDCs,Baden-Wuerttemberg,code08,,,669.0
2011,Number,Students from LDCs,Baden-Wuerttemberg,code08,,,704.0
2012,Number,Students from LDCs,Baden-Wuerttemberg,code08,,,808.0
2013,Number,Students from LDCs,Baden-Wuerttemberg,code08,,,895.0
2014,Number,Students from LDCs,Baden-Wuerttemberg,code08,,,957.0
2015,Number,Students from LDCs,Baden-Wuerttemberg,code08,,,939.0
2016,Number,Students from LDCs,Baden-Wuerttemberg,code08,,,937.0
2017,Number,Students from LDCs,Baden-Wuerttemberg,code08,,,857.0
2018,Number,Students from LDCs,Baden-Wuerttemberg,code08,,,833.0
2019,Number,Students from LDCs,Baden-Wuerttemberg,code08,,,794.0
2020,Number,Students from LDCs,Baden-Wuerttemberg,code08,,,817.0
2021,Number,Students from LDCs,Baden-Wuerttemberg,code08,,,927.0
2022,Number,Students from LDCs,Baden-Wuerttemberg,code08,,,929.0
2023,Number,Students from LDCs,Baden-Wuerttemberg,code08,,,1029.0
2024,Number,Students from LDCs,Baden-Wuerttemberg,code08,,,1112.0
2005,Number,Students from LDCs,Bavaria,code09,,,320.0
2006,Number,Students from LDCs,Bavaria,code09,,,359.0
2007,Number,Students from LDCs,Bavaria,code09,,,352.0
2008,Number,Students from LDCs,Bavaria,code09,,,402.0
2009,Number,Students from LDCs,Bavaria,code09,,,436.0
2010,Number,Students from LDCs,Bavaria,code09,,,476.0
2011,Number,Students from LDCs,Bavaria,code09,,,568.0
2012,Number,Students from LDCs,Bavaria,code09,,,624.0
2013,Number,Students from LDCs,Bavaria,code09,,,716.0
2014,Number,Students from LDCs,Bavaria,code09,,,812.0
2015,Number,Students from LDCs,Bavaria,code09,,,859.0
2016,Number,Students from LDCs,Bavaria,code09,,,884.0
2017,Number,Students from LDCs,Bavaria,code09,,,1036.0
2018,Number,Students from LDCs,Bavaria,code09,,,1170.0
2019,Number,Students from LDCs,Bavaria,code09,,,1347.0
2020,Number,Students from LDCs,Bavaria,code09,,,1751.0
2021,Number,Students from LDCs,Bavaria,code09,,,2217.0
2022,Number,Students from LDCs,Bavaria,code09,,,2484.0
2023,Number,Students from LDCs,Bavaria,code09,,,2841.0
2024,Number,Students from LDCs,Bavaria,code09,,,3208.0
2005,Number,Students from LDCs,Berlin,code11,,,362.0
2006,Number,Students from LDCs,Berlin,code11,,,370.0
2007,Number,Students from LDCs,Berlin,code11,,,337.0
2008,Number,Students from LDCs,Berlin,code11,,,404.0
2009,Number,Students from LDCs,Berlin,code11,,,441.0
2010,Number,Students from LDCs,Berlin,code11,,,505.0
2011,Number,Students from LDCs,Berlin,code11,,,570.0
2012,Number,Students from LDCs,Berlin,code11,,,582.0
2013,Number,Students from LDCs,Berlin,code11,,,634.0
2014,Number,Students from LDCs,Berlin,code11,,,726.0
2015,Number,Students from LDCs,Berlin,code11,,,751.0
2016,Number,Students from LDCs,Berlin,code11,,,755.0
2017,Number,Students from LDCs,Berlin,code11,,,852.0
2018,Number,Students from LDCs,Berlin,code11,,,896.0
2019,Number,Students from LDCs,Berlin,code11,,,1002.0
2020,Number,Students from LDCs,Berlin,code11,,,1115.0
2021,Number,Students from LDCs,Berlin,code11,,,1203.0
2022,Number,Students from LDCs,Berlin,code11,,,1284.0
2023,Number,Students from LDCs,Berlin,code11,,,1397.0
2024,Number,Students from LDCs,Berlin,code11,,,1528.0
2005,Number,Students from LDCs,Brandenburg,code12,,,124.0
2006,Number,Students from LDCs,Brandenburg,code12,,,121.0
2007,Number,Students from LDCs,Brandenburg,code12,,,123.0
2008,Number,Students from LDCs,Brandenburg,code12,,,122.0
2009,Number,Students from LDCs,Brandenburg,code12,,,125.0
2010,Number,Students from LDCs,Brandenburg,code12,,,148.0
2011,Number,Students from LDCs,Brandenburg,code12,,,154.0
2012,Number,Students from LDCs,Brandenburg,code12,,,193.0
2013,Number,Students from LDCs,Brandenburg,code12,,,226.0
2014,Number,Students from LDCs,Brandenburg,code12,,,277.0
2015,Number,Students from LDCs,Brandenburg,code12,,,321.0
2016,Number,Students from LDCs,Brandenburg,code12,,,311.0
2017,Number,Students from LDCs,Brandenburg,code12,,,356.0
2018,Number,Students from LDCs,Brandenburg,code12,,,400.0
2019,Number,Students from LDCs,Brandenburg,code12,,,495.0
2020,Number,Students from LDCs,Brandenburg,code12,,,582.0
2021,Number,Students from LDCs,Brandenburg,code12,,,669.0
2022,Number,Students from LDCs,Brandenburg,code12,,,765.0
2023,Number,Students from LDCs,Brandenburg,code12,,,872.0
2024,Number,Students from LDCs,Brandenburg,code12,,,1037.0
2005,Number,Students from LDCs,Bremen,code04,,,188.0
2006,Number,Students from LDCs,Bremen,code04,,,192.0
2007,Number,Students from LDCs,Bremen,code04,,,206.0
2008,Number,Students from LDCs,Bremen,code04,,,194.0
2009,Number,Students from LDCs,Bremen,code04,,,194.0
2010,Number,Students from LDCs,Bremen,code04,,,203.0
2011,Number,Students from LDCs,Bremen,code04,,,227.0
2012,Number,Students from LDCs,Bremen,code04,,,255.0
2013,Number,Students from LDCs,Bremen,code04,,,261.0
2014,Number,Students from LDCs,Bremen,code04,,,235.0
2015,Number,Students from LDCs,Bremen,code04,,,262.0
2016,Number,Students from LDCs,Bremen,code04,,,277.0
2017,Number,Students from LDCs,Bremen,code04,,,312.0
