Year,Units,Time series,Value
1990,Kilogram per hectare,Moving five-year average shown for the last year,
1991,Kilogram per hectare,Moving five-year average shown for the last year,
1992,Kilogram per hectare,Moving five-year average shown for the last year,
1993,Kilogram per hectare,Moving five-year average shown for the last year,
1994,Kilogram per hectare,Moving five-year average shown for the last year,116.698
1995,Kilogram per hectare,Moving five-year average shown for the last year,111.062
1996,Kilogram per hectare,Moving five-year average shown for the last year,109.15
1997,Kilogram per hectare,Moving five-year average shown for the last year,107.528
1998,Kilogram per hectare,Moving five-year average shown for the last year,107.9
1999,Kilogram per hectare,Moving five-year average shown for the last year,108.84
2000,Kilogram per hectare,Moving five-year average shown for the last year,109.302
2001,Kilogram per hectare,Moving five-year average shown for the last year,108.148
2002,Kilogram per hectare,Moving five-year average shown for the last year,108.544
2003,Kilogram per hectare,Moving five-year average shown for the last year,107.998
2004,Kilogram per hectare,Moving five-year average shown for the last year,105.204
2005,Kilogram per hectare,Moving five-year average shown for the last year,102.638
2006,Kilogram per hectare,Moving five-year average shown for the last year,103.336
2007,Kilogram per hectare,Moving five-year average shown for the last year,102.164
2008,Kilogram per hectare,Moving five-year average shown for the last year,101.68
2009,Kilogram per hectare,Moving five-year average shown for the last year,98.898
2010,Kilogram per hectare,Moving five-year average shown for the last year,96.338
2011,Kilogram per hectare,Moving five-year average shown for the last year,96.468
2012,Kilogram per hectare,Moving five-year average shown for the last year,94.992
2013,Kilogram per hectare,Moving five-year average shown for the last year,93.484
2014,Kilogram per hectare,Moving five-year average shown for the last year,94.234
2015,Kilogram per hectare,Moving five-year average shown for the last year,97.372
2016,Kilogram per hectare,Moving five-year average shown for the last year,96.646
2017,Kilogram per hectare,Moving five-year average shown for the last year,96.854
2018,Kilogram per hectare,Moving five-year average shown for the last year,95.894
2019,Kilogram per hectare,Moving five-year average shown for the last year,94.15
2020,Kilogram per hectare,Moving five-year average shown for the last year,89.384
2021,Kilogram per hectare,Moving five-year average shown for the last year,82.946
2022,Kilogram per hectare,Moving five-year average shown for the last year,76.706
2030,Kilogram per hectare,Moving five-year average shown for the last year,
1990,Kilogram per hectare,Calculated annual values,141.6
1991,Kilogram per hectare,Calculated annual values,117.23
1992,Kilogram per hectare,Calculated annual values,112.2
1993,Kilogram per hectare,Calculated annual values,106.06
1994,Kilogram per hectare,Calculated annual values,106.4
1995,Kilogram per hectare,Calculated annual values,113.42
1996,Kilogram per hectare,Calculated annual values,107.67
1997,Kilogram per hectare,Calculated annual values,104.09
1998,Kilogram per hectare,Calculated annual values,107.92
1999,Kilogram per hectare,Calculated annual values,111.1
2000,Kilogram per hectare,Calculated annual values,115.73
2001,Kilogram per hectare,Calculated annual values,101.9
2002,Kilogram per hectare,Calculated annual values,106.07
2003,Kilogram per hectare,Calculated annual values,105.19
2004,Kilogram per hectare,Calculated annual values,97.13
2005,Kilogram per hectare,Calculated annual values,102.9
2006,Kilogram per hectare,Calculated annual values,105.39
2007,Kilogram per hectare,Calculated annual values,100.21
2008,Kilogram per hectare,Calculated annual values,102.77
2009,Kilogram per hectare,Calculated annual values,83.22
2010,Kilogram per hectare,Calculated annual values,90.1
2011,Kilogram per hectare,Calculated annual values,106.04
2012,Kilogram per hectare,Calculated annual values,92.83
2013,Kilogram per hectare,Calculated annual values,95.23
2014,Kilogram per hectare,Calculated annual values,86.97
2015,Kilogram per hectare,Calculated annual values,105.79
2016,Kilogram per hectare,Calculated annual values,102.41
2017,Kilogram per hectare,Calculated annual values,93.87
2018,Kilogram per hectare,Calculated annual values,90.43
2019,Kilogram per hectare,Calculated annual values,78.25
2020,Kilogram per hectare,Calculated annual values,81.96
2021,Kilogram per hectare,Calculated annual values,70.22
2022,Kilogram per hectare,Calculated annual values,62.67
2030,Kilogram per hectare,Calculated annual values,
