Year,Units,Series,Risk situation,Value
2018,Percentage points,Difference between <i>No risk situation</i> and <i>At least one risk situation</i>,,21.1
2019,Percentage points,Difference between <i>No risk situation</i> and <i>At least one risk situation</i>,,17.9
2020,Percentage points,Difference between <i>No risk situation</i> and <i>At least one risk situation</i>,,18.4
2021,Percentage points,Difference between <i>No risk situation</i> and <i>At least one risk situation</i>,,19.7
2022,Percentage points,Difference between <i>No risk situation</i> and <i>At least one risk situation</i>,,21.5
2023,Percentage points,Difference between <i>No risk situation</i> and <i>At least one risk situation</i>,,21.3
2018,Percentage,By number of risk positions,No risk situation,61.0
2019,Percentage,By number of risk positions,No risk situation,61.0
2020,Percentage,By number of risk positions,No risk situation,65.2
2021,Percentage,By number of risk positions,No risk situation,64.1
2022,Percentage,By number of risk positions,No risk situation,63.2
2023,Percentage,By number of risk positions,No risk situation,65.0
2018,Percentage,By number of risk positions,At least one risk situation,39.9
2019,Percentage,By number of risk positions,At least one risk situation,43.2
2020,Percentage,By number of risk positions,At least one risk situation,46.8
2021,Percentage,By number of risk positions,At least one risk situation,44.4
2022,Percentage,By number of risk positions,At least one risk situation,41.6
2023,Percentage,By number of risk positions,At least one risk situation,43.7
2018,Percentage,By number of risk positions,Total,55.7
2019,Percentage,By number of risk positions,Total,56.5
2020,Percentage,By number of risk positions,Total,60.3
2021,Percentage,By number of risk positions,Total,58.3
2022,Percentage,By number of risk positions,Total,56.6
2023,Percentage,By number of risk positions,Total,58.6
