Year,Units,Series,COMMENT_OBS_0,Federal state,GeoCode,Value
2006,Percentage,<u>Time series of the indicator:</u> Unadjusted Gender Pay Gap,,,,23.0
2007,Percentage,<u>Time series of the indicator:</u> Unadjusted Gender Pay Gap,,,,23.0
2008,Percentage,<u>Time series of the indicator:</u> Unadjusted Gender Pay Gap,,,,23.0
2009,Percentage,<u>Time series of the indicator:</u> Unadjusted Gender Pay Gap,,,,23.0
2010,Percentage,<u>Time series of the indicator:</u> Unadjusted Gender Pay Gap,,,,22.0
2011,Percentage,<u>Time series of the indicator:</u> Unadjusted Gender Pay Gap,,,,22.0
2012,Percentage,<u>Time series of the indicator:</u> Unadjusted Gender Pay Gap,,,,23.0
2013,Percentage,<u>Time series of the indicator:</u> Unadjusted Gender Pay Gap,,,,22.0
2014,Percentage,<u>Time series of the indicator:</u> Unadjusted Gender Pay Gap,,,,22.0
2015,Percentage,<u>Time series of the indicator:</u> Unadjusted Gender Pay Gap,r,,,22.0
2016,Percentage,<u>Time series of the indicator:</u> Unadjusted Gender Pay Gap,r,,,21.0
2017,Percentage,<u>Time series of the indicator:</u> Unadjusted Gender Pay Gap,r,,,20.0
2018,Percentage,<u>Time series of the indicator:</u> Unadjusted Gender Pay Gap,r,,,20.0
2019,Percentage,<u>Time series of the indicator:</u> Unadjusted Gender Pay Gap,r,,,19.0
2020,Percentage,<u>Time series of the indicator:</u> Unadjusted Gender Pay Gap,,,,18.0
2021,Percentage,<u>Time series of the indicator:</u> Unadjusted Gender Pay Gap,,,,18.0
2022,Percentage,<u>Time series of the indicator:</u> Unadjusted Gender Pay Gap,,,,18.0
2023,Percentage,<u>Time series of the indicator:</u> Unadjusted Gender Pay Gap,,,,18.0
2024,Percentage,<u>Time series of the indicator:</u> Unadjusted Gender Pay Gap,,,,16.0
2006,Percentage,<u>Additional time series:</u> Adjusted Gender Pay Gap,,,,8.0
2007,Percentage,<u>Additional time series:</u> Adjusted Gender Pay Gap,.,,,
2008,Percentage,<u>Additional time series:</u> Adjusted Gender Pay Gap,.,,,
2009,Percentage,<u>Additional time series:</u> Adjusted Gender Pay Gap,.,,,
2010,Percentage,<u>Additional time series:</u> Adjusted Gender Pay Gap,,,,7.0
2011,Percentage,<u>Additional time series:</u> Adjusted Gender Pay Gap,.,,,
2012,Percentage,<u>Additional time series:</u> Adjusted Gender Pay Gap,.,,,
2013,Percentage,<u>Additional time series:</u> Adjusted Gender Pay Gap,.,,,
2014,Percentage,<u>Additional time series:</u> Adjusted Gender Pay Gap,,,,6.0
2015,Percentage,<u>Additional time series:</u> Adjusted Gender Pay Gap,.,,,
2016,Percentage,<u>Additional time series:</u> Adjusted Gender Pay Gap,.,,,
2017,Percentage,<u>Additional time series:</u> Adjusted Gender Pay Gap,.,,,
2018,Percentage,<u>Additional time series:</u> Adjusted Gender Pay Gap,,,,6.0
2019,Percentage,<u>Additional time series:</u> Adjusted Gender Pay Gap,.,,,
2020,Percentage,<u>Additional time series:</u> Adjusted Gender Pay Gap,.,,,
2021,Percentage,<u>Additional time series:</u> Adjusted Gender Pay Gap,.,,,
2022,Percentage,<u>Additional time series:</u> Adjusted Gender Pay Gap,,,,7.0
2023,Percentage,<u>Additional time series:</u> Adjusted Gender Pay Gap,,,,6.0
2024,Percentage,<u>Additional time series:</u> Adjusted Gender Pay Gap,,,,6.0
2006,Percentage,<u>Time series of the indicator:</u> Unadjusted Gender Pay Gap,r,Baden-Wuerttemberg,code08,28.0
2007,Percentage,<u>Time series of the indicator:</u> Unadjusted Gender Pay Gap,r,Baden-Wuerttemberg,code08,28.0
2008,Percentage,<u>Time series of the indicator:</u> Unadjusted Gender Pay Gap,r,Baden-Wuerttemberg,code08,28.0
2009,Percentage,<u>Time series of the indicator:</u> Unadjusted Gender Pay Gap,r,Baden-Wuerttemberg,code08,27.0
2010,Percentage,<u>Time series of the indicator:</u> Unadjusted Gender Pay Gap,r,Baden-Wuerttemberg,code08,27.0
2011,Percentage,<u>Time series of the indicator:</u> Unadjusted Gender Pay Gap,r,Baden-Wuerttemberg,code08,27.0
2012,Percentage,<u>Time series of the indicator:</u> Unadjusted Gender Pay Gap,r,Baden-Wuerttemberg,code08,27.0
2013,Percentage,<u>Time series of the indicator:</u> Unadjusted Gender Pay Gap,r,Baden-Wuerttemberg,code08,27.0
2014,Percentage,<u>Time series of the indicator:</u> Unadjusted Gender Pay Gap,r,Baden-Wuerttemberg,code08,27.0
2015,Percentage,<u>Time series of the indicator:</u> Unadjusted Gender Pay Gap,r,Baden-Wuerttemberg,code08,26.0
2016,Percentage,<u>Time series of the indicator:</u> Unadjusted Gender Pay Gap,r,Baden-Wuerttemberg,code08,26.0
2017,Percentage,<u>Time series of the indicator:</u> Unadjusted Gender Pay Gap,r,Baden-Wuerttemberg,code08,25.0
2018,Percentage,<u>Time series of the indicator:</u> Unadjusted Gender Pay Gap,r,Baden-Wuerttemberg,code08,24.0
2019,Percentage,<u>Time series of the indicator:</u> Unadjusted Gender Pay Gap,r,Baden-Wuerttemberg,code08,23.0
2020,Percentage,<u>Time series of the indicator:</u> Unadjusted Gender Pay Gap,p,Baden-Wuerttemberg,code08,23.0
2021,Percentage,<u>Time series of the indicator:</u> Unadjusted Gender Pay Gap,p,Baden-Wuerttemberg,code08,22.0
2022,Percentage,<u>Time series of the indicator:</u> Unadjusted Gender Pay Gap,,Baden-Wuerttemberg,code08,23.0
2023,Percentage,<u>Time series of the indicator:</u> Unadjusted Gender Pay Gap,,Baden-Wuerttemberg,code08,22.0
2024,Percentage,<u>Time series of the indicator:</u> Unadjusted Gender Pay Gap,,Baden-Wuerttemberg,code08,19.0
2006,Percentage,<u>Time series of the indicator:</u> Unadjusted Gender Pay Gap,r,Bavaria,code09,23.0
2007,Percentage,<u>Time series of the indicator:</u> Unadjusted Gender Pay Gap,r,Bavaria,code09,24.0
2008,Percentage,<u>Time series of the indicator:</u> Unadjusted Gender Pay Gap,r,Bavaria,code09,25.0
2009,Percentage,<u>Time series of the indicator:</u> Unadjusted Gender Pay Gap,r,Bavaria,code09,25.0
2010,Percentage,<u>Time series of the indicator:</u> Unadjusted Gender Pay Gap,r,Bavaria,code09,26.0
2011,Percentage,<u>Time series of the indicator:</u> Unadjusted Gender Pay Gap,r,Bavaria,code09,25.0
2012,Percentage,<u>Time series of the indicator:</u> Unadjusted Gender Pay Gap,r,Bavaria,code09,25.0
2013,Percentage,<u>Time series of the indicator:</u> Unadjusted Gender Pay Gap,r,Bavaria,code09,25.0
2014,Percentage,<u>Time series of the indicator:</u> Unadjusted Gender Pay Gap,r,Bavaria,code09,25.0
2015,Percentage,<u>Time series of the indicator:</u> Unadjusted Gender Pay Gap,r,Bavaria,code09,24.0
2016,Percentage,<u>Time series of the indicator:</u> Unadjusted Gender Pay Gap,r,Bavaria,code09,24.0
2017,Percentage,<u>Time series of the indicator:</u> Unadjusted Gender Pay Gap,r,Bavaria,code09,24.0
2018,Percentage,<u>Time series of the indicator:</u> Unadjusted Gender Pay Gap,r,Bavaria,code09,24.0
2019,Percentage,<u>Time series of the indicator:</u> Unadjusted Gender Pay Gap,r,Bavaria,code09,23.0
2020,Percentage,<u>Time series of the indicator:</u> Unadjusted Gender Pay Gap,p,Bavaria,code09,22.0
2021,Percentage,<u>Time series of the indicator:</u> Unadjusted Gender Pay Gap,p,Bavaria,code09,21.0
2022,Percentage,<u>Time series of the indicator:</u> Unadjusted Gender Pay Gap,,Bavaria,code09,21.0
2023,Percentage,<u>Time series of the indicator:</u> Unadjusted Gender Pay Gap,,Bavaria,code09,21.0
2024,Percentage,<u>Time series of the indicator:</u> Unadjusted Gender Pay Gap,,Bavaria,code09,18.0
2006,Percentage,<u>Time series of the indicator:</u> Unadjusted Gender Pay Gap,r,Berlin,code11,14.0
2007,Percentage,<u>Time series of the indicator:</u> Unadjusted Gender Pay Gap,r,Berlin,code11,14.0
2008,Percentage,<u>Time series of the indicator:</u> Unadjusted Gender Pay Gap,r,Berlin,code11,16.0
2009,Percentage,<u>Time series of the indicator:</u> Unadjusted Gender Pay Gap,r,Berlin,code11,15.0
2010,Percentage,<u>Time series of the indicator:</u> Unadjusted Gender Pay Gap,r,Berlin,code11,14.0
2011,Percentage,<u>Time series of the indicator:</u> Unadjusted Gender Pay Gap,r,Berlin,code11,15.0
2012,Percentage,<u>Time series of the indicator:</u> Unadjusted Gender Pay Gap,r,Berlin,code11,15.0
2013,Percentage,<u>Time series of the indicator:</u> Unadjusted Gender Pay Gap,r,Berlin,code11,14.0
