Year,Units,Time series,Value
1999,Percentage,b) On supervisory boards of listed and fully co-determined companies,
2000,Percentage,b) On supervisory boards of listed and fully co-determined companies,
2001,Percentage,b) On supervisory boards of listed and fully co-determined companies,
2002,Percentage,b) On supervisory boards of listed and fully co-determined companies,
2003,Percentage,b) On supervisory boards of listed and fully co-determined companies,
2004,Percentage,b) On supervisory boards of listed and fully co-determined companies,
2005,Percentage,b) On supervisory boards of listed and fully co-determined companies,
2006,Percentage,b) On supervisory boards of listed and fully co-determined companies,
2007,Percentage,b) On supervisory boards of listed and fully co-determined companies,
2008,Percentage,b) On supervisory boards of listed and fully co-determined companies,
2009,Percentage,b) On supervisory boards of listed and fully co-determined companies,
2010,Percentage,b) On supervisory boards of listed and fully co-determined companies,
2011,Percentage,b) On supervisory boards of listed and fully co-determined companies,
2012,Percentage,b) On supervisory boards of listed and fully co-determined companies,
2013,Percentage,b) On supervisory boards of listed and fully co-determined companies,
2014,Percentage,b) On supervisory boards of listed and fully co-determined companies,
2015,Percentage,b) On supervisory boards of listed and fully co-determined companies,21.3
2016,Percentage,b) On supervisory boards of listed and fully co-determined companies,23.8
2017,Percentage,b) On supervisory boards of listed and fully co-determined companies,28.1
2018,Percentage,b) On supervisory boards of listed and fully co-determined companies,30.9
2019,Percentage,b) On supervisory boards of listed and fully co-determined companies,33.9
2020,Percentage,b) On supervisory boards of listed and fully co-determined companies,35.2
2021,Percentage,b) On supervisory boards of listed and fully co-determined companies,35.9
2022,Percentage,b) On supervisory boards of listed and fully co-determined companies,35.6
2023,Percentage,b) On supervisory boards of listed and fully co-determined companies,37.3
2024,Percentage,b) On supervisory boards of listed and fully co-determined companies,38.5
2030,Percentage,b) On supervisory boards of listed and fully co-determined companies,
2025,Percentage,b) On supervisory boards of listed and fully co-determined companies,
1999,Percentage,c) In the federal civil service,19.3
2000,Percentage,c) In the federal civil service,19.5
2001,Percentage,c) In the federal civil service,18.5
2002,Percentage,c) In the federal civil service,19.7
2003,Percentage,c) In the federal civil service,24.0
2004,Percentage,c) In the federal civil service,24.0
2005,Percentage,c) In the federal civil service,26.6
2006,Percentage,c) In the federal civil service,26.9
2007,Percentage,c) In the federal civil service,27.8
2008,Percentage,c) In the federal civil service,28.7
2009,Percentage,c) In the federal civil service,29.9
2010,Percentage,c) In the federal civil service,30.8
2011,Percentage,c) In the federal civil service,30.6
2012,Percentage,c) In the federal civil service,30.6
2013,Percentage,c) In the federal civil service,30.6
2014,Percentage,c) In the federal civil service,32.1
2015,Percentage,c) In the federal civil service,33.6
2016,Percentage,c) In the federal civil service,
2017,Percentage,c) In the federal civil service,35.2
2018,Percentage,c) In the federal civil service,
2019,Percentage,c) In the federal civil service,37.6
2020,Percentage,c) In the federal civil service,
2021,Percentage,c) In the federal civil service,39.6
2022,Percentage,c) In the federal civil service,43.2
2023,Percentage,c) In the federal civil service,45.2
2024,Percentage,c) In the federal civil service,46.5
2030,Percentage,c) In the federal civil service,
2025,Percentage,c) In the federal civil service,
