Year,Units,Series,Value
2008,Percentage,<u>Time series of the indicator:</u> Children whose fathers have received parental allowance,21.2
2009,Percentage,<u>Time series of the indicator:</u> Children whose fathers have received parental allowance,24.0
2010,Percentage,<u>Time series of the indicator:</u> Children whose fathers have received parental allowance,25.9
2011,Percentage,<u>Time series of the indicator:</u> Children whose fathers have received parental allowance,28.0
2012,Percentage,<u>Time series of the indicator:</u> Children whose fathers have received parental allowance,30.0
2013,Percentage,<u>Time series of the indicator:</u> Children whose fathers have received parental allowance,32.6
2014,Percentage,<u>Time series of the indicator:</u> Children whose fathers have received parental allowance,34.8
2015,Percentage,<u>Time series of the indicator:</u> Children whose fathers have received parental allowance,36.9
2016,Percentage,<u>Time series of the indicator:</u> Children whose fathers have received parental allowance,38.8
2017,Percentage,<u>Time series of the indicator:</u> Children whose fathers have received parental allowance,40.4
2018,Percentage,<u>Time series of the indicator:</u> Children whose fathers have received parental allowance,42.1
2019,Percentage,<u>Time series of the indicator:</u> Children whose fathers have received parental allowance,43.5
2020,Percentage,<u>Time series of the indicator:</u> Children whose fathers have received parental allowance,43.7
2021,Percentage,<u>Time series of the indicator:</u> Children whose fathers have received parental allowance,46.2
2022,Percentage,<u>Time series of the indicator:</u> Children whose fathers have received parental allowance,46.3
2030,Percentage,<u>Time series of the indicator:</u> Children whose fathers have received parental allowance,
2008,Percentage,<u>Additional time series:</u> Male recipients of all parental allowance months taken,
2009,Percentage,<u>Additional time series:</u> Male recipients of all parental allowance months taken,6.8
2010,Percentage,<u>Additional time series:</u> Male recipients of all parental allowance months taken,7.0
2011,Percentage,<u>Additional time series:</u> Male recipients of all parental allowance months taken,7.4
2012,Percentage,<u>Additional time series:</u> Male recipients of all parental allowance months taken,7.7
2013,Percentage,<u>Additional time series:</u> Male recipients of all parental allowance months taken,8.2
2014,Percentage,<u>Additional time series:</u> Male recipients of all parental allowance months taken,8.6
2015,Percentage,<u>Additional time series:</u> Male recipients of all parental allowance months taken,8.8
2016,Percentage,<u>Additional time series:</u> Male recipients of all parental allowance months taken,9.1
2017,Percentage,<u>Additional time series:</u> Male recipients of all parental allowance months taken,9.3
2018,Percentage,<u>Additional time series:</u> Male recipients of all parental allowance months taken,9.5
2019,Percentage,<u>Additional time series:</u> Male recipients of all parental allowance months taken,9.6
2020,Percentage,<u>Additional time series:</u> Male recipients of all parental allowance months taken,9.6
2021,Percentage,<u>Additional time series:</u> Male recipients of all parental allowance months taken,10.0
2022,Percentage,<u>Additional time series:</u> Male recipients of all parental allowance months taken,10.0
2030,Percentage,<u>Additional time series:</u> Male recipients of all parental allowance months taken,
