Year,Units,COMMENT_OBS_0,Value
1990,Percentage,,17.742
1991,Percentage,,17.297
1992,Percentage,,19.271
1993,Percentage,,20.43
1994,Percentage,,23.196
1995,Percentage,,23.529
1996,Percentage,,21.393
1997,Percentage,,23.645
1998,Percentage,,19.524
1999,Percentage,,26.728
2000,Percentage,r,28.507
2001,Percentage,r,29.358
2002,Percentage,r,25.893
2003,Percentage,r,31.25
2004,Percentage,r,31.696
2005,Percentage,r,30.242
2006,Percentage,r,33.333
2007,Percentage,r,30.488
2008,Percentage,r,32.773
2009,Percentage,r,33.2
2010,Percentage,r,31.349
2011,Percentage,r,36.905
2012,Percentage,r,34.694
2013,Percentage,r,35.341
2014,Percentage,r,33.603
2015,Percentage,r,29.96
2016,Percentage,r,36.905
2017,Percentage,r,34.836
2018,Percentage,r,43.651
2019,Percentage,r,41.564
2020,Percentage,r,41.7
2021,Percentage,r,43.426
2022,Percentage,,42.742
2023,Percentage,,41.81
2030,Percentage,…,
