Year,Units,Time series,Value
2012,Millions,Number of people gaining first-time or upgraded access to drinking water or sanitation,10.6
2013,Millions,Number of people gaining first-time or upgraded access to drinking water or sanitation,11.6
2014,Millions,Number of people gaining first-time or upgraded access to drinking water or sanitation,31.0
2015,Millions,Number of people gaining first-time or upgraded access to drinking water or sanitation,11.0
2016,Millions,Number of people gaining first-time or upgraded access to drinking water or sanitation,14.3
2017,Millions,Number of people gaining first-time or upgraded access to drinking water or sanitation,28.6
2018,Millions,Number of people gaining first-time or upgraded access to drinking water or sanitation,60.3
2019,Millions,Number of people gaining first-time or upgraded access to drinking water or sanitation,
2020,Millions,Number of people gaining first-time or upgraded access to drinking water or sanitation,
2012,Millions,Number of people gaining first-time or upgraded access to drinking water,
2013,Millions,Number of people gaining first-time or upgraded access to drinking water,
2014,Millions,Number of people gaining first-time or upgraded access to drinking water,
2015,Millions,Number of people gaining first-time or upgraded access to drinking water,
2016,Millions,Number of people gaining first-time or upgraded access to drinking water,
2017,Millions,Number of people gaining first-time or upgraded access to drinking water,
2018,Millions,Number of people gaining first-time or upgraded access to drinking water,
2019,Millions,Number of people gaining first-time or upgraded access to drinking water,14.3
2020,Millions,Number of people gaining first-time or upgraded access to drinking water,10.9
2012,Millions,Number of people gaining first-time or improved access to sanitation,
2013,Millions,Number of people gaining first-time or improved access to sanitation,
2014,Millions,Number of people gaining first-time or improved access to sanitation,
2015,Millions,Number of people gaining first-time or improved access to sanitation,
2016,Millions,Number of people gaining first-time or improved access to sanitation,
2017,Millions,Number of people gaining first-time or improved access to sanitation,
2018,Millions,Number of people gaining first-time or improved access to sanitation,
2019,Millions,Number of people gaining first-time or improved access to sanitation,6.1
2020,Millions,Number of people gaining first-time or improved access to sanitation,1.8
