Year,Units,Series,Federal state,GeoCode,Value
2008,2008 = 100,Final energy productivity,,,100.0
2009,2008 = 100,Final energy productivity,,,99.68
2010,2008 = 100,Final energy productivity,,,96.656
2011,2008 = 100,Final energy productivity,,,105.294
2012,2008 = 100,Final energy productivity,,,105.294
2013,2008 = 100,Final energy productivity,,,102.759
2014,2008 = 100,Final energy productivity,,,110.822
2015,2008 = 100,Final energy productivity,,,109.956
2016,2008 = 100,Final energy productivity,,,110.263
2017,2008 = 100,Final energy productivity,,,111.539
2018,2008 = 100,Final energy productivity,,,116.215
2019,2008 = 100,Final energy productivity,,,116.819
2020,2008 = 100,Final energy productivity,,,120.019
2021,2008 = 100,Final energy productivity,,,118.387
2022,2008 = 100,Final energy productivity,,,124.197
2023,2008 = 100,Final energy productivity,,,
2050,2008 = 100,Final energy productivity,,,
2030,2008 = 100,Final energy productivity,,,
2008,2008 = 100,Final energy productivity,Baden-Wuerttemberg,code08,100.0
2009,2008 = 100,Final energy productivity,Baden-Wuerttemberg,code08,95.51
2010,2008 = 100,Final energy productivity,Baden-Wuerttemberg,code08,100.225
2011,2008 = 100,Final energy productivity,Baden-Wuerttemberg,code08,109.76
2012,2008 = 100,Final energy productivity,Baden-Wuerttemberg,code08,111.933
2013,2008 = 100,Final energy productivity,Baden-Wuerttemberg,code08,107.343
2014,2008 = 100,Final energy productivity,Baden-Wuerttemberg,code08,117.228
2015,2008 = 100,Final energy productivity,Baden-Wuerttemberg,code08,116.577
2016,2008 = 100,Final energy productivity,Baden-Wuerttemberg,code08,115.559
2017,2008 = 100,Final energy productivity,Baden-Wuerttemberg,code08,119.752
2018,2008 = 100,Final energy productivity,Baden-Wuerttemberg,code08,124.742
2019,2008 = 100,Final energy productivity,Baden-Wuerttemberg,code08,120.569
2020,2008 = 100,Final energy productivity,Baden-Wuerttemberg,code08,121.345
2021,2008 = 100,Final energy productivity,Baden-Wuerttemberg,code08,124.912
2008,2008 = 100,Final energy productivity,Bavaria,code09,100.0
2009,2008 = 100,Final energy productivity,Bavaria,code09,98.7
2010,2008 = 100,Final energy productivity,Bavaria,code09,96.325
2011,2008 = 100,Final energy productivity,Bavaria,code09,103.171
2012,2008 = 100,Final energy productivity,Bavaria,code09,104.626
2013,2008 = 100,Final energy productivity,Bavaria,code09,104.95
2014,2008 = 100,Final energy productivity,Bavaria,code09,112.899
2015,2008 = 100,Final energy productivity,Bavaria,code09,112.094
2016,2008 = 100,Final energy productivity,Bavaria,code09,111.262
2017,2008 = 100,Final energy productivity,Bavaria,code09,114.289
2018,2008 = 100,Final energy productivity,Bavaria,code09,113.376
2019,2008 = 100,Final energy productivity,Bavaria,code09,112.245
2020,2008 = 100,Final energy productivity,Bavaria,code09,116.079
2008,2008 = 100,Final energy productivity,Berlin,code11,100.0
2009,2008 = 100,Final energy productivity,Berlin,code11,98.343
2010,2008 = 100,Final energy productivity,Berlin,code11,93.095
2011,2008 = 100,Final energy productivity,Berlin,code11,108.404
2012,2008 = 100,Final energy productivity,Berlin,code11,107.012
2013,2008 = 100,Final energy productivity,Berlin,code11,104.413
2014,2008 = 100,Final energy productivity,Berlin,code11,115.015
