Year,Units,Federal state,GeoCode,Value
2005,Percentage,,,7.1
2006,Percentage,,,8.4
2007,Percentage,,,10.2
2008,Percentage,,,10.1
2009,Percentage,,,10.7
2010,Percentage,,,11.4
2011,Percentage,,,12.5
2012,Percentage,,,13.6
2013,Percentage,,,13.8
2014,Percentage,,,14.3
2015,Percentage,,,15.2
2016,Percentage,,,14.9
2017,Percentage,,,16.0
2018,Percentage,,,16.8
2019,Percentage,,,17.7
2020,Percentage,,,19.7
2021,Percentage,,,19.2
2030,Percentage,,,
2040,Percentage,,,
2050,Percentage,,,
2005,Percentage,Baden-Wuerttemberg,code08,6.87
2006,Percentage,Baden-Wuerttemberg,code08,8.39
2007,Percentage,Baden-Wuerttemberg,code08,9.65
2008,Percentage,Baden-Wuerttemberg,code08,9.39
2009,Percentage,Baden-Wuerttemberg,code08,9.9
2010,Percentage,Baden-Wuerttemberg,code08,11.32
2011,Percentage,Baden-Wuerttemberg,code08,11.42
2012,Percentage,Baden-Wuerttemberg,code08,12.54
2013,Percentage,Baden-Wuerttemberg,code08,12.6
2014,Percentage,Baden-Wuerttemberg,code08,13.13
2015,Percentage,Baden-Wuerttemberg,code08,12.96
2016,Percentage,Baden-Wuerttemberg,code08,13.41
2017,Percentage,Baden-Wuerttemberg,code08,13.66
2018,Percentage,Baden-Wuerttemberg,code08,16.24
2019,Percentage,Baden-Wuerttemberg,code08,16.35
2030,Percentage,,,
2040,Percentage,,,
2050,Percentage,,,
2005,Percentage,Bavaria,code09,8.59
2006,Percentage,Bavaria,code09,9.5
2007,Percentage,Bavaria,code09,10.46
2008,Percentage,Bavaria,code09,10.12
2009,Percentage,Bavaria,code09,10.8
2010,Percentage,Bavaria,code09,14.62
2011,Percentage,Bavaria,code09,15.51
2012,Percentage,Bavaria,code09,17.8
2013,Percentage,Bavaria,code09,18.34
2014,Percentage,Bavaria,code09,18.41
2015,Percentage,Bavaria,code09,19.1
2016,Percentage,Bavaria,code09,19.83
2017,Percentage,Bavaria,code09,20.31
2018,Percentage,Bavaria,code09,21.17
2019,Percentage,Bavaria,code09,20.68
2030,Percentage,,,
2040,Percentage,,,
2050,Percentage,,,
2005,Percentage,Berlin,code11,1.25
2006,Percentage,Berlin,code11,1.93
2007,Percentage,Berlin,code11,2.35
2008,Percentage,Berlin,code11,1.64
2009,Percentage,Berlin,code11,2.17
2010,Percentage,Berlin,code11,2.84
2011,Percentage,Berlin,code11,3.28
2012,Percentage,Berlin,code11,3.36
2013,Percentage,Berlin,code11,3.56
2014,Percentage,Berlin,code11,3.36
2015,Percentage,Berlin,code11,3.58
2016,Percentage,Berlin,code11,3.48
2017,Percentage,Berlin,code11,3.74
2018,Percentage,Berlin,code11,4.2
2019,Percentage,Berlin,code11,4.55
2030,Percentage,,,
2040,Percentage,,,
2050,Percentage,,,
2005,Percentage,Brandenburg,code12,9.77
2006,Percentage,Brandenburg,code12,13.84
2007,Percentage,Brandenburg,code12,16.67
2008,Percentage,Brandenburg,code12,15.26
2009,Percentage,Brandenburg,code12,16.48
2010,Percentage,Brandenburg,code12,17.37
2011,Percentage,Brandenburg,code12,21.76
2012,Percentage,Brandenburg,code12,22.17
2013,Percentage,Brandenburg,code12,22.87
2014,Percentage,Brandenburg,code12,23.66
2015,Percentage,Brandenburg,code12,25.9
2016,Percentage,Brandenburg,code12,24.38
2017,Percentage,Brandenburg,code12,27.2
2018,Percentage,Brandenburg,code12,28.22
2019,Percentage,Brandenburg,code12,30.67
2030,Percentage,,,
2040,Percentage,,,
2050,Percentage,,,
2005,Percentage,Bremen,code04,2.08
2006,Percentage,Bremen,code04,2.59
2007,Percentage,Bremen,code04,2.72
2008,Percentage,Bremen,code04,2.72
2009,Percentage,Bremen,code04,2.93
2010,Percentage,Bremen,code04,3.24
2011,Percentage,Bremen,code04,3.54
2012,Percentage,Bremen,code04,3.72
2013,Percentage,Bremen,code04,4.32
2014,Percentage,Bremen,code04,5.06
2015,Percentage,Bremen,code04,4.6
2016,Percentage,Bremen,code04,4.21
2017,Percentage,Bremen,code04,4.48
2018,Percentage,Bremen,code04,5.23
2019,Percentage,Bremen,code04,5.37
2030,Percentage,,,
2040,Percentage,,,
2050,Percentage,,,
2005,Percentage,Hamburg,code02,2.75
2006,Percentage,Hamburg,code02,3.9
2007,Percentage,Hamburg,code02,4.57
2008,Percentage,Hamburg,code02,4.07
2009,Percentage,Hamburg,code02,4.63
2010,Percentage,Hamburg,code02,4.18
2011,Percentage,Hamburg,code02,4.51
2012,Percentage,Hamburg,code02,4.61
2013,Percentage,Hamburg,code02,4.48
2014,Percentage,Hamburg,code02,4.87
2015,Percentage,Hamburg,code02,4.92
2016,Percentage,Hamburg,code02,4.7
2017,Percentage,Hamburg,code02,4.89
2018,Percentage,Hamburg,code02,5.58
2019,Percentage,Hamburg,code02,7.13
2020,Percentage,Hamburg,code02,7.89
2030,Percentage,,,
2040,Percentage,,,
2050,Percentage,,,
2005,Percentage,Hesse,code06,4.26
2006,Percentage,Hesse,code06,5.29
2007,Percentage,Hesse,code06,6.08
2008,Percentage,Hesse,code06,5.84
2009,Percentage,Hesse,code06,6.33
2010,Percentage,Hesse,code06,7.51
2011,Percentage,Hesse,code06,8.1
