Year,Units,Federal state,GeoCode,Value
2005,Percentage,,,10.3
2006,Percentage,,,11.7
2007,Percentage,,,14.4
2008,Percentage,,,15.3
2009,Percentage,,,16.6
2010,Percentage,,,17.2
2011,Percentage,,,20.6
2012,Percentage,,,23.8
2013,Percentage,,,25.3
2014,Percentage,,,27.5
2015,Percentage,,,31.6
2016,Percentage,,,31.8
2017,Percentage,,,36.2
2018,Percentage,,,37.9
2019,Percentage,,,42.2
2020,Percentage,,,45.5
2021,Percentage,,,41.5
2022,Percentage,,,46.3
2023,Percentage,,,52.5
2030,Percentage,,,
2005,Percentage,Baden-Wuerttemberg,code08,8.583
2006,Percentage,Baden-Wuerttemberg,code08,10.059
2007,Percentage,Baden-Wuerttemberg,code08,11.262
2008,Percentage,Baden-Wuerttemberg,code08,11.435
2009,Percentage,Baden-Wuerttemberg,code08,12.156
2010,Percentage,Baden-Wuerttemberg,code08,13.785
2011,Percentage,Baden-Wuerttemberg,code08,15.251
2012,Percentage,Baden-Wuerttemberg,code08,18.075
2013,Percentage,Baden-Wuerttemberg,code08,18.874
2014,Percentage,Baden-Wuerttemberg,code08,19.719
2015,Percentage,Baden-Wuerttemberg,code08,19.855
2016,Percentage,Baden-Wuerttemberg,code08,21.065
2017,Percentage,Baden-Wuerttemberg,code08,22.4
2018,Percentage,Baden-Wuerttemberg,code08,23.014
2019,Percentage,Baden-Wuerttemberg,code08,24.585
2020,Percentage,Baden-Wuerttemberg,code08,27.393
2021,Percentage,Baden-Wuerttemberg,code08,26.756
2022,Percentage,Baden-Wuerttemberg,code08,27.309
2005,Percentage,Bavaria,code09,18.449
2006,Percentage,Bavaria,code09,20.048
2007,Percentage,Bavaria,code09,22.145
2008,Percentage,Bavaria,code09,22.644
2009,Percentage,Bavaria,code09,24.645
2010,Percentage,Bavaria,code09,26.417
2011,Percentage,Bavaria,code09,27.671
2012,Percentage,Bavaria,code09,35.247
2013,Percentage,Bavaria,code09,37.101
2014,Percentage,Bavaria,code09,38.373
2015,Percentage,Bavaria,code09,40.329
2016,Percentage,Bavaria,code09,42.261
2017,Percentage,Bavaria,code09,44.363
2018,Percentage,Bavaria,code09,42.294
2019,Percentage,Bavaria,code09,45.782
2020,Percentage,Bavaria,code09,46.854
2021,Percentage,Bavaria,code09,45.003
2005,Percentage,Berlin,code11,0.745
2006,Percentage,Berlin,code11,0.813
2007,Percentage,Berlin,code11,0.832
2010,Percentage,Berlin,code11,2.349
2011,Percentage,Berlin,code11,2.385
2012,Percentage,Berlin,code11,1.704
2013,Percentage,Berlin,code11,1.891
2014,Percentage,Berlin,code11,2.168
2015,Percentage,Berlin,code11,2.471
2016,Percentage,Berlin,code11,2.467
2017,Percentage,Berlin,code11,2.715
2018,Percentage,Berlin,code11,3.379
2019,Percentage,Berlin,code11,3.341
2020,Percentage,Berlin,code11,3.818
2021,Percentage,Berlin,code11,3.425
2022,Percentage,Berlin,code11,3.511
2005,Percentage,Brandenburg,code12,22.207
2006,Percentage,Brandenburg,code12,28.179
2007,Percentage,Brandenburg,code12,38.865
2008,Percentage,Brandenburg,code12,37.645
2009,Percentage,Brandenburg,code12,40.989
2010,Percentage,Brandenburg,code12,48.257
2011,Percentage,Brandenburg,code12,54.481
2012,Percentage,Brandenburg,code12,55.819
2013,Percentage,Brandenburg,code12,59.342
2014,Percentage,Brandenburg,code12,62.178
2015,Percentage,Brandenburg,code12,68.975
2016,Percentage,Brandenburg,code12,69.935
2017,Percentage,Brandenburg,code12,82.255
2018,Percentage,Brandenburg,code12,86.836
2019,Percentage,Brandenburg,code12,97.908
2020,Percentage,Brandenburg,code12,101.9
2021,Percentage,Brandenburg,code12,90.072
2022,Percentage,Brandenburg,code12,97.406
2005,Percentage,Bremen,code04,3.908
2006,Percentage,Bremen,code04,4.204
2007,Percentage,Bremen,code04,5.022
2008,Percentage,Bremen,code04,5.796
2009,Percentage,Bremen,code04,6.069
2010,Percentage,Bremen,code04,7.098
2011,Percentage,Bremen,code04,8.799
2012,Percentage,Bremen,code04,9.944
2013,Percentage,Bremen,code04,13.156
2014,Percentage,Bremen,code04,13.919
2015,Percentage,Bremen,code04,15.078
2016,Percentage,Bremen,code04,13.943
2017,Percentage,Bremen,code04,14.805
2018,Percentage,Bremen,code04,14.716
2019,Percentage,Bremen,code04,16.285
2020,Percentage,Bremen,code04,17.809
2021,Percentage,Bremen,code04,18.051
2005,Percentage,Hamburg,code02,1.317
2006,Percentage,Hamburg,code02,2.741
2007,Percentage,Hamburg,code02,2.677
2008,Percentage,Hamburg,code02,2.73
2009,Percentage,Hamburg,code02,2.915
2010,Percentage,Hamburg,code02,2.632
2011,Percentage,Hamburg,code02,2.816
2012,Percentage,Hamburg,code02,2.937
2013,Percentage,Hamburg,code02,2.806
2014,Percentage,Hamburg,code02,3.676
2015,Percentage,Hamburg,code02,3.832
2016,Percentage,Hamburg,code02,3.298
2017,Percentage,Hamburg,code02,3.735
2018,Percentage,Hamburg,code02,4.505
2019,Percentage,Hamburg,code02,4.821
2020,Percentage,Hamburg,code02,4.877
2021,Percentage,Hamburg,code02,4.835
2022,Percentage,Hamburg,code02,5.345
2005,Percentage,Hesse,code06,3.793
2006,Percentage,Hesse,code06,4.216
2007,Percentage,Hesse,code06,5.399
2008,Percentage,Hesse,code06,5.526
2009,Percentage,Hesse,code06,6.712
2010,Percentage,Hesse,code06,7.862
2011,Percentage,Hesse,code06,9.684
2012,Percentage,Hesse,code06,11.069
2013,Percentage,Hesse,code06,12.517
2014,Percentage,Hesse,code06,14.175
2015,Percentage,Hesse,code06,16.379
2016,Percentage,Hesse,code06,16.903
2017,Percentage,Hesse,code06,19.471
2018,Percentage,Hesse,code06,22.302
2019,Percentage,Hesse,code06,22.719
2020,Percentage,Hesse,code06,24.763
2021,Percentage,Hesse,code06,21.744
2022,Percentage,Hesse,code06,23.531
2010,Percentage,Mecklenburg Western Pomerania,code13,56.674
2011,Percentage,Mecklenburg Western Pomerania,code13,72.874
2012,Percentage,Mecklenburg Western Pomerania,code13,90.19
2013,Percentage,Mecklenburg Western Pomerania,code13,61.074
2014,Percentage,Mecklenburg Western Pomerania,code13,63.332
2006,Percentage,Lower Saxony,code03,18.628
2008,Percentage,Lower Saxony,code03,26.251
2009,Percentage,Lower Saxony,code03,26.602
2010,Percentage,Lower Saxony,code03,27.227
2011,Percentage,Lower Saxony,code03,33.843
2012,Percentage,Lower Saxony,code03,39.508
2013,Percentage,Lower Saxony,code03,40.304
2014,Percentage,Lower Saxony,code03,44.83
2015,Percentage,Lower Saxony,code03,54.282
2016,Percentage,Lower Saxony,code03,55.724
2017,Percentage,Lower Saxony,code03,68.109
2018,Percentage,Lower Saxony,code03,72.526
2019,Percentage,Lower Saxony,code03,82.902
2020,Percentage,Lower Saxony,code03,92.04
2021,Percentage,Lower Saxony,code03,81.145
2022,Percentage,Lower Saxony,code03,89.855
2005,Percentage,North Rhine-Westphalia,code05,5.701
2006,Percentage,North Rhine-Westphalia,code05,5.849
2007,Percentage,North Rhine-Westphalia,code05,6.144
2008,Percentage,North Rhine-Westphalia,code05,4.713
2009,Percentage,North Rhine-Westphalia,code05,8.033
2010,Percentage,North Rhine-Westphalia,code05,7.883
2011,Percentage,North Rhine-Westphalia,code05,8.9
2012,Percentage,North Rhine-Westphalia,code05,10.839
2013,Percentage,North Rhine-Westphalia,code05,10.145
2014,Percentage,North Rhine-Westphalia,code05,10.468
2015,Percentage,North Rhine-Westphalia,code05,12.581
2016,Percentage,North Rhine-Westphalia,code05,12.293
2017,Percentage,North Rhine-Westphalia,code05,13.746
2018,Percentage,North Rhine-Westphalia,code05,14.178
2019,Percentage,North Rhine-Westphalia,code05,16.442
2020,Percentage,North Rhine-Westphalia,code05,18.311
2021,Percentage,North Rhine-Westphalia,code05,16.9
2005,Percentage,Rhineland Palatinate,code07,7.906
2006,Percentage,Rhineland Palatinate,code07,10.156
2007,Percentage,Rhineland Palatinate,code07,12.58
2008,Percentage,Rhineland Palatinate,code07,13.016
2009,Percentage,Rhineland Palatinate,code07,14.517
2010,Percentage,Rhineland Palatinate,code07,15.289
2011,Percentage,Rhineland Palatinate,code07,16.81
2012,Percentage,Rhineland Palatinate,code07,20.593
2013,Percentage,Rhineland Palatinate,code07,23.1
2014,Percentage,Rhineland Palatinate,code07,25.431
2015,Percentage,Rhineland Palatinate,code07,30.733
2016,Percentage,Rhineland Palatinate,code07,31.229
2017,Percentage,Rhineland Palatinate,code07,33.936
2018,Percentage,Rhineland Palatinate,code07,34.943
2019,Percentage,Rhineland Palatinate,code07,38.116
2020,Percentage,Rhineland Palatinate,code07,41.252
2021,Percentage,Rhineland Palatinate,code07,36.054
2022,Percentage,Rhineland Palatinate,code07,38.75
2005,Percentage,Saarland,code10,3.229
2006,Percentage,Saarland,code10,4.219
2007,Percentage,Saarland,code10,5.3
2008,Percentage,Saarland,code10,4.66
2009,Percentage,Saarland,code10,4.921
2010,Percentage,Saarland,code10,5.658
2011,Percentage,Saarland,code10,6.535
2012,Percentage,Saarland,code10,6.595
2013,Percentage,Saarland,code10,7.61
2014,Percentage,Saarland,code10,10.223
2015,Percentage,Saarland,code10,13.083
2005,Percentage,Saxony,code14,7.573
