Year,Units,COMMENT_OBS_0,COMMENT_OBS_1,Länder,GeoCode,Value
1991,"1,000 euros",,,,,30.428
1992,"1,000 euros",,,,,30.837
1993,"1,000 euros",,,,,30.369
1994,"1,000 euros",,,,,31.081
1995,"1,000 euros",,,,,31.486
1996,"1,000 euros",,,,,31.751
1997,"1,000 euros",,,,,32.322
1998,"1,000 euros",,,,,33.026
1999,"1,000 euros",,,,,33.739
2000,"1,000 euros",,,,,34.694
2001,"1,000 euros",,,,,35.236
2002,"1,000 euros",,,,,35.129
2003,"1,000 euros",,,,,34.956
2004,"1,000 euros",,,,,35.402
2005,"1,000 euros",,,,,35.768
2006,"1,000 euros",,,,,37.226
2007,"1,000 euros",,,,,38.387
2008,"1,000 euros",,,,,38.837
2009,"1,000 euros",,,,,36.812
2010,"1,000 euros",,,,,38.429
2011,"1,000 euros",,,,,39.878
2012,"1,000 euros",,,,,40.008
2013,"1,000 euros",r,,,,40.101
2014,"1,000 euros",r,,,,40.853
2015,"1,000 euros",r,,,,41.232
2016,"1,000 euros",r,,,,41.88
2017,"1,000 euros",r,,,,42.962
2018,"1,000 euros",r,,,,43.387
2019,"1,000 euros",r,,,,43.787
2020,"1,000 euros",r,,,,42.017
2021,"1,000 euros",r,,,,43.73
2022,"1,000 euros",r,p,,,44.233
2023,"1,000 euros",r,p,,,43.449
2024,"1,000 euros",r,p,,,43.114
2025,"1,000 euros",r,p,,,43.214
1991,"1,000 euros",,,Baden-Wuerttemberg,code08,36.862
1992,"1,000 euros",,,Baden-Wuerttemberg,code08,36.612
1993,"1,000 euros",,,Baden-Wuerttemberg,code08,34.741
1994,"1,000 euros",,,Baden-Wuerttemberg,code08,35.312
1995,"1,000 euros",,,Baden-Wuerttemberg,code08,35.776
1996,"1,000 euros",,,Baden-Wuerttemberg,code08,36.097
1997,"1,000 euros",,,Baden-Wuerttemberg,code08,36.763
1998,"1,000 euros",,,Baden-Wuerttemberg,code08,37.6
1999,"1,000 euros",,,Baden-Wuerttemberg,code08,38.48
2000,"1,000 euros",,,Baden-Wuerttemberg,code08,39.673
2001,"1,000 euros",,,Baden-Wuerttemberg,code08,40.781
2002,"1,000 euros",,,Baden-Wuerttemberg,code08,40.134
2003,"1,000 euros",,,Baden-Wuerttemberg,code08,39.957
2004,"1,000 euros",,,Baden-Wuerttemberg,code08,40.034
2005,"1,000 euros",,,Baden-Wuerttemberg,code08,40.231
2006,"1,000 euros",,,Baden-Wuerttemberg,code08,42.767
2007,"1,000 euros",,,Baden-Wuerttemberg,code08,44.341
2008,"1,000 euros",,,Baden-Wuerttemberg,code08,44.523
2009,"1,000 euros",,,Baden-Wuerttemberg,code08,40.275
2010,"1,000 euros",,,Baden-Wuerttemberg,code08,43.407
2011,"1,000 euros",r,,Baden-Wuerttemberg,code08,45.531
2012,"1,000 euros",r,,Baden-Wuerttemberg,code08,45.655
2013,"1,000 euros",r,,Baden-Wuerttemberg,code08,45.754
2014,"1,000 euros",r,,Baden-Wuerttemberg,code08,46.373
2015,"1,000 euros",r,,Baden-Wuerttemberg,code08,46.986
2016,"1,000 euros",r,,Baden-Wuerttemberg,code08,47.322
2017,"1,000 euros",r,,Baden-Wuerttemberg,code08,48.797
2018,"1,000 euros",r,,Baden-Wuerttemberg,code08,49.715
2019,"1,000 euros",r,,Baden-Wuerttemberg,code08,49.543
2020,"1,000 euros",r,,Baden-Wuerttemberg,code08,46.955
2021,"1,000 euros",r,,Baden-Wuerttemberg,code08,49.586
2022,"1,000 euros",r,p,Baden-Wuerttemberg,code08,50.525
2023,"1,000 euros",r,p,Baden-Wuerttemberg,code08,49.854
2024,"1,000 euros",r,p,Baden-Wuerttemberg,code08,48.905
2025,"1,000 euros",p,,Baden-Wuerttemberg,code08,48.614
1991,"1,000 euros",,,Bavaria,code09,34.295
1992,"1,000 euros",,,Bavaria,code09,34.812
1993,"1,000 euros",,,Bavaria,code09,33.844
1994,"1,000 euros",,,Bavaria,code09,34.226
1995,"1,000 euros",,,Bavaria,code09,34.358
1996,"1,000 euros",,,Bavaria,code09,34.653
1997,"1,000 euros",,,Bavaria,code09,35.274
1998,"1,000 euros",,,Bavaria,code09,36.537
1999,"1,000 euros",,,Bavaria,code09,37.51
2000,"1,000 euros",,,Bavaria,code09,39.007
2001,"1,000 euros",,,Bavaria,code09,39.839
2002,"1,000 euros",,,Bavaria,code09,39.916
2003,"1,000 euros",,,Bavaria,code09,39.288
2004,"1,000 euros",,,Bavaria,code09,40.067
2005,"1,000 euros",,,Bavaria,code09,40.607
2006,"1,000 euros",,,Bavaria,code09,42.144
2007,"1,000 euros",,,Bavaria,code09,43.304
2008,"1,000 euros",,,Bavaria,code09,43.302
2009,"1,000 euros",,,Bavaria,code09,41.541
2010,"1,000 euros",,,Bavaria,code09,43.638
2011,"1,000 euros",r,,Bavaria,code09,46.107
2012,"1,000 euros",r,,Bavaria,code09,46.343
2013,"1,000 euros",r,,Bavaria,code09,46.716
2014,"1,000 euros",r,,Bavaria,code09,47.533
2015,"1,000 euros",r,,Bavaria,code09,48.233
2016,"1,000 euros",r,,Bavaria,code09,49.02
2017,"1,000 euros",r,,Bavaria,code09,50.629
2018,"1,000 euros",r,,Bavaria,code09,50.688
2019,"1,000 euros",r,,Bavaria,code09,51.31
2020,"1,000 euros",r,,Bavaria,code09,49.175
2021,"1,000 euros",r,,Bavaria,code09,51.28
2022,"1,000 euros",r,p,Bavaria,code09,52.123
2023,"1,000 euros",r,p,Bavaria,code09,51.575
2024,"1,000 euros",r,p,Bavaria,code09,50.637
2025,"1,000 euros",p,,Bavaria,code09,50.764
1991,"1,000 euros",,,Berlin,code11,31.518
1992,"1,000 euros",,,Berlin,code11,32.608
1993,"1,000 euros",,,Berlin,code11,33.466
1994,"1,000 euros",,,Berlin,code11,34.109
1995,"1,000 euros",,,Berlin,code11,34.675
1996,"1,000 euros",,,Berlin,code11,34.488
1997,"1,000 euros",,,Berlin,code11,34.13
1998,"1,000 euros",,,Berlin,code11,34.737
1999,"1,000 euros",,,Berlin,code11,35.089
2000,"1,000 euros",,,Berlin,code11,35.776
2001,"1,000 euros",,,Berlin,code11,35.785
2002,"1,000 euros",,,Berlin,code11,35.114
2003,"1,000 euros",,,Berlin,code11,34.449
2004,"1,000 euros",,,Berlin,code11,34.18
2005,"1,000 euros",,,Berlin,code11,34.938
2006,"1,000 euros",,,Berlin,code11,36.153
2007,"1,000 euros",,,Berlin,code11,37.256
2008,"1,000 euros",,,Berlin,code11,38.553
2009,"1,000 euros",,,Berlin,code11,38.097
2010,"1,000 euros",,,Berlin,code11,39.102
2011,"1,000 euros",r,,Berlin,code11,40.32
2012,"1,000 euros",r,,Berlin,code11,39.791
2013,"1,000 euros",r,,Berlin,code11,39.554
2014,"1,000 euros",r,,Berlin,code11,40.219
2015,"1,000 euros",r,,Berlin,code11,41.364
2016,"1,000 euros",r,,Berlin,code11,42.421
2017,"1,000 euros",r,,Berlin,code11,43.622
2018,"1,000 euros",r,,Berlin,code11,44.705
2019,"1,000 euros",r,,Berlin,code11,45.765
2020,"1,000 euros",r,,Berlin,code11,44.769
2021,"1,000 euros",r,,Berlin,code11,46.803
2022,"1,000 euros",r,p,Berlin,code11,48.707
2023,"1,000 euros",r,p,Berlin,code11,48.677
2024,"1,000 euros",r,p,Berlin,code11,48.731
2025,"1,000 euros",p,,Berlin,code11,49.016
1991,"1,000 euros",,,Brandenburg,code12,14.328
1992,"1,000 euros",,,Brandenburg,code12,15.735
1993,"1,000 euros",,,Brandenburg,code12,17.649
1994,"1,000 euros",,,Brandenburg,code12,19.655
1995,"1,000 euros",,,Brandenburg,code12,21.228
1996,"1,000 euros",,,Brandenburg,code12,22.102
1997,"1,000 euros",,,Brandenburg,code12,22.451
1998,"1,000 euros",,,Brandenburg,code12,22.642
1999,"1,000 euros",,,Brandenburg,code12,23.544
2000,"1,000 euros",,,Brandenburg,code12,24.21
2001,"1,000 euros",,,Brandenburg,code12,24.32
2002,"1,000 euros",,,Brandenburg,code12,24.459
2003,"1,000 euros",,,Brandenburg,code12,24.649
2004,"1,000 euros",,,Brandenburg,code12,25.118
2005,"1,000 euros",,,Brandenburg,code12,25.493
