Year,Units,Series,Sex,Federal state,GeoCode,Value
2000,Percentage,"Employment rate, total (20 to 64-year-olds)",,,,68.7
2001,Percentage,"Employment rate, total (20 to 64-year-olds)",,,,69.1
2002,Percentage,"Employment rate, total (20 to 64-year-olds)",,,,68.8
2003,Percentage,"Employment rate, total (20 to 64-year-olds)",,,,68.4
2004,Percentage,"Employment rate, total (20 to 64-year-olds)",,,,67.9
2005,Percentage,"Employment rate, total (20 to 64-year-olds)",,,,69.4
2006,Percentage,"Employment rate, total (20 to 64-year-olds)",,,,71.1
2007,Percentage,"Employment rate, total (20 to 64-year-olds)",,,,72.9
2008,Percentage,"Employment rate, total (20 to 64-year-olds)",,,,74.0
2009,Percentage,"Employment rate, total (20 to 64-year-olds)",,,,74.2
2010,Percentage,"Employment rate, total (20 to 64-year-olds)",,,,75.0
2011,Percentage,"Employment rate, total (20 to 64-year-olds)",,,,76.5
2012,Percentage,"Employment rate, total (20 to 64-year-olds)",,,,76.9
2013,Percentage,"Employment rate, total (20 to 64-year-olds)",,,,77.3
2014,Percentage,"Employment rate, total (20 to 64-year-olds)",,,,77.7
2015,Percentage,"Employment rate, total (20 to 64-year-olds)",,,,78.0
2016,Percentage,"Employment rate, total (20 to 64-year-olds)",,,,78.6
2017,Percentage,"Employment rate, total (20 to 64-year-olds)",,,,79.2
2018,Percentage,"Employment rate, total (20 to 64-year-olds)",,,,79.9
2019,Percentage,"Employment rate, total (20 to 64-year-olds)",,,,80.6
2020,Percentage,"Employment rate, total (20 to 64-year-olds)",,,,79.2
2021,Percentage,"Employment rate, total (20 to 64-year-olds)",,,,79.6
2030,Percentage,"Employment rate, total (20 to 64-year-olds)",,,,
2000,Percentage,"Employment rate, total (20 to 64-year-olds)",Female,,,60.7
2001,Percentage,"Employment rate, total (20 to 64-year-olds)",Female,,,61.6
2002,Percentage,"Employment rate, total (20 to 64-year-olds)",Female,,,61.8
2003,Percentage,"Employment rate, total (20 to 64-year-olds)",Female,,,62.0
2004,Percentage,"Employment rate, total (20 to 64-year-olds)",Female,,,61.8
2005,Percentage,"Employment rate, total (20 to 64-year-olds)",Female,,,63.1
2006,Percentage,"Employment rate, total (20 to 64-year-olds)",Female,,,65.0
2007,Percentage,"Employment rate, total (20 to 64-year-olds)",Female,,,66.7
2008,Percentage,"Employment rate, total (20 to 64-year-olds)",Female,,,67.8
2009,Percentage,"Employment rate, total (20 to 64-year-olds)",Female,,,68.7
