Year,Units,Type of collective bargaining agreement,Value
1996,Percentage,,79.074
1997,Percentage,,79.111
1998,Percentage,,73.602
1999,Percentage,,70.166
2000,Percentage,,67.682
2001,Percentage,,68.389
2002,Percentage,,67.578
2003,Percentage,,67.18
2004,Percentage,,65.425
2005,Percentage,,64.178
2006,Percentage,,63.037
2007,Percentage,,61.523
2008,Percentage,,61.181
2009,Percentage,,61.8
2010,Percentage,,60.538
2011,Percentage,,58.869
2012,Percentage,,58.294
2013,Percentage,,57.669
2014,Percentage,,57.819
2015,Percentage,,56.796
2016,Percentage,,56.374
2017,Percentage,,54.504
2018,Percentage,,54.376
2019,Percentage,,51.847
2020,Percentage,,51.059
2021,Percentage,,52.036
2022,Percentage,,50.828
2023,Percentage,,49.453
1996,Percentage,Sector/area collective agreement,66.992
1997,Percentage,Sector/area collective agreement,65.819
1998,Percentage,Sector/area collective agreement,64.811
1999,Percentage,Sector/area collective agreement,61.857
2000,Percentage,Sector/area collective agreement,59.935
2001,Percentage,Sector/area collective agreement,60.049
2002,Percentage,Sector/area collective agreement,59.701
2003,Percentage,Sector/area collective agreement,58.96
2004,Percentage,Sector/area collective agreement,57.562
2005,Percentage,Sector/area collective agreement,56.093
2006,Percentage,Sector/area collective agreement,54.119
2007,Percentage,Sector/area collective agreement,53.327
2008,Percentage,Sector/area collective agreement,52.546
2009,Percentage,Sector/area collective agreement,52.351
2010,Percentage,Sector/area collective agreement,52.204
2011,Percentage,Sector/area collective agreement,50.762
2012,Percentage,Sector/area collective agreement,50.019
2013,Percentage,Sector/area collective agreement,48.998
2014,Percentage,Sector/area collective agreement,49.83
2015,Percentage,Sector/area collective agreement,48.238
2016,Percentage,Sector/area collective agreement,48.274
2017,Percentage,Sector/area collective agreement,46.604
2018,Percentage,Sector/area collective agreement,45.991
2019,Percentage,Sector/area collective agreement,43.865
2020,Percentage,Sector/area collective agreement,42.839
2021,Percentage,Sector/area collective agreement,42.665
2022,Percentage,Sector/area collective agreement,40.983
2023,Percentage,Sector/area collective agreement,41.561
1996,Percentage,Company/house collective agreement,12.083
1997,Percentage,Company/house collective agreement,13.292
1998,Percentage,Company/house collective agreement,8.791
1999,Percentage,Company/house collective agreement,8.309
2000,Percentage,Company/house collective agreement,7.747
2001,Percentage,Company/house collective agreement,8.34
2002,Percentage,Company/house collective agreement,7.877
2003,Percentage,Company/house collective agreement,8.22
2004,Percentage,Company/house collective agreement,7.863
2005,Percentage,Company/house collective agreement,8.085
2006,Percentage,Company/house collective agreement,8.918
2007,Percentage,Company/house collective agreement,8.196
2008,Percentage,Company/house collective agreement,8.635
2009,Percentage,Company/house collective agreement,9.45
2010,Percentage,Company/house collective agreement,8.334
2011,Percentage,Company/house collective agreement,8.107
2012,Percentage,Company/house collective agreement,8.275
2013,Percentage,Company/house collective agreement,8.672
2014,Percentage,Company/house collective agreement,7.989
2015,Percentage,Company/house collective agreement,8.558
2016,Percentage,Company/house collective agreement,8.1
2017,Percentage,Company/house collective agreement,7.9
2018,Percentage,Company/house collective agreement,8.385
2019,Percentage,Company/house collective agreement,7.982
2020,Percentage,Company/house collective agreement,8.221
2021,Percentage,Company/house collective agreement,9.371
2022,Percentage,Company/house collective agreement,9.846
2023,Percentage,Company/house collective agreement,7.891
