Year,Value,Units,Series
1996,80.444,Percentage,Foreigns
1997,80.574,Percentage,Foreigns
1998,80.505,Percentage,Foreigns
1999,80.687,Percentage,Foreigns
2000,80.102,Percentage,Foreigns
2001,79.799,Percentage,Foreigns
2002,80.62,Percentage,Foreigns
2003,80.946,Percentage,Foreigns
2004,81.911,Percentage,Foreigns
2005,82.599,Percentage,Foreigns
2006,83.227,Percentage,Foreigns
2007,84.036,Percentage,Foreigns
2008,85.041,Percentage,Foreigns
2009,86.154,Percentage,Foreigns
2010,87.191,Percentage,Foreigns
2011,88.221,Percentage,Foreigns
2012,88.614,Percentage,Foreigns
2013,89.287,Percentage,Foreigns
2014,88.057,Percentage,Foreigns
2015,88.2,Percentage,Foreigns
2016,85.874,Percentage,Foreigns
2017,81.921,Percentage,Foreigns
2018,81.795,Percentage,Foreigns
2019,82.371,Percentage,Foreigns
2020,85.345,Percentage,Foreigns
2021,84.342,Percentage,Foreigns
2022,84.008,Percentage,Foreigns
2023,82.271,Percentage,Foreigns
2030,,Percentage,Foreigns
1996,92.284,Percentage,Germans
1997,92.286,Percentage,Germans
1998,92.059,Percentage,Germans
1999,92.002,Percentage,Germans
2000,91.691,Percentage,Germans
2001,91.347,Percentage,Germans
2002,91.795,Percentage,Germans
2003,92.074,Percentage,Germans
2004,92.58,Percentage,Germans
2005,92.761,Percentage,Germans
2006,93.047,Percentage,Germans
2007,93.6,Percentage,Germans
2008,93.8,Percentage,Germans
2009,94.227,Percentage,Germans
2010,94.572,Percentage,Germans
2011,95.006,Percentage,Germans
2012,95.102,Percentage,Germans
2013,95.377,Percentage,Germans
2014,95.136,Percentage,Germans
2015,95.0,Percentage,Germans
2016,95.1,Percentage,Germans
2017,94.733,Percentage,Germans
2018,94.58,Percentage,Germans
2019,94.526,Percentage,Germans
2020,94.906,Percentage,Germans
2021,94.86,Percentage,Germans
2022,94.259,Percentage,Germans
2023,94.212,Percentage,Germans
2030,,Percentage,Germans
1996,11.841,Percentage points,Difference
1997,11.711,Percentage points,Difference
1998,11.554,Percentage points,Difference
1999,11.315,Percentage points,Difference
2000,11.589,Percentage points,Difference
2001,11.548,Percentage points,Difference
2002,11.175,Percentage points,Difference
2003,11.128,Percentage points,Difference
2004,10.669,Percentage points,Difference
2005,10.163,Percentage points,Difference
2006,9.82,Percentage points,Difference
2007,9.564,Percentage points,Difference
2008,8.759,Percentage points,Difference
2009,8.073,Percentage points,Difference
2010,7.38,Percentage points,Difference
2011,6.784,Percentage points,Difference
2012,6.488,Percentage points,Difference
2013,6.09,Percentage points,Difference
2014,7.079,Percentage points,Difference
2015,6.8,Percentage points,Difference
2016,9.226,Percentage points,Difference
2017,12.812,Percentage points,Difference
2018,12.785,Percentage points,Difference
2019,12.155,Percentage points,Difference
2020,9.56,Percentage points,Difference
2021,10.518,Percentage points,Difference
2022,10.251,Percentage points,Difference
2023,11.941,Percentage points,Difference
2030,,Percentage points,Difference
