Year,Value,Units,Series,GeoCode
2005,1958.0,Number,Locations of organisation registered with EMAS,
2006,1985.0,Number,Locations of organisation registered with EMAS,
2007,1956.0,Number,Locations of organisation registered with EMAS,
2008,1917.0,Number,Locations of organisation registered with EMAS,
2009,1906.0,Number,Locations of organisation registered with EMAS,
2010,1913.0,Number,Locations of organisation registered with EMAS,
2011,1909.0,Number,Locations of organisation registered with EMAS,
2012,1828.0,Number,Locations of organisation registered with EMAS,
2013,1862.0,Number,Locations of organisation registered with EMAS,
2014,1906.0,Number,Locations of organisation registered with EMAS,
2015,2004.0,Number,Locations of organisation registered with EMAS,
2016,2073.0,Number,Locations of organisation registered with EMAS,
2017,2182.0,Number,Locations of organisation registered with EMAS,
2018,2167.0,Number,Locations of organisation registered with EMAS,
2019,2176.0,Number,Locations of organisation registered with EMAS,
2020,2184.0,Number,Locations of organisation registered with EMAS,
2021,2290.0,Number,Locations of organisation registered with EMAS,
2022,2361.0,Number,Locations of organisation registered with EMAS,
2023,2455.0,Number,Locations of organisation registered with EMAS,
2030,,Number,Locations of organisation registered with EMAS,
2005,961.0,1 000,Employees in EMAS organisations,
2006,926.0,1 000,Employees in EMAS organisations,
2007,860.0,1 000,Employees in EMAS organisations,
2008,840.0,1 000,Employees in EMAS organisations,
2009,803.0,1 000,Employees in EMAS organisations,
2010,781.0,1 000,Employees in EMAS organisations,
2011,765.0,1 000,Employees in EMAS organisations,
2012,773.0,1 000,Employees in EMAS organisations,
2013,788.0,1 000,Employees in EMAS organisations,
2014,785.0,1 000,Employees in EMAS organisations,
2015,801.0,1 000,Employees in EMAS organisations,
2016,842.0,1 000,Employees in EMAS organisations,
2017,985.0,1 000,Employees in EMAS organisations,
2018,929.0,1 000,Employees in EMAS organisations,
2019,988.0,1 000,Employees in EMAS organisations,
2020,860.0,1 000,Employees in EMAS organisations,
2021,911.0,1 000,Employees in EMAS organisations,
2022,915.0,1 000,Employees in EMAS organisations,
2023,1180.0,1 000,Employees in EMAS organisations,
2030,,1 000,Employees in EMAS organisations,
2005,1491.0,Number,EMAS organisations,
2006,1490.0,Number,EMAS organisations,
2007,1466.0,Number,EMAS organisations,
2008,1408.0,Number,EMAS organisations,
2009,1354.0,Number,EMAS organisations,
2010,1332.0,Number,EMAS organisations,
2011,1269.0,Number,EMAS organisations,
2012,1212.0,Number,EMAS organisations,
2013,1228.0,Number,EMAS organisations,
2014,1223.0,Number,EMAS organisations,
2015,1216.0,Number,EMAS organisations,
2016,1225.0,Number,EMAS organisations,
2017,1240.0,Number,EMAS organisations,
2018,1183.0,Number,EMAS organisations,
2019,1150.0,Number,EMAS organisations,
2020,1113.0,Number,EMAS organisations,
2021,1115.0,Number,EMAS organisations,
2022,1117.0,Number,EMAS organisations,
2023,1115.0,Number,EMAS organisations,
2030,,Number,EMAS organisations,
