Year,Value,Units,GeoCode
1990,100.0,1990 = 100,
1991,96.3,1990 = 100,
1992,92.313,1990 = 100,
1993,91.588,1990 = 100,
1994,90.157,1990 = 100,
1995,89.805,1990 = 100,
1996,91.259,1990 = 100,
1997,88.445,1990 = 100,
1998,86.413,1990 = 100,
1999,83.677,1990 = 100,
2000,83.494,1990 = 100,
2001,84.788,1990 = 100,
2002,83.071,1990 = 100,
2003,82.825,1990 = 100,
2004,81.468,1990 = 100,
2005,79.45,1990 = 100,
2006,80.016,1990 = 100,
2007,77.947,1990 = 100,
2008,78.019,1990 = 100,
2009,72.689,1990 = 100,
2010,75.349,1990 = 100,
2011,73.374,1990 = 100,
2012,73.829,1990 = 100,
2013,75.205,1990 = 100,
2014,72.023,1990 = 100,
2015,72.304,1990 = 100,
2016,72.585,1990 = 100,
2017,71.319,1990 = 100,
2018,68.486,1990 = 100,
2019,64.395,1990 = 100,
2020,58.678,1990 = 100,
2021,61.3,1990 = 100,
2030,,1990 = 100,
2040,,1990 = 100,
2045,,1990 = 100,
2050,,1990 = 100,
2030,,1990 = 100,
2040,,1990 = 100,
2045,,1990 = 100,
2050,,1990 = 100,
2030,,1990 = 100,
2040,,1990 = 100,
2045,,1990 = 100,
2050,,1990 = 100,
2030,,1990 = 100,
2040,,1990 = 100,
2045,,1990 = 100,
2050,,1990 = 100,
2030,,1990 = 100,
2040,,1990 = 100,
2045,,1990 = 100,
2050,,1990 = 100,
2030,,1990 = 100,
2040,,1990 = 100,
2045,,1990 = 100,
2050,,1990 = 100,
2030,,1990 = 100,
2040,,1990 = 100,
2045,,1990 = 100,
2050,,1990 = 100,
2030,,1990 = 100,
2040,,1990 = 100,
2045,,1990 = 100,
2050,,1990 = 100,
2030,,1990 = 100,
2040,,1990 = 100,
2045,,1990 = 100,
2050,,1990 = 100,
2030,,1990 = 100,
2040,,1990 = 100,
2045,,1990 = 100,
2050,,1990 = 100,
2030,,1990 = 100,
2040,,1990 = 100,
2045,,1990 = 100,
2050,,1990 = 100,
2030,,1990 = 100,
2040,,1990 = 100,
2045,,1990 = 100,
2050,,1990 = 100,
2030,,1990 = 100,
2040,,1990 = 100,
2045,,1990 = 100,
2050,,1990 = 100,
2030,,1990 = 100,
2040,,1990 = 100,
2045,,1990 = 100,
2050,,1990 = 100,
2030,,1990 = 100,
2040,,1990 = 100,
2045,,1990 = 100,
2050,,1990 = 100,
2030,,1990 = 100,
2040,,1990 = 100,
2045,,1990 = 100,
2050,,1990 = 100,
2030,,1990 = 100,
2040,,1990 = 100,
2045,,1990 = 100,
2050,,1990 = 100,
