Year,Value,Units,Series
2003,33.333,Percentage,Commercial exploited fish stocks assessed for MSY that is fished sustainably
2004,23.333,Percentage,Commercial exploited fish stocks assessed for MSY that is fished sustainably
2005,20.0,Percentage,Commercial exploited fish stocks assessed for MSY that is fished sustainably
2006,16.667,Percentage,Commercial exploited fish stocks assessed for MSY that is fished sustainably
2007,20.0,Percentage,Commercial exploited fish stocks assessed for MSY that is fished sustainably
2008,26.667,Percentage,Commercial exploited fish stocks assessed for MSY that is fished sustainably
2009,36.667,Percentage,Commercial exploited fish stocks assessed for MSY that is fished sustainably
2010,40.0,Percentage,Commercial exploited fish stocks assessed for MSY that is fished sustainably
2011,40.0,Percentage,Commercial exploited fish stocks assessed for MSY that is fished sustainably
2012,50.0,Percentage,Commercial exploited fish stocks assessed for MSY that is fished sustainably
2013,43.333,Percentage,Commercial exploited fish stocks assessed for MSY that is fished sustainably
2014,40.0,Percentage,Commercial exploited fish stocks assessed for MSY that is fished sustainably
2015,43.333,Percentage,Commercial exploited fish stocks assessed for MSY that is fished sustainably
2016,43.333,Percentage,Commercial exploited fish stocks assessed for MSY that is fished sustainably
2017,43.333,Percentage,Commercial exploited fish stocks assessed for MSY that is fished sustainably
2018,43.333,Percentage,Commercial exploited fish stocks assessed for MSY that is fished sustainably
2019,46.667,Percentage,Commercial exploited fish stocks assessed for MSY that is fished sustainably
2020,60.0,Percentage,Commercial exploited fish stocks assessed for MSY that is fished sustainably
2003,38.462,Percentage,Share of MSY examined stocks in all managed fish stocks
2004,38.462,Percentage,Share of MSY examined stocks in all managed fish stocks
2005,38.462,Percentage,Share of MSY examined stocks in all managed fish stocks
2006,38.462,Percentage,Share of MSY examined stocks in all managed fish stocks
2007,38.462,Percentage,Share of MSY examined stocks in all managed fish stocks
2008,38.462,Percentage,Share of MSY examined stocks in all managed fish stocks
2009,38.462,Percentage,Share of MSY examined stocks in all managed fish stocks
2010,38.462,Percentage,Share of MSY examined stocks in all managed fish stocks
2011,38.462,Percentage,Share of MSY examined stocks in all managed fish stocks
2012,38.462,Percentage,Share of MSY examined stocks in all managed fish stocks
2013,38.462,Percentage,Share of MSY examined stocks in all managed fish stocks
2014,38.462,Percentage,Share of MSY examined stocks in all managed fish stocks
2015,38.462,Percentage,Share of MSY examined stocks in all managed fish stocks
2016,38.462,Percentage,Share of MSY examined stocks in all managed fish stocks
2017,38.462,Percentage,Share of MSY examined stocks in all managed fish stocks
2018,38.462,Percentage,Share of MSY examined stocks in all managed fish stocks
2019,38.462,Percentage,Share of MSY examined stocks in all managed fish stocks
2020,38.462,Percentage,Share of MSY examined stocks in all managed fish stocks
