Year,Value,Units,Series
2012,79.0,,Corruption Perception Index in Germany
2013,78.0,,Corruption Perception Index in Germany
2014,79.0,,Corruption Perception Index in Germany
2015,81.0,,Corruption Perception Index in Germany
2016,81.0,,Corruption Perception Index in Germany
2017,81.0,,Corruption Perception Index in Germany
2018,80.0,,Corruption Perception Index in Germany
2019,80.0,,Corruption Perception Index in Germany
2020,80.0,,Corruption Perception Index in Germany
2021,80.0,,Corruption Perception Index in Germany
2012,,Number,Number of partner countries involved in German development cooperation with improved CPI scores compared with 2012
2013,20.0,Number,Number of partner countries involved in German development cooperation with improved CPI scores compared with 2012
2014,40.0,Number,Number of partner countries involved in German development cooperation with improved CPI scores compared with 2012
2015,43.0,Number,Number of partner countries involved in German development cooperation with improved CPI scores compared with 2012
2016,45.0,Number,Number of partner countries involved in German development cooperation with improved CPI scores compared with 2012
2017,45.0,Number,Number of partner countries involved in German development cooperation with improved CPI scores compared with 2012
2018,44.0,Number,Number of partner countries involved in German development cooperation with improved CPI scores compared with 2012
2019,45.0,Number,Number of partner countries involved in German development cooperation with improved CPI scores compared with 2012
2020,47.0,Number,Number of partner countries involved in German development cooperation with improved CPI scores compared with 2012
2021,48.0,Number,Number of partner countries involved in German development cooperation with improved CPI scores compared with 2012
