Year,Value,Units
1995,0.31,Percentage
1996,0.32,Percentage
1997,0.28,Percentage
1998,0.26,Percentage
1999,0.26,Percentage
2000,0.27,Percentage
2001,0.27,Percentage
2002,0.27,Percentage
2003,0.28,Percentage
2004,0.28,Percentage
2005,0.36,Percentage
2006,0.36,Percentage
2007,0.37,Percentage
2008,0.38,Percentage
2009,0.35,Percentage
2010,0.39,Percentage
2011,0.39,Percentage
2012,0.37,Percentage
2013,0.38,Percentage
2014,0.42,Percentage
2015,0.52,Percentage
2016,0.7,Percentage
2017,0.67,Percentage
2018,0.61,Percentage
2019,0.61,Percentage
2020,0.73,Percentage
2021,0.76,Percentage
2022,0.85,Percentage
2023,0.82,Percentage
2024,0.67,Percentage
2030,,Percentage
