Year,Value,Units,GeoCode,COMMENT_OBS_0,COMMENT_OBS_1
1999,14.9,Percentage,,,
2000,14.6,Percentage,,r,
2001,12.3,Percentage,,r,
2002,12.5,Percentage,,r,
2003,12.8,Percentage,,,
2004,12.1,Percentage,,,
2005,13.5,Percentage,,r,
2006,13.7,Percentage,,r,
2007,12.5,Percentage,,r,
2008,11.8,Percentage,,,
2009,11.1,Percentage,,,
2010,11.9,Percentage,,r,
2011,11.6,Percentage,,,
2012,10.4,Percentage,,r,
2013,9.8,Percentage,,,
2014,9.5,Percentage,,,
2015,9.8,Percentage,,r,
2016,10.3,Percentage,,,
2017,10.1,Percentage,,,
2018,10.3,Percentage,,,
2019,10.3,Percentage,,,
2020,10.2,Percentage,,|,r
2021,12.0,Percentage,,r,
2022,12.5,Percentage,,r,
2023,13.3,Percentage,,r,
2024,13.8,Percentage,,,
2025,13.3,Percentage,,p,
2030,,Percentage,,…,
