Year,Value,Units,Series
2008,21.2,Percentage,<u>Time series of the indicator:</u> Children whose fathers have received parental allowance
2009,24.0,Percentage,<u>Time series of the indicator:</u> Children whose fathers have received parental allowance
2010,25.9,Percentage,<u>Time series of the indicator:</u> Children whose fathers have received parental allowance
2011,28.0,Percentage,<u>Time series of the indicator:</u> Children whose fathers have received parental allowance
2012,30.0,Percentage,<u>Time series of the indicator:</u> Children whose fathers have received parental allowance
2013,32.6,Percentage,<u>Time series of the indicator:</u> Children whose fathers have received parental allowance
2014,34.8,Percentage,<u>Time series of the indicator:</u> Children whose fathers have received parental allowance
2015,36.9,Percentage,<u>Time series of the indicator:</u> Children whose fathers have received parental allowance
2016,38.8,Percentage,<u>Time series of the indicator:</u> Children whose fathers have received parental allowance
2017,40.4,Percentage,<u>Time series of the indicator:</u> Children whose fathers have received parental allowance
2018,42.1,Percentage,<u>Time series of the indicator:</u> Children whose fathers have received parental allowance
2019,43.5,Percentage,<u>Time series of the indicator:</u> Children whose fathers have received parental allowance
2020,43.7,Percentage,<u>Time series of the indicator:</u> Children whose fathers have received parental allowance
2021,46.2,Percentage,<u>Time series of the indicator:</u> Children whose fathers have received parental allowance
2022,46.3,Percentage,<u>Time series of the indicator:</u> Children whose fathers have received parental allowance
2030,,Percentage,<u>Time series of the indicator:</u> Children whose fathers have received parental allowance
2008,,Percentage,<u>Additional time series:</u> Male recipients of all parental allowance months taken
2009,6.8,Percentage,<u>Additional time series:</u> Male recipients of all parental allowance months taken
2010,7.0,Percentage,<u>Additional time series:</u> Male recipients of all parental allowance months taken
2011,7.4,Percentage,<u>Additional time series:</u> Male recipients of all parental allowance months taken
2012,7.7,Percentage,<u>Additional time series:</u> Male recipients of all parental allowance months taken
2013,8.2,Percentage,<u>Additional time series:</u> Male recipients of all parental allowance months taken
2014,8.6,Percentage,<u>Additional time series:</u> Male recipients of all parental allowance months taken
2015,8.8,Percentage,<u>Additional time series:</u> Male recipients of all parental allowance months taken
2016,9.1,Percentage,<u>Additional time series:</u> Male recipients of all parental allowance months taken
2017,9.3,Percentage,<u>Additional time series:</u> Male recipients of all parental allowance months taken
2018,9.5,Percentage,<u>Additional time series:</u> Male recipients of all parental allowance months taken
2019,9.6,Percentage,<u>Additional time series:</u> Male recipients of all parental allowance months taken
2020,9.6,Percentage,<u>Additional time series:</u> Male recipients of all parental allowance months taken
2021,10.0,Percentage,<u>Additional time series:</u> Male recipients of all parental allowance months taken
2022,10.0,Percentage,<u>Additional time series:</u> Male recipients of all parental allowance months taken
2030,,Percentage,<u>Additional time series:</u> Male recipients of all parental allowance months taken
