Year,Value,Units
1990,17.742,Percentage
1991,17.297,Percentage
1992,19.271,Percentage
1993,20.43,Percentage
1994,23.196,Percentage
1995,23.529,Percentage
1996,21.393,Percentage
1997,23.645,Percentage
1998,19.524,Percentage
1999,26.728,Percentage
2000,28.507,Percentage
2001,29.358,Percentage
2002,25.893,Percentage
2003,31.25,Percentage
2004,31.696,Percentage
2005,30.242,Percentage
2006,33.333,Percentage
2007,30.488,Percentage
2008,32.773,Percentage
2009,33.2,Percentage
2010,31.349,Percentage
2011,36.905,Percentage
2012,34.694,Percentage
2013,35.341,Percentage
2014,33.603,Percentage
2015,29.96,Percentage
2016,36.905,Percentage
2017,34.836,Percentage
2018,43.651,Percentage
2019,41.564,Percentage
2020,41.7,Percentage
2021,43.426,Percentage
2022,42.742,Percentage
2023,41.81,Percentage
2030,,Percentage
