Year,Value,Units,GeoCode
2005,10.3,Percentage,
2006,11.7,Percentage,
2007,14.3,Percentage,
2008,15.2,Percentage,
2009,16.5,Percentage,
2010,17.1,Percentage,
2011,20.4,Percentage,
2012,23.6,Percentage,
2013,25.1,Percentage,
2014,27.3,Percentage,
2015,31.4,Percentage,
2016,31.6,Percentage,
2017,36.0,Percentage,
2018,37.6,Percentage,
2019,41.9,Percentage,
2020,45.2,Percentage,
2021,41.1,Percentage,
2030,,Percentage,
2050,,Percentage,
2040,,Percentage,
2030,,Percentage,
2050,,Percentage,
2040,,Percentage,
2030,,Percentage,
2050,,Percentage,
2040,,Percentage,
2030,,Percentage,
2050,,Percentage,
2040,,Percentage,
2030,,Percentage,
2050,,Percentage,
2040,,Percentage,
2030,,Percentage,
2050,,Percentage,
2040,,Percentage,
2030,,Percentage,
2050,,Percentage,
2040,,Percentage,
2030,,Percentage,
2050,,Percentage,
2040,,Percentage,
2030,,Percentage,
2050,,Percentage,
2040,,Percentage,
2030,,Percentage,
2050,,Percentage,
2040,,Percentage,
2030,,Percentage,
2050,,Percentage,
2040,,Percentage,
2030,,Percentage,
2050,,Percentage,
2040,,Percentage,
2030,,Percentage,
2050,,Percentage,
2040,,Percentage,
2030,,Percentage,
2050,,Percentage,
2040,,Percentage,
2030,,Percentage,
2050,,Percentage,
2040,,Percentage,
2030,,Percentage,
2050,,Percentage,
2040,,Percentage,
2030,,Percentage,
2050,,Percentage,
2040,,Percentage,
