Year,Value,Units,GeoCode,COMMENT_OBS_0,COMMENT_OBS_1
1991,39.0,Percentage,,,
1992,41.4,Percentage,,,
1993,45.1,Percentage,,,
1994,47.5,Percentage,,,
1995,54.9,Percentage,,,
1996,57.7,Percentage,,,
1997,58.8,Percentage,,,
1998,59.4,Percentage,,,
1999,60.3,Percentage,,,
2000,59.2,Percentage,,,
2001,58.1,Percentage,,,
2002,59.8,Percentage,,,
2003,63.3,Percentage,,,
2004,65.0,Percentage,,,
2005,67.1,Percentage,,,
2006,66.4,Percentage,,,
2007,63.7,Percentage,,,
2008,65.2,Percentage,,,
2009,72.4,Percentage,,r,
2010,81.0,Percentage,,,
2011,78.5,Percentage,,,
2012,79.8,Percentage,,,
2013,77.5,Percentage,,r,
2014,74.5,Percentage,,,
2015,71.2,Percentage,,,
2016,68.3,Percentage,,,
2017,64.0,Percentage,,,
2018,60.8,Percentage,,,
2019,58.7,Percentage,,,
2020,68.0,Percentage,,r,
2021,67.9,Percentage,,r,
2022,64.4,Percentage,,r,p
2023,62.3,Percentage,,r,p
2024,62.2,Percentage,,r,p
2025,63.5,Percentage,,p,
