Year,Value,Units,GeoCode
1991,30.409,1.000 EUR,
1992,30.819,1.000 EUR,
1993,30.351,1.000 EUR,
1994,31.062,1.000 EUR,
1995,31.467,1.000 EUR,
1996,31.732,1.000 EUR,
1997,32.303,1.000 EUR,
1998,33.007,1.000 EUR,
1999,33.719,1.000 EUR,
2000,34.675,1.000 EUR,
2001,35.216,1.000 EUR,
2002,35.11,1.000 EUR,
2003,34.9369,1.000 EUR,
2004,35.382,1.000 EUR,
2005,35.748,1.000 EUR,
2006,37.201,1.000 EUR,
2007,38.362,1.000 EUR,
2008,38.821,1.000 EUR,
2009,36.796,1.000 EUR,
2010,38.417,1.000 EUR,
2011,39.865,1.000 EUR,
2012,39.979,1.000 EUR,
2013,40.024,1.000 EUR,
2014,40.722,1.000 EUR,
2015,41.039,1.000 EUR,
2016,41.643,1.000 EUR,
2017,42.614,1.000 EUR,
2018,42.961,1.000 EUR,
2019,43.287,1.000 EUR,
2020,41.481,1.000 EUR,
2021,42.985,1.000 EUR,
2022,43.261,1.000 EUR,
2023,42.78,1.000 EUR,
