Year,Units,time series,type of area,Value
1996,hectares per day,moving four-year average,,120.0
1997,hectares per day,moving four-year average,,121.0
1998,hectares per day,moving four-year average,,124.0
1999,hectares per day,moving four-year average,,126.0
2000,hectares per day,moving four-year average,,129.0
2001,hectares per day,moving four-year average,,128.0
2002,hectares per day,moving four-year average,,123.0
2003,hectares per day,moving four-year average,,115.0
2004,hectares per day,moving four-year average,,115.0
2005,hectares per day,moving four-year average,,114.0
2006,hectares per day,moving four-year average,,113.0
2007,hectares per day,moving four-year average,,113.0
2008,hectares per day,moving four-year average,,104.0
2009,hectares per day,moving four-year average,,94.0
2010,hectares per day,moving four-year average,,87.0
2011,hectares per day,moving four-year average,,81.0
2012,hectares per day,moving four-year average,,74.0
2013,hectares per day,moving four-year average,,73.0
2014,hectares per day,moving four-year average,,69.0
2015,hectares per day,moving four-year average,,66.0
2016,hectares per day,moving four-year average,,62.0
2017,hectares per day,moving four-year average,,58.0
2018,hectares per day,moving four-year average,,56.0
2019,hectares per day,moving four-year average,,52.0
2020,hectares per day,moving four-year average,,53.0
2021,hectares per day,moving four-year average,,53.0
2022,hectares per day,moving four-year average,,49.0
2023,hectares per day,moving four-year average,,51.0
2030,hectares per day,moving four-year average,,
1996,hectares per day,moving four-year average,transport area,24.0
1997,hectares per day,moving four-year average,transport area,21.0
1998,hectares per day,moving four-year average,transport area,23.0
1999,hectares per day,moving four-year average,transport area,23.0
2000,hectares per day,moving four-year average,transport area,23.0
2001,hectares per day,moving four-year average,transport area,23.0
2002,hectares per day,moving four-year average,transport area,23.0
2003,hectares per day,moving four-year average,transport area,22.0
2004,hectares per day,moving four-year average,transport area,22.0
2005,hectares per day,moving four-year average,transport area,23.0
2006,hectares per day,moving four-year average,transport area,24.0
2007,hectares per day,moving four-year average,transport area,25.0
2008,hectares per day,moving four-year average,transport area,24.0
2009,hectares per day,moving four-year average,transport area,22.0
2010,hectares per day,moving four-year average,transport area,21.0
2011,hectares per day,moving four-year average,transport area,19.0
2012,hectares per day,moving four-year average,transport area,17.0
2013,hectares per day,moving four-year average,transport area,17.0
2014,hectares per day,moving four-year average,transport area,17.0
2015,hectares per day,moving four-year average,transport area,16.0
2016,hectares per day,moving four-year average,transport area,
2017,hectares per day,moving four-year average,transport area,
2018,hectares per day,moving four-year average,transport area,
2019,hectares per day,moving four-year average,transport area,
2020,hectares per day,moving four-year average,transport area,7.0
2021,hectares per day,moving four-year average,transport area,6.0
2022,hectares per day,moving four-year average,transport area,1.0
2023,hectares per day,moving four-year average,transport area,1.0
1996,hectares per day,moving four-year average,"recreation area, cemetery",9.0
1997,hectares per day,moving four-year average,"recreation area, cemetery",20.0
1998,hectares per day,moving four-year average,"recreation area, cemetery",21.0
1999,hectares per day,moving four-year average,"recreation area, cemetery",21.0
2000,hectares per day,moving four-year average,"recreation area, cemetery",20.0
2001,hectares per day,moving four-year average,"recreation area, cemetery",23.0
2002,hectares per day,moving four-year average,"recreation area, cemetery",23.0
2003,hectares per day,moving four-year average,"recreation area, cemetery",26.0
2004,hectares per day,moving four-year average,"recreation area, cemetery",32.0
