Year,Units,degree of urbanisation,federal state,GeoCode,Value
2000,2000 = 100,,,,100.0
2001,2000 = 100,,,,99.27
2002,2000 = 100,,,,98.453
2003,2000 = 100,,,,97.531
2004,2000 = 100,,,,96.596
2005,2000 = 100,,,,95.727
2006,2000 = 100,,,,94.803
2007,2000 = 100,,,,93.924
2008,2000 = 100,,,,92.924
2009,2000 = 100,,,,92.141
2010,2000 = 100,,,,91.543
2011,2000 = 100,,,,90.807
2012,2000 = 100,,,,90.585
2013,2000 = 100,,,,90.431
2014,2000 = 100,,,,90.361
2015,2000 = 100,,,,91.129
2016,2000 = 100,,,,91.121
2017,2000 = 100,,,,90.957
2018,2000 = 100,,,,90.631
2019,2000 = 100,,,,90.494
2020,2000 = 100,,,,90.112
2021,2000 = 100,,,,89.837
2000,2000 = 100,non-rural areas,,,100.0
2001,2000 = 100,non-rural areas,,,99.694
2002,2000 = 100,non-rural areas,,,99.283
2003,2000 = 100,non-rural areas,,,98.797
2004,2000 = 100,non-rural areas,,,98.268
2005,2000 = 100,non-rural areas,,,97.886
2006,2000 = 100,non-rural areas,,,97.526
2007,2000 = 100,non-rural areas,,,97.184
2008,2000 = 100,non-rural areas,,,96.704
2009,2000 = 100,non-rural areas,,,96.358
2010,2000 = 100,non-rural areas,,,96.224
2011,2000 = 100,non-rural areas,,,96.297
2012,2000 = 100,non-rural areas,,,96.657
2013,2000 = 100,non-rural areas,,,96.999
2014,2000 = 100,non-rural areas,,,97.529
2015,2000 = 100,non-rural areas,,,98.643
2016,2000 = 100,non-rural areas,,,99.012
2017,2000 = 100,non-rural areas,,,99.185
2018,2000 = 100,non-rural areas,,,99.414
2019,2000 = 100,non-rural areas,,,99.5
2020,2000 = 100,non-rural areas,,,99.213
2021,2000 = 100,non-rural areas,,,99.04
2000,2000 = 100,rural areas,,,100.0
2001,2000 = 100,rural areas,,,99.107
2002,2000 = 100,rural areas,,,98.137
2003,2000 = 100,rural areas,,,97.039
2004,2000 = 100,rural areas,,,95.945
2005,2000 = 100,rural areas,,,94.84
2006,2000 = 100,rural areas,,,93.623
2007,2000 = 100,rural areas,,,92.469
2008,2000 = 100,rural areas,,,91.205
2009,2000 = 100,rural areas,,,90.198
2010,2000 = 100,rural areas,,,89.33
2011,2000 = 100,rural areas,,,88.222
2012,2000 = 100,rural areas,,,87.668
2013,2000 = 100,rural areas,,,87.239
2014,2000 = 100,rural areas,,,86.899
2015,2000 = 100,rural areas,,,87.463
2016,2000 = 100,rural areas,,,87.248
2017,2000 = 100,rural areas,,,86.933
2018,2000 = 100,rural areas,,,86.418
2019,2000 = 100,rural areas,,,86.187
2020,2000 = 100,rural areas,,,85.822
2021,2000 = 100,rural areas,,,85.408
2000,2000 = 100,,baden-wuerttemberg,code08,100.0
2001,2000 = 100,,baden-wuerttemberg,code08,99.699
2002,2000 = 100,,baden-wuerttemberg,code08,99.336
2003,2000 = 100,,baden-wuerttemberg,code08,98.73
2004,2000 = 100,,baden-wuerttemberg,code08,98.196
2005,2000 = 100,,baden-wuerttemberg,code08,97.609
2006,2000 = 100,,baden-wuerttemberg,code08,96.852
2007,2000 = 100,,baden-wuerttemberg,code08,96.098
2008,2000 = 100,,baden-wuerttemberg,code08,95.401
2009,2000 = 100,,baden-wuerttemberg,code08,94.753
2010,2000 = 100,,baden-wuerttemberg,code08,94.268
2011,2000 = 100,,baden-wuerttemberg,code08,94.145
2012,2000 = 100,,baden-wuerttemberg,code08,94.207
2013,2000 = 100,,baden-wuerttemberg,code08,94.391
2014,2000 = 100,,baden-wuerttemberg,code08,94.797
2015,2000 = 100,,baden-wuerttemberg,code08,95.884
2016,2000 = 100,,baden-wuerttemberg,code08,96.166
2017,2000 = 100,,baden-wuerttemberg,code08,96.26
2018,2000 = 100,,baden-wuerttemberg,code08,96.357
2019,2000 = 100,,baden-wuerttemberg,code08,96.305
2020,2000 = 100,,baden-wuerttemberg,code08,95.964
2021,2000 = 100,,baden-wuerttemberg,code08,95.736
2000,2000 = 100,,bavaria,code09,100.0
2001,2000 = 100,,bavaria,code09,99.681
2002,2000 = 100,,bavaria,code09,99.206
2003,2000 = 100,,bavaria,code09,98.622
2004,2000 = 100,,bavaria,code09,98.002
2005,2000 = 100,,bavaria,code09,97.402
2006,2000 = 100,,bavaria,code09,96.59
2007,2000 = 100,,bavaria,code09,96.018
2008,2000 = 100,,bavaria,code09,95.224
2009,2000 = 100,,bavaria,code09,94.377
2010,2000 = 100,,bavaria,code09,93.64
2011,2000 = 100,,bavaria,code09,91.496
2012,2000 = 100,,bavaria,code09,91.566
2013,2000 = 100,,bavaria,code09,91.675
2014,2000 = 100,,bavaria,code09,91.879
2015,2000 = 100,,bavaria,code09,92.448
2016,2000 = 100,,bavaria,code09,92.544
2017,2000 = 100,,bavaria,code09,92.551
2018,2000 = 100,,bavaria,code09,92.718
2019,2000 = 100,,bavaria,code09,92.629
2020,2000 = 100,,bavaria,code09,92.281
2021,2000 = 100,,bavaria,code09,92.137
2000,2000 = 100,,berlin,code11,100.0
2001,2000 = 100,,berlin,code11,99.584
2002,2000 = 100,,berlin,code11,99.266
2003,2000 = 100,,berlin,code11,98.716
2004,2000 = 100,,berlin,code11,98.429
2005,2000 = 100,,berlin,code11,98.072
2006,2000 = 100,,berlin,code11,98.074
2007,2000 = 100,,berlin,code11,97.845
2008,2000 = 100,,berlin,code11,98.027
2009,2000 = 100,,berlin,code11,97.595
2010,2000 = 100,,berlin,code11,97.686
2011,2000 = 100,,berlin,code11,99.106
2012,2000 = 100,,berlin,code11,100.895
2013,2000 = 100,,berlin,code11,102.125
2014,2000 = 100,,berlin,code11,103.558
2015,2000 = 100,,berlin,code11,105.056
2016,2000 = 100,,berlin,code11,106.691
2017,2000 = 100,,berlin,code11,107.679
