Year,Units,federal state,GeoCode,Value
1990,1990 = 100,,,100.0
1991,1990 = 100,,,96.321
1992,1990 = 100,,,92.356
1993,1990 = 100,,,91.622
1994,1990 = 100,,,90.173
1995,1990 = 100,,,89.601
1996,1990 = 100,,,90.981
1997,1990 = 100,,,88.122
1998,1990 = 100,,,86.166
1999,1990 = 100,,,83.428
2000,1990 = 100,,,83.191
2001,1990 = 100,,,84.363
2002,1990 = 100,,,82.625
2003,1990 = 100,,,81.935
2004,1990 = 100,,,80.056
2005,1990 = 100,,,78.96
2006,1990 = 100,,,80.038
2007,1990 = 100,,,76.819
2008,1990 = 100,,,77.447
2009,1990 = 100,,,71.946
2010,1990 = 100,,,74.194
2011,1990 = 100,,,72.307
2012,1990 = 100,,,73.121
2013,1990 = 100,,,74.479
2014,1990 = 100,,,71.233
2015,1990 = 100,,,71.913
2016,1990 = 100,,,71.539
2017,1990 = 100,,,70.35
2018,1990 = 100,,,68.1
2019,1990 = 100,,,63.707
2020,1990 = 100,,,58.51
2021,1990 = 100,,,60.736
2022,1990 = 100,,,59.966
2023,1990 = 100,,,53.888
2030,1990 = 100,,,
2040,1990 = 100,,,
2045,1990 = 100,,,
1990,1990 = 100,baden-wuerttemberg,code08,100.0
1995,1990 = 100,baden-wuerttemberg,code08,104.0
2000,1990 = 100,baden-wuerttemberg,code08,97.0
2003,1990 = 100,baden-wuerttemberg,code08,97.1
2004,1990 = 100,baden-wuerttemberg,code08,95.5
2005,1990 = 100,baden-wuerttemberg,code08,98.2
2006,1990 = 100,baden-wuerttemberg,code08,99.0
2007,1990 = 100,baden-wuerttemberg,code08,90.9
2008,1990 = 100,baden-wuerttemberg,code08,92.8
2009,1990 = 100,baden-wuerttemberg,code08,85.6
2010,1990 = 100,baden-wuerttemberg,code08,87.2
2011,1990 = 100,baden-wuerttemberg,code08,85.3
2012,1990 = 100,baden-wuerttemberg,code08,83.9
2013,1990 = 100,baden-wuerttemberg,code08,90.1
2014,1990 = 100,baden-wuerttemberg,code08,84.3
2015,1990 = 100,baden-wuerttemberg,code08,86.0
2016,1990 = 100,baden-wuerttemberg,code08,88.0
2017,1990 = 100,baden-wuerttemberg,code08,88.5
2018,1990 = 100,baden-wuerttemberg,code08,84.9
2019,1990 = 100,baden-wuerttemberg,code08,81.8
2020,1990 = 100,baden-wuerttemberg,code08,75.8
2021,1990 = 100,baden-wuerttemberg,code08,79.3
1990,1990 = 100,bavaria,code09,100.0
1995,1990 = 100,bavaria,code09,101.7
2000,1990 = 100,bavaria,code09,99.1
2003,1990 = 100,bavaria,code09,93.0
2004,1990 = 100,bavaria,code09,91.3
2005,1990 = 100,bavaria,code09,88.7
2006,1990 = 100,bavaria,code09,89.6
2007,1990 = 100,bavaria,code09,83.4
2008,1990 = 100,bavaria,code09,87.6
2009,1990 = 100,bavaria,code09,84.5
2010,1990 = 100,bavaria,code09,87.4
2011,1990 = 100,bavaria,code09,86.1
2012,1990 = 100,bavaria,code09,86.2
2013,1990 = 100,bavaria,code09,86.7
2014,1990 = 100,bavaria,code09,83.0
2015,1990 = 100,bavaria,code09,83.8
2016,1990 = 100,bavaria,code09,85.3
2017,1990 = 100,bavaria,code09,84.9
2018,1990 = 100,bavaria,code09,83.8
2019,1990 = 100,bavaria,code09,84.7
2020,1990 = 100,bavaria,code09,81.0
2021,1990 = 100,bavaria,code09,80.7
1990,1990 = 100,hesse,code06,100.0
1995,1990 = 100,hesse,code06,107.5
2000,1990 = 100,hesse,code06,99.8
2003,1990 = 100,hesse,code06,97.1
2004,1990 = 100,hesse,code06,94.9
2005,1990 = 100,hesse,code06,92.7
2006,1990 = 100,hesse,code06,90.5
2007,1990 = 100,hesse,code06,85.2
2008,1990 = 100,hesse,code06,85.9
2009,1990 = 100,hesse,code06,82.7
2010,1990 = 100,hesse,code06,84.0
2011,1990 = 100,hesse,code06,80.4
2012,1990 = 100,hesse,code06,80.3
2013,1990 = 100,hesse,code06,79.6
2014,1990 = 100,hesse,code06,74.7
2015,1990 = 100,hesse,code06,78.1
2016,1990 = 100,hesse,code06,80.4
2017,1990 = 100,hesse,code06,78.5
2018,1990 = 100,hesse,code06,74.7
2019,1990 = 100,hesse,code06,74.9
2020,1990 = 100,hesse,code06,69.1
2021,1990 = 100,hesse,code06,70.3
1990,1990 = 100,rhineland palatinate,code07,100.0
1995,1990 = 100,rhineland palatinate,code07,110.4
2000,1990 = 100,rhineland palatinate,code07,76.8
2003,1990 = 100,rhineland palatinate,code07,71.6
2004,1990 = 100,rhineland palatinate,code07,71.7
2005,1990 = 100,rhineland palatinate,code07,70.3
2006,1990 = 100,rhineland palatinate,code07,71.1
2007,1990 = 100,rhineland palatinate,code07,71.2
2008,1990 = 100,rhineland palatinate,code07,73.6
2009,1990 = 100,rhineland palatinate,code07,71.7
2010,1990 = 100,rhineland palatinate,code07,68.6
2011,1990 = 100,rhineland palatinate,code07,64.0
2012,1990 = 100,rhineland palatinate,code07,64.1
2013,1990 = 100,rhineland palatinate,code07,66.6
2014,1990 = 100,rhineland palatinate,code07,62.6
2015,1990 = 100,rhineland palatinate,code07,63.4
2016,1990 = 100,rhineland palatinate,code07,64.0
2017,1990 = 100,rhineland palatinate,code07,64.6
2018,1990 = 100,rhineland palatinate,code07,62.8
2019,1990 = 100,rhineland palatinate,code07,64.1
2020,1990 = 100,rhineland palatinate,code07,62.4
2021,1990 = 100,rhineland palatinate,code07,62.6
1990,1990 = 100,saxony-anhalt,code15,100.0
1995,1990 = 100,saxony-anhalt,code15,56.8
2000,1990 = 100,saxony-anhalt,code15,58.4
2003,1990 = 100,saxony-anhalt,code15,63.4
2004,1990 = 100,saxony-anhalt,code15,62.2
2005,1990 = 100,saxony-anhalt,code15,62.3
2006,1990 = 100,saxony-anhalt,code15,62.0
2007,1990 = 100,saxony-anhalt,code15,60.5
2008,1990 = 100,saxony-anhalt,code15,62.2
2009,1990 = 100,saxony-anhalt,code15,64.6
2010,1990 = 100,saxony-anhalt,code15,63.3
2011,1990 = 100,saxony-anhalt,code15,62.7
2012,1990 = 100,saxony-anhalt,code15,63.4
2013,1990 = 100,saxony-anhalt,code15,62.4
2014,1990 = 100,saxony-anhalt,code15,59.1
2015,1990 = 100,saxony-anhalt,code15,57.7
2016,1990 = 100,saxony-anhalt,code15,56.1
2017,1990 = 100,saxony-anhalt,code15,56.4
2018,1990 = 100,saxony-anhalt,code15,58.6
2019,1990 = 100,saxony-anhalt,code15,53.0
2020,1990 = 100,saxony-anhalt,code15,49.7
2021,1990 = 100,saxony-anhalt,code15,52.7
1990,1990 = 100,schleswig-holstein,code01,100.0
1995,1990 = 100,schleswig-holstein,code01,96.7
2000,1990 = 100,schleswig-holstein,code01,91.1
2003,1990 = 100,schleswig-holstein,code01,90.2
2004,1990 = 100,schleswig-holstein,code01,85.9
2005,1990 = 100,schleswig-holstein,code01,83.3
2006,1990 = 100,schleswig-holstein,code01,83.3
2007,1990 = 100,schleswig-holstein,code01,76.5
2008,1990 = 100,schleswig-holstein,code01,81.6
2009,1990 = 100,schleswig-holstein,code01,79.1
2010,1990 = 100,schleswig-holstein,code01,81.0
2011,1990 = 100,schleswig-holstein,code01,76.4
2012,1990 = 100,schleswig-holstein,code01,80.6
2013,1990 = 100,schleswig-holstein,code01,81.4
2014,1990 = 100,schleswig-holstein,code01,77.9
2015,1990 = 100,schleswig-holstein,code01,76.9
2016,1990 = 100,schleswig-holstein,code01,76.5
2017,1990 = 100,schleswig-holstein,code01,76.5
2018,1990 = 100,schleswig-holstein,code01,75.4
2019,1990 = 100,schleswig-holstein,code01,70.9
2020,1990 = 100,schleswig-holstein,code01,69.5
2021,1990 = 100,schleswig-holstein,code01,69.4
