Year,Units,Series,sea,Value
2003,percentage,commercial exploited fish stocks assessed for msy that is fished sustainably,,41.176
2004,percentage,commercial exploited fish stocks assessed for msy that is fished sustainably,,29.412
2005,percentage,commercial exploited fish stocks assessed for msy that is fished sustainably,,32.353
2006,percentage,commercial exploited fish stocks assessed for msy that is fished sustainably,,26.471
2007,percentage,commercial exploited fish stocks assessed for msy that is fished sustainably,,32.353
2008,percentage,commercial exploited fish stocks assessed for msy that is fished sustainably,,35.294
2009,percentage,commercial exploited fish stocks assessed for msy that is fished sustainably,,32.353
2010,percentage,commercial exploited fish stocks assessed for msy that is fished sustainably,,35.294
2011,percentage,commercial exploited fish stocks assessed for msy that is fished sustainably,,47.059
2012,percentage,commercial exploited fish stocks assessed for msy that is fished sustainably,,52.941
2013,percentage,commercial exploited fish stocks assessed for msy that is fished sustainably,,52.941
2014,percentage,commercial exploited fish stocks assessed for msy that is fished sustainably,,47.059
2015,percentage,commercial exploited fish stocks assessed for msy that is fished sustainably,,41.176
2016,percentage,commercial exploited fish stocks assessed for msy that is fished sustainably,,44.118
2017,percentage,commercial exploited fish stocks assessed for msy that is fished sustainably,,48.571
2018,percentage,commercial exploited fish stocks assessed for msy that is fished sustainably,,54.286
2019,percentage,commercial exploited fish stocks assessed for msy that is fished sustainably,,42.857
2020,percentage,commercial exploited fish stocks assessed for msy that is fished sustainably,,51.429
2021,percentage,commercial exploited fish stocks assessed for msy that is fished sustainably,,57.143
2022,percentage,commercial exploited fish stocks assessed for msy that is fished sustainably,,62.857
2023,percentage,commercial exploited fish stocks assessed for msy that is fished sustainably,,71.429
2030,percentage,commercial exploited fish stocks assessed for msy that is fished sustainably,,
2003,percentage,commercial exploited fish stocks assessed for msy that is fished sustainably,north sea,50.0
2004,percentage,commercial exploited fish stocks assessed for msy that is fished sustainably,north sea,34.615
2005,percentage,commercial exploited fish stocks assessed for msy that is fished sustainably,north sea,34.615
2006,percentage,commercial exploited fish stocks assessed for msy that is fished sustainably,north sea,30.769
2007,percentage,commercial exploited fish stocks assessed for msy that is fished sustainably,north sea,30.769
2008,percentage,commercial exploited fish stocks assessed for msy that is fished sustainably,north sea,38.462
2009,percentage,commercial exploited fish stocks assessed for msy that is fished sustainably,north sea,30.769
2010,percentage,commercial exploited fish stocks assessed for msy that is fished sustainably,north sea,34.615
2011,percentage,commercial exploited fish stocks assessed for msy that is fished sustainably,north sea,42.308
2012,percentage,commercial exploited fish stocks assessed for msy that is fished sustainably,north sea,46.154
2013,percentage,commercial exploited fish stocks assessed for msy that is fished sustainably,north sea,50.0
2014,percentage,commercial exploited fish stocks assessed for msy that is fished sustainably,north sea,42.308
2015,percentage,commercial exploited fish stocks assessed for msy that is fished sustainably,north sea,42.308
2016,percentage,commercial exploited fish stocks assessed for msy that is fished sustainably,north sea,46.154
2017,percentage,commercial exploited fish stocks assessed for msy that is fished sustainably,north sea,48.148
2018,percentage,commercial exploited fish stocks assessed for msy that is fished sustainably,north sea,55.556
2019,percentage,commercial exploited fish stocks assessed for msy that is fished sustainably,north sea,40.741
2020,percentage,commercial exploited fish stocks assessed for msy that is fished sustainably,north sea,48.148
2021,percentage,commercial exploited fish stocks assessed for msy that is fished sustainably,north sea,55.556
2022,percentage,commercial exploited fish stocks assessed for msy that is fished sustainably,north sea,59.259
2023,percentage,commercial exploited fish stocks assessed for msy that is fished sustainably,north sea,70.37
2003,percentage,commercial exploited fish stocks assessed for msy that is fished sustainably,baltic sea,12.5
2004,percentage,commercial exploited fish stocks assessed for msy that is fished sustainably,baltic sea,12.5
2005,percentage,commercial exploited fish stocks assessed for msy that is fished sustainably,baltic sea,25.0
2006,percentage,commercial exploited fish stocks assessed for msy that is fished sustainably,baltic sea,12.5
2007,percentage,commercial exploited fish stocks assessed for msy that is fished sustainably,baltic sea,37.5
2008,percentage,commercial exploited fish stocks assessed for msy that is fished sustainably,baltic sea,25.0
2009,percentage,commercial exploited fish stocks assessed for msy that is fished sustainably,baltic sea,37.5
2010,percentage,commercial exploited fish stocks assessed for msy that is fished sustainably,baltic sea,37.5
2011,percentage,commercial exploited fish stocks assessed for msy that is fished sustainably,baltic sea,62.5
2012,percentage,commercial exploited fish stocks assessed for msy that is fished sustainably,baltic sea,75.0
2013,percentage,commercial exploited fish stocks assessed for msy that is fished sustainably,baltic sea,62.5
2014,percentage,commercial exploited fish stocks assessed for msy that is fished sustainably,baltic sea,62.5
2015,percentage,commercial exploited fish stocks assessed for msy that is fished sustainably,baltic sea,37.5
2016,percentage,commercial exploited fish stocks assessed for msy that is fished sustainably,baltic sea,37.5
2017,percentage,commercial exploited fish stocks assessed for msy that is fished sustainably,baltic sea,50.0
2018,percentage,commercial exploited fish stocks assessed for msy that is fished sustainably,baltic sea,50.0
2019,percentage,commercial exploited fish stocks assessed for msy that is fished sustainably,baltic sea,50.0
2020,percentage,commercial exploited fish stocks assessed for msy that is fished sustainably,baltic sea,62.5
2021,percentage,commercial exploited fish stocks assessed for msy that is fished sustainably,baltic sea,62.5
2022,percentage,commercial exploited fish stocks assessed for msy that is fished sustainably,baltic sea,75.0
2023,percentage,commercial exploited fish stocks assessed for msy that is fished sustainably,baltic sea,75.0
2003,percentage,share of msy examined stocks in all managed fish stocks,,43.59
2004,percentage,share of msy examined stocks in all managed fish stocks,,43.59
2005,percentage,share of msy examined stocks in all managed fish stocks,,43.59
2006,percentage,share of msy examined stocks in all managed fish stocks,,43.59
2007,percentage,share of msy examined stocks in all managed fish stocks,,43.59
2008,percentage,share of msy examined stocks in all managed fish stocks,,43.59
2009,percentage,share of msy examined stocks in all managed fish stocks,,43.59
2010,percentage,share of msy examined stocks in all managed fish stocks,,43.59
2011,percentage,share of msy examined stocks in all managed fish stocks,,43.59
2012,percentage,share of msy examined stocks in all managed fish stocks,,43.59
2013,percentage,share of msy examined stocks in all managed fish stocks,,43.59
2014,percentage,share of msy examined stocks in all managed fish stocks,,43.59
2015,percentage,share of msy examined stocks in all managed fish stocks,,43.59
2016,percentage,share of msy examined stocks in all managed fish stocks,,43.59
2017,percentage,share of msy examined stocks in all managed fish stocks,,44.872
2018,percentage,share of msy examined stocks in all managed fish stocks,,44.872
2019,percentage,share of msy examined stocks in all managed fish stocks,,44.872
2020,percentage,share of msy examined stocks in all managed fish stocks,,44.872
2021,percentage,share of msy examined stocks in all managed fish stocks,,44.872
2022,percentage,share of msy examined stocks in all managed fish stocks,,44.872
2023,percentage,share of msy examined stocks in all managed fish stocks,,44.872
2030,percentage,share of msy examined stocks in all managed fish stocks,,
