Year,Units,Series,Value
2009,million eur,preservation or restoration of forests in developing countries under the redd+ rulebook,3.0
2010,million eur,preservation or restoration of forests in developing countries under the redd+ rulebook,20.0
2011,million eur,preservation or restoration of forests in developing countries under the redd+ rulebook,12.0
2012,million eur,preservation or restoration of forests in developing countries under the redd+ rulebook,24.9
2013,million eur,preservation or restoration of forests in developing countries under the redd+ rulebook,36.3
2014,million eur,preservation or restoration of forests in developing countries under the redd+ rulebook,31.0
2015,million eur,preservation or restoration of forests in developing countries under the redd+ rulebook,15.7
2016,million eur,preservation or restoration of forests in developing countries under the redd+ rulebook,59.8
2017,million eur,preservation or restoration of forests in developing countries under the redd+ rulebook,68.0
2018,million eur,preservation or restoration of forests in developing countries under the redd+ rulebook,63.0
2019,million eur,preservation or restoration of forests in developing countries under the redd+ rulebook,63.5
2020,million eur,preservation or restoration of forests in developing countries under the redd+ rulebook,24.2
2021,million eur,preservation or restoration of forests in developing countries under the redd+ rulebook,4.0
2009,million eur,german gross bilateral development expenditure for the implementation of the un convention to combat desertification,40.0
2010,million eur,german gross bilateral development expenditure for the implementation of the un convention to combat desertification,152.5
2011,million eur,german gross bilateral development expenditure for the implementation of the un convention to combat desertification,198.6
2012,million eur,german gross bilateral development expenditure for the implementation of the un convention to combat desertification,245.3
2013,million eur,german gross bilateral development expenditure for the implementation of the un convention to combat desertification,248.7
2014,million eur,german gross bilateral development expenditure for the implementation of the un convention to combat desertification,239.7
2015,million eur,german gross bilateral development expenditure for the implementation of the un convention to combat desertification,271.9
2016,million eur,german gross bilateral development expenditure for the implementation of the un convention to combat desertification,347.4
2017,million eur,german gross bilateral development expenditure for the implementation of the un convention to combat desertification,483.4
2018,million eur,german gross bilateral development expenditure for the implementation of the un convention to combat desertification,571.8
2019,million eur,german gross bilateral development expenditure for the implementation of the un convention to combat desertification,745.6
2020,million eur,german gross bilateral development expenditure for the implementation of the un convention to combat desertification,703.5
2021,million eur,german gross bilateral development expenditure for the implementation of the un convention to combat desertification,974.8
