Year,Units,COMMENT_OBS_0,länder,GeoCode,Value
2006,percentage,r,,,4.187
2009,percentage,r,,,4.24
2012,percentage,r,,,4.299
2015,percentage,r,,,4.327
2018,percentage,r,,,5.175
2021,percentage,,,,4.85
2007,percentage,.,,,
2008,percentage,.,,,
2010,percentage,.,,,
2011,percentage,.,,,
2013,percentage,.,,,
2014,percentage,.,,,
2016,percentage,.,,,
2017,percentage,.,,,
2019,percentage,.,,,
2020,percentage,.,,,
2006,percentage,,baden-wuerttemberg,code08,4.868
2009,percentage,,baden-wuerttemberg,code08,4.93
2012,percentage,,baden-wuerttemberg,code08,5.0
2015,percentage,,baden-wuerttemberg,code08,5.021
2018,percentage,,baden-wuerttemberg,code08,6.152
2021,percentage,,baden-wuerttemberg,code08,5.936
2007,percentage,.,baden-wuerttemberg,code08,
2008,percentage,.,baden-wuerttemberg,code08,
2010,percentage,.,baden-wuerttemberg,code08,
2011,percentage,.,baden-wuerttemberg,code08,
2013,percentage,.,baden-wuerttemberg,code08,
2014,percentage,.,baden-wuerttemberg,code08,
2016,percentage,.,baden-wuerttemberg,code08,
2017,percentage,.,baden-wuerttemberg,code08,
2019,percentage,.,baden-wuerttemberg,code08,
2020,percentage,.,baden-wuerttemberg,code08,
2006,percentage,,bavaria,code09,3.431
2009,percentage,,bavaria,code09,3.473
2012,percentage,,bavaria,code09,3.52
2015,percentage,,bavaria,code09,3.543
2018,percentage,,bavaria,code09,4.456
2021,percentage,,bavaria,code09,4.518
2007,percentage,.,bavaria,code09,
2008,percentage,.,bavaria,code09,
2010,percentage,.,bavaria,code09,
2011,percentage,.,bavaria,code09,
2013,percentage,.,bavaria,code09,
2014,percentage,.,bavaria,code09,
2016,percentage,.,bavaria,code09,
2017,percentage,.,bavaria,code09,
2019,percentage,.,bavaria,code09,
2020,percentage,.,bavaria,code09,
2006,percentage,,berlin,code11,32.35
2009,percentage,,berlin,code11,32.54
2012,percentage,,berlin,code11,32.723
2015,percentage,,berlin,code11,32.814
2018,percentage,,berlin,code11,32.614
2021,percentage,,berlin,code11,30.66
2007,percentage,.,berlin,code11,
2008,percentage,.,berlin,code11,
2010,percentage,.,berlin,code11,
2011,percentage,.,berlin,code11,
2013,percentage,.,berlin,code11,
2014,percentage,.,berlin,code11,
2016,percentage,.,berlin,code11,
2017,percentage,.,berlin,code11,
2019,percentage,.,berlin,code11,
2020,percentage,.,berlin,code11,
2006,percentage,,brandenburg,code12,2.536
2009,percentage,,brandenburg,code12,2.579
2012,percentage,,brandenburg,code12,2.645
2015,percentage,,brandenburg,code12,2.686
2018,percentage,,brandenburg,code12,3.125
2021,percentage,,brandenburg,code12,2.619
2007,percentage,.,brandenburg,code12,
2008,percentage,.,brandenburg,code12,
2010,percentage,.,brandenburg,code12,
2011,percentage,.,brandenburg,code12,
2013,percentage,.,brandenburg,code12,
2014,percentage,.,brandenburg,code12,
2016,percentage,.,brandenburg,code12,
2017,percentage,.,brandenburg,code12,
2019,percentage,.,brandenburg,code12,
2020,percentage,.,brandenburg,code12,
2006,percentage,,bremen,code04,26.541
2009,percentage,,bremen,code04,26.953
2012,percentage,,bremen,code04,27.146
2015,percentage,,bremen,code04,27.195
2018,percentage,r,bremen,code04,28.253
2021,percentage,,bremen,code04,26.181
2007,percentage,.,bremen,code04,
2008,percentage,.,bremen,code04,
2010,percentage,.,bremen,code04,
2011,percentage,.,bremen,code04,
2013,percentage,.,bremen,code04,
2014,percentage,.,bremen,code04,
2016,percentage,.,bremen,code04,
2017,percentage,.,bremen,code04,
2019,percentage,.,bremen,code04,
2020,percentage,.,bremen,code04,
2006,percentage,,hamburg,code02,26.024
2009,percentage,,hamburg,code02,26.301
2012,percentage,,hamburg,code02,26.571
2015,percentage,,hamburg,code02,26.656
2018,percentage,,hamburg,code02,27.833
2021,percentage,,hamburg,code02,26.466
2007,percentage,.,hamburg,code02,
2008,percentage,.,hamburg,code02,
2010,percentage,.,hamburg,code02,
2011,percentage,.,hamburg,code02,
2013,percentage,.,hamburg,code02,
2014,percentage,.,hamburg,code02,
2016,percentage,.,hamburg,code02,
2017,percentage,.,hamburg,code02,
2019,percentage,.,hamburg,code02,
2020,percentage,.,hamburg,code02,
2006,percentage,,hesse,code06,4.784
2009,percentage,,hesse,code06,4.853
2012,percentage,,hesse,code06,4.913
2015,percentage,,hesse,code06,4.933
2018,percentage,,hesse,code06,5.827
2021,percentage,,hesse,code06,5.436
2007,percentage,.,hesse,code06,
2008,percentage,.,hesse,code06,
2010,percentage,.,hesse,code06,
2011,percentage,.,hesse,code06,
2013,percentage,.,hesse,code06,
2014,percentage,.,hesse,code06,
2016,percentage,.,hesse,code06,
2017,percentage,.,hesse,code06,
2019,percentage,.,hesse,code06,
2020,percentage,.,hesse,code06,
2006,percentage,,mecklenburg western pomerania,code13,1.904
2009,percentage,,mecklenburg western pomerania,code13,1.933
2012,percentage,,mecklenburg western pomerania,code13,1.982
2015,percentage,,mecklenburg western pomerania,code13,1.999
2018,percentage,,mecklenburg western pomerania,code13,2.296
2021,percentage,,mecklenburg western pomerania,code13,2.022
2007,percentage,.,mecklenburg western pomerania,code13,
2008,percentage,.,mecklenburg western pomerania,code13,
2010,percentage,.,mecklenburg western pomerania,code13,
2011,percentage,.,mecklenburg western pomerania,code13,
2013,percentage,.,mecklenburg western pomerania,code13,
2014,percentage,.,mecklenburg western pomerania,code13,
2016,percentage,.,mecklenburg western pomerania,code13,
2017,percentage,.,mecklenburg western pomerania,code13,
2019,percentage,.,mecklenburg western pomerania,code13,
2020,percentage,.,mecklenburg western pomerania,code13,
2006,percentage,,lower saxony,code03,3.612
2009,percentage,,lower saxony,code03,3.669
2012,percentage,,lower saxony,code03,3.731
2015,percentage,,lower saxony,code03,3.766
2018,percentage,,lower saxony,code03,4.647
2021,percentage,,lower saxony,code03,4.207
2007,percentage,.,lower saxony,code03,
