Year,Units,sector,Value
2023,million hectre,,55.843
2022,million hectre,,
2024,million hectre,,
2023,million hectre,sustainably farmed area,2.506
2022,million hectre,sustainably farmed area,
2024,million hectre,sustainably farmed area,
2023,million hectre,forest area sustainable management and restoration,12.008
2022,million hectre,forest area sustainable management and restoration,
2024,million hectre,forest area sustainable management and restoration,
2023,million hectre,terrestrial protected areas and mangrove forests in marine protected areas,41.329
2022,million hectre,terrestrial protected areas and mangrove forests in marine protected areas,
2024,million hectre,terrestrial protected areas and mangrove forests in marine protected areas,
