Year,Units,time series,COMMENT_OBS_0,sex,Value
2024,number,trained personnel,,,182.0
2025,number,trained personnel,,,256.0
2030,number,trained personnel,,,1000.0
2023,number,trained personnel,.,,
2025,number,trained personnel,,,256.0
2024,number,trained personnel still required to achieve the target,,,818.0
2025,number,trained personnel still required to achieve the target,,,744.0
2030,number,trained personnel still required to achieve the target,…,,
2023,number,trained personnel still required to achieve the target,.,,
2025,number,trained personnel still required to achieve the target,,,744.0
2024,number,trained personnel,,female,33.0
2025,number,trained personnel,,female,39.0
2030,number,trained personnel,…,female,
2023,number,trained personnel,.,female,
2025,number,trained personnel,,female,39.0
2024,number,trained personnel,,male,149.0
2025,number,trained personnel,,male,217.0
2030,number,trained personnel,…,male,
2023,number,trained personnel,.,male,
2025,number,trained personnel,,male,217.0
