Year,Units,Series,COMMENT_OBS_0,federal state,GeoCode,Value
1999,percentage,<u>time series of the indicator:</u> data from the federal statistical office,,,,2.852
2000,percentage,<u>time series of the indicator:</u> data from the federal statistical office,.,,,
2001,percentage,<u>time series of the indicator:</u> data from the federal statistical office,,,,3.573
2002,percentage,<u>time series of the indicator:</u> data from the federal statistical office,.,,,
2003,percentage,<u>time series of the indicator:</u> data from the federal statistical office,,,,4.299
2004,percentage,<u>time series of the indicator:</u> data from the federal statistical office,.,,,
2005,percentage,<u>time series of the indicator:</u> data from the federal statistical office,,,,4.593
2006,percentage,<u>time series of the indicator:</u> data from the federal statistical office,.,,,
2007,percentage,<u>time series of the indicator:</u> data from the federal statistical office,,,,5.079
2008,percentage,<u>time series of the indicator:</u> data from the federal statistical office,.,,,
2009,percentage,<u>time series of the indicator:</u> data from the federal statistical office,.,,,
2010,percentage,<u>time series of the indicator:</u> data from the federal statistical office,,,,5.636
2011,percentage,<u>time series of the indicator:</u> data from the federal statistical office,.,,,
2012,percentage,<u>time series of the indicator:</u> data from the federal statistical office,s,,,5.76
2013,percentage,<u>time series of the indicator:</u> data from the federal statistical office,,,,6.04
2014,percentage,<u>time series of the indicator:</u> data from the federal statistical office,s,,,6.18
2015,percentage,<u>time series of the indicator:</u> data from the federal statistical office,s,,,6.34
2016,percentage,<u>time series of the indicator:</u> data from the federal statistical office,,,,6.82
2017,percentage,<u>time series of the indicator:</u> data from the federal statistical office,s,,,6.82
2018,percentage,<u>time series of the indicator:</u> data from the federal statistical office,s,,,7.34
2019,percentage,<u>time series of the indicator:</u> data from the federal statistical office,s,,,7.75
2020,percentage,<u>time series of the indicator:</u> data from the federal statistical office,,,,9.59
2021,percentage,<u>time series of the indicator:</u> data from the federal statistical office,s,,,9.65
2022,percentage,<u>time series of the indicator:</u> data from the federal statistical office,s,,,9.774
2023,percentage,<u>time series of the indicator:</u> data from the federal statistical office,,,,11.17
2024,percentage,<u>time series of the indicator:</u> data from the federal statistical office,…,,,
2030,percentage,<u>time series of the indicator:</u> data from the federal statistical office,…,,,
1999,percentage,<u>time series of the indicator:</u> data from the federal statistical office,,baden-wuerttemberg,code08,5.3
2000,percentage,<u>time series of the indicator:</u> data from the federal statistical office,.,baden-wuerttemberg,code08,
2001,percentage,<u>time series of the indicator:</u> data from the federal statistical office,,baden-wuerttemberg,code08,6.7
2002,percentage,<u>time series of the indicator:</u> data from the federal statistical office,.,baden-wuerttemberg,code08,
2003,percentage,<u>time series of the indicator:</u> data from the federal statistical office,,baden-wuerttemberg,code08,6.4
2004,percentage,<u>time series of the indicator:</u> data from the federal statistical office,.,baden-wuerttemberg,code08,
2005,percentage,<u>time series of the indicator:</u> data from the federal statistical office,,baden-wuerttemberg,code08,6.4
2006,percentage,<u>time series of the indicator:</u> data from the federal statistical office,.,baden-wuerttemberg,code08,
2007,percentage,<u>time series of the indicator:</u> data from the federal statistical office,,baden-wuerttemberg,code08,6.6
2008,percentage,<u>time series of the indicator:</u> data from the federal statistical office,.,baden-wuerttemberg,code08,
2009,percentage,<u>time series of the indicator:</u> data from the federal statistical office,.,baden-wuerttemberg,code08,
2010,percentage,<u>time series of the indicator:</u> data from the federal statistical office,,baden-wuerttemberg,code08,7.955
2011,percentage,<u>time series of the indicator:</u> data from the federal statistical office,.,baden-wuerttemberg,code08,
2012,percentage,<u>time series of the indicator:</u> data from the federal statistical office,.,baden-wuerttemberg,code08,
2013,percentage,<u>time series of the indicator:</u> data from the federal statistical office,,baden-wuerttemberg,code08,8.717
2014,percentage,<u>time series of the indicator:</u> data from the federal statistical office,.,baden-wuerttemberg,code08,
2015,percentage,<u>time series of the indicator:</u> data from the federal statistical office,.,baden-wuerttemberg,code08,
2016,percentage,<u>time series of the indicator:</u> data from the federal statistical office,,baden-wuerttemberg,code08,9.312
2017,percentage,<u>time series of the indicator:</u> data from the federal statistical office,.,baden-wuerttemberg,code08,
2018,percentage,<u>time series of the indicator:</u> data from the federal statistical office,.,baden-wuerttemberg,code08,
2019,percentage,<u>time series of the indicator:</u> data from the federal statistical office,.,baden-wuerttemberg,code08,
2020,percentage,<u>time series of the indicator:</u> data from the federal statistical office,,baden-wuerttemberg,code08,12.222
2021,percentage,<u>time series of the indicator:</u> data from the federal statistical office,.,baden-wuerttemberg,code08,
2022,percentage,<u>time series of the indicator:</u> data from the federal statistical office,.,baden-wuerttemberg,code08,
2023,percentage,<u>time series of the indicator:</u> data from the federal statistical office,,baden-wuerttemberg,code08,13.95
2024,percentage,<u>time series of the indicator:</u> data from the federal statistical office,…,baden-wuerttemberg,code08,
2030,percentage,<u>time series of the indicator:</u> data from the federal statistical office,…,baden-wuerttemberg,code08,
1999,percentage,<u>time series of the indicator:</u> data from the federal statistical office,,bavaria,code09,2.2
2000,percentage,<u>time series of the indicator:</u> data from the federal statistical office,.,bavaria,code09,
2001,percentage,<u>time series of the indicator:</u> data from the federal statistical office,,bavaria,code09,2.8
2002,percentage,<u>time series of the indicator:</u> data from the federal statistical office,.,bavaria,code09,
2003,percentage,<u>time series of the indicator:</u> data from the federal statistical office,,bavaria,code09,3.9
2004,percentage,<u>time series of the indicator:</u> data from the federal statistical office,.,bavaria,code09,
2005,percentage,<u>time series of the indicator:</u> data from the federal statistical office,,bavaria,code09,3.9
2006,percentage,<u>time series of the indicator:</u> data from the federal statistical office,.,bavaria,code09,
2007,percentage,<u>time series of the indicator:</u> data from the federal statistical office,,bavaria,code09,4.5
2008,percentage,<u>time series of the indicator:</u> data from the federal statistical office,.,bavaria,code09,
2009,percentage,<u>time series of the indicator:</u> data from the federal statistical office,.,bavaria,code09,
2010,percentage,<u>time series of the indicator:</u> data from the federal statistical office,,bavaria,code09,6.187
2011,percentage,<u>time series of the indicator:</u> data from the federal statistical office,.,bavaria,code09,
2012,percentage,<u>time series of the indicator:</u> data from the federal statistical office,.,bavaria,code09,
2013,percentage,<u>time series of the indicator:</u> data from the federal statistical office,,bavaria,code09,6.938
2014,percentage,<u>time series of the indicator:</u> data from the federal statistical office,.,bavaria,code09,
2015,percentage,<u>time series of the indicator:</u> data from the federal statistical office,.,bavaria,code09,
2016,percentage,<u>time series of the indicator:</u> data from the federal statistical office,,bavaria,code09,8.258
2017,percentage,<u>time series of the indicator:</u> data from the federal statistical office,.,bavaria,code09,
2018,percentage,<u>time series of the indicator:</u> data from the federal statistical office,.,bavaria,code09,
2019,percentage,<u>time series of the indicator:</u> data from the federal statistical office,.,bavaria,code09,
2020,percentage,<u>time series of the indicator:</u> data from the federal statistical office,,bavaria,code09,12.175
2021,percentage,<u>time series of the indicator:</u> data from the federal statistical office,.,bavaria,code09,
2022,percentage,<u>time series of the indicator:</u> data from the federal statistical office,.,bavaria,code09,
2023,percentage,<u>time series of the indicator:</u> data from the federal statistical office,,bavaria,code09,13.705
2024,percentage,<u>time series of the indicator:</u> data from the federal statistical office,…,bavaria,code09,
2030,percentage,<u>time series of the indicator:</u> data from the federal statistical office,…,bavaria,code09,
1999,percentage,<u>time series of the indicator:</u> data from the federal statistical office,,berlin,code11,
2000,percentage,<u>time series of the indicator:</u> data from the federal statistical office,.,berlin,code11,
2001,percentage,<u>time series of the indicator:</u> data from the federal statistical office,.,berlin,code11,
2002,percentage,<u>time series of the indicator:</u> data from the federal statistical office,.,berlin,code11,
2003,percentage,<u>time series of the indicator:</u> data from the federal statistical office,.,berlin,code11,
2004,percentage,<u>time series of the indicator:</u> data from the federal statistical office,.,berlin,code11,
2005,percentage,<u>time series of the indicator:</u> data from the federal statistical office,.,berlin,code11,
2006,percentage,<u>time series of the indicator:</u> data from the federal statistical office,.,berlin,code11,
2007,percentage,<u>time series of the indicator:</u> data from the federal statistical office,.,berlin,code11,
2008,percentage,<u>time series of the indicator:</u> data from the federal statistical office,.,berlin,code11,
2009,percentage,<u>time series of the indicator:</u> data from the federal statistical office,.,berlin,code11,
2010,percentage,<u>time series of the indicator:</u> data from the federal statistical office,,berlin,code11,12.42
2011,percentage,<u>time series of the indicator:</u> data from the federal statistical office,.,berlin,code11,
2012,percentage,<u>time series of the indicator:</u> data from the federal statistical office,.,berlin,code11,
2013,percentage,<u>time series of the indicator:</u> data from the federal statistical office,,berlin,code11,15.0
2014,percentage,<u>time series of the indicator:</u> data from the federal statistical office,.,berlin,code11,
2015,percentage,<u>time series of the indicator:</u> data from the federal statistical office,.,berlin,code11,
2016,percentage,<u>time series of the indicator:</u> data from the federal statistical office,,berlin,code11,15.61
2017,percentage,<u>time series of the indicator:</u> data from the federal statistical office,.,berlin,code11,
2018,percentage,<u>time series of the indicator:</u> data from the federal statistical office,.,berlin,code11,
2019,percentage,<u>time series of the indicator:</u> data from the federal statistical office,.,berlin,code11,
2020,percentage,<u>time series of the indicator:</u> data from the federal statistical office,,berlin,code11,21.417
2021,percentage,<u>time series of the indicator:</u> data from the federal statistical office,.,berlin,code11,
2022,percentage,<u>time series of the indicator:</u> data from the federal statistical office,.,berlin,code11,
2023,percentage,<u>time series of the indicator:</u> data from the federal statistical office,,berlin,code11,33.333
2024,percentage,<u>time series of the indicator:</u> data from the federal statistical office,…,berlin,code11,
2030,percentage,<u>time series of the indicator:</u> data from the federal statistical office,…,berlin,code11,
1999,percentage,<u>time series of the indicator:</u> data from the federal statistical office,,brandenburg,code12,5.4
2000,percentage,<u>time series of the indicator:</u> data from the federal statistical office,.,brandenburg,code12,
2001,percentage,<u>time series of the indicator:</u> data from the federal statistical office,,brandenburg,code12,7.1
2002,percentage,<u>time series of the indicator:</u> data from the federal statistical office,.,brandenburg,code12,
2003,percentage,<u>time series of the indicator:</u> data from the federal statistical office,,brandenburg,code12,8.7
2004,percentage,<u>time series of the indicator:</u> data from the federal statistical office,.,brandenburg,code12,
2005,percentage,<u>time series of the indicator:</u> data from the federal statistical office,,brandenburg,code12,9.8
2006,percentage,<u>time series of the indicator:</u> data from the federal statistical office,.,brandenburg,code12,
2007,percentage,<u>time series of the indicator:</u> data from the federal statistical office,,brandenburg,code12,10.1
2008,percentage,<u>time series of the indicator:</u> data from the federal statistical office,.,brandenburg,code12,
2009,percentage,<u>time series of the indicator:</u> data from the federal statistical office,.,brandenburg,code12,
2010,percentage,<u>time series of the indicator:</u> data from the federal statistical office,,brandenburg,code12,10.637
2011,percentage,<u>time series of the indicator:</u> data from the federal statistical office,.,brandenburg,code12,
2012,percentage,<u>time series of the indicator:</u> data from the federal statistical office,.,brandenburg,code12,
2013,percentage,<u>time series of the indicator:</u> data from the federal statistical office,,brandenburg,code12,10.481
