Year,Units,air pollutant,Value
2005,2005 = 100,xxxinsgesamt,100.0
2006,2005 = 100,xxxinsgesamt,100.868
2007,2005 = 100,xxxinsgesamt,97.175
2008,2005 = 100,xxxinsgesamt,95.532
2009,2005 = 100,xxxinsgesamt,88.283
2010,2005 = 100,xxxinsgesamt,91.505
2011,2005 = 100,xxxinsgesamt,88.216
2012,2005 = 100,xxxinsgesamt,87.81
2013,2005 = 100,xxxinsgesamt,86.6
2014,2005 = 100,xxxinsgesamt,83.507
2015,2005 = 100,xxxinsgesamt,82.848
2016,2005 = 100,xxxinsgesamt,80.139
2017,2005 = 100,xxxinsgesamt,78.232
2018,2005 = 100,xxxinsgesamt,75.254
2019,2005 = 100,xxxinsgesamt,71.104
2020,2005 = 100,xxxinsgesamt,65.806
2021,2005 = 100,xxxinsgesamt,66.03
2022,2005 = 100,xxxinsgesamt,65.617
2030,2005 = 100,xxxinsgesamt,
2005,2005 = 100,so₂,100.0
2006,2005 = 100,so₂,99.851
2007,2005 = 100,so₂,94.578
2008,2005 = 100,so₂,93.783
2009,2005 = 100,so₂,82.202
2010,2005 = 100,so₂,83.922
2011,2005 = 100,so₂,79.035
2012,2005 = 100,so₂,78.331
2013,2005 = 100,so₂,75.95
2014,2005 = 100,so₂,70.81
2015,2005 = 100,so₂,71.173
2016,2005 = 100,so₂,65.821
2017,2005 = 100,so₂,63.637
2018,2005 = 100,so₂,61.18
2019,2005 = 100,so₂,54.834
2020,2005 = 100,so₂,51.354
2021,2005 = 100,so₂,53.086
2022,2005 = 100,so₂,54.165
2005,2005 = 100,noₓ,100.0
2006,2005 = 100,noₓ,104.366
2007,2005 = 100,noₓ,99.466
2008,2005 = 100,noₓ,97.885
2009,2005 = 100,noₓ,90.327
2010,2005 = 100,noₓ,91.056
2011,2005 = 100,noₓ,89.653
2012,2005 = 100,noₓ,89.73
2013,2005 = 100,noₓ,89.66
2014,2005 = 100,noₓ,86.912
2015,2005 = 100,noₓ,86.019
2016,2005 = 100,noₓ,83.528
2017,2005 = 100,noₓ,79.934
2018,2005 = 100,noₓ,75.516
2019,2005 = 100,noₓ,69.859
2020,2005 = 100,noₓ,61.474
2021,2005 = 100,noₓ,60.366
2022,2005 = 100,noₓ,58.92
2005,2005 = 100,nh₃,100.0
2006,2005 = 100,nh₃,99.19
2007,2005 = 100,nh₃,100.669
2008,2005 = 100,nh₃,101.345
2009,2005 = 100,nh₃,101.732
2010,2005 = 100,nh₃,102.082
2011,2005 = 100,nh₃,102.139
2012,2005 = 100,nh₃,102.784
2013,2005 = 100,nh₃,103.584
2014,2005 = 100,nh₃,104.727
2015,2005 = 100,nh₃,104.547
2016,2005 = 100,nh₃,103.588
2017,2005 = 100,nh₃,100.681
2018,2005 = 100,nh₃,96.141
2019,2005 = 100,nh₃,92.858
2020,2005 = 100,nh₃,86.421
2021,2005 = 100,nh₃,83.848
2022,2005 = 100,nh₃,81.733
2005,2005 = 100,nmvoc,100.0
2006,2005 = 100,nmvoc,100.392
2007,2005 = 100,nmvoc,95.619
2008,2005 = 100,nmvoc,91.663
2009,2005 = 100,nmvoc,83.435
2010,2005 = 100,nmvoc,92.113
2011,2005 = 100,nmvoc,85.714
2012,2005 = 100,nmvoc,84.632
2013,2005 = 100,nmvoc,81.471
2014,2005 = 100,nmvoc,78.517
2015,2005 = 100,nmvoc,76.777
2016,2005 = 100,nmvoc,76.259
2017,2005 = 100,nmvoc,76.3
2018,2005 = 100,nmvoc,73.24
2019,2005 = 100,nmvoc,71.368
2020,2005 = 100,nmvoc,69.194
2021,2005 = 100,nmvoc,70.614
2022,2005 = 100,nmvoc,70.048
2005,2005 = 100,pm2.5,100.0
2006,2005 = 100,pm2.5,100.541
2007,2005 = 100,pm2.5,95.541
2008,2005 = 100,pm2.5,92.984
2009,2005 = 100,pm2.5,83.718
2010,2005 = 100,pm2.5,88.3
2011,2005 = 100,pm2.5,84.539
2012,2005 = 100,pm2.5,83.573
2013,2005 = 100,pm2.5,82.333
2014,2005 = 100,pm2.5,76.566
2015,2005 = 100,pm2.5,75.724
2016,2005 = 100,pm2.5,71.5
2017,2005 = 100,pm2.5,70.558
2018,2005 = 100,pm2.5,70.192
2019,2005 = 100,pm2.5,66.602
2020,2005 = 100,pm2.5,60.585
2021,2005 = 100,pm2.5,62.236
2022,2005 = 100,pm2.5,63.22
