Year,Units,time series,Value
2015,million eur,pandemic prevention and response,137.85
2016,million eur,pandemic prevention and response,151.44
2017,million eur,pandemic prevention and response,220.78
2018,million eur,pandemic prevention and response,260.67
2019,million eur,pandemic prevention and response,272.54
2020,million eur,pandemic prevention and response,353.1
2021,million eur,pandemic prevention and response,168.0
2030,million eur,pandemic prevention and response,
2015,million eur,separate amount devoted to curbing the covid-19 pandemic,
2016,million eur,separate amount devoted to curbing the covid-19 pandemic,
2017,million eur,separate amount devoted to curbing the covid-19 pandemic,
2018,million eur,separate amount devoted to curbing the covid-19 pandemic,
2019,million eur,separate amount devoted to curbing the covid-19 pandemic,
2020,million eur,separate amount devoted to curbing the covid-19 pandemic,635.18
2021,million eur,separate amount devoted to curbing the covid-19 pandemic,222.7
2030,million eur,separate amount devoted to curbing the covid-19 pandemic,
