Year,Units,Value
1990,percentage,17.742
1991,percentage,17.297
1992,percentage,19.271
1993,percentage,20.43
1994,percentage,23.196
1995,percentage,23.529
1996,percentage,21.393
1997,percentage,23.645
1998,percentage,19.524
1999,percentage,26.728
2000,percentage,28.507
2001,percentage,29.358
2002,percentage,25.893
2003,percentage,31.25
2004,percentage,31.696
2005,percentage,30.242
2006,percentage,33.333
2007,percentage,30.488
2008,percentage,32.773
2009,percentage,33.2
2010,percentage,31.349
2011,percentage,36.905
2012,percentage,34.694
2013,percentage,35.341
2014,percentage,33.603
2015,percentage,29.96
2016,percentage,36.905
2017,percentage,34.836
2018,percentage,43.651
2019,percentage,41.564
2020,percentage,41.7
2021,percentage,43.426
2022,percentage,42.742
2023,percentage,41.81
2030,percentage,
