Year,Units,federal state,GeoCode,Value
2005,percentage,,,7.1
2006,percentage,,,8.4
2007,percentage,,,10.2
2008,percentage,,,10.1
2009,percentage,,,10.6
2010,percentage,,,11.4
2011,percentage,,,12.5
2012,percentage,,,13.6
2013,percentage,,,13.7
2014,percentage,,,14.3
2015,percentage,,,15.1
2016,percentage,,,14.9
2017,percentage,,,16.0
2018,percentage,,,16.8
2019,percentage,,,17.7
2020,percentage,,,19.4
2021,percentage,,,18.8
2022,percentage,,,20.3
2030,percentage,,,
2040,percentage,,,
2050,percentage,,,
2005,percentage,baden-wuerttemberg,code08,8.241
2006,percentage,baden-wuerttemberg,code08,10.011
2007,percentage,baden-wuerttemberg,code08,11.893
2008,percentage,baden-wuerttemberg,code08,11.474
2009,percentage,baden-wuerttemberg,code08,11.988
2010,percentage,baden-wuerttemberg,code08,13.486
2011,percentage,baden-wuerttemberg,code08,13.485
2012,percentage,baden-wuerttemberg,code08,14.964
2013,percentage,baden-wuerttemberg,code08,14.871
2014,percentage,baden-wuerttemberg,code08,15.266
2015,percentage,baden-wuerttemberg,code08,15.044
2016,percentage,baden-wuerttemberg,code08,15.244
2017,percentage,baden-wuerttemberg,code08,15.617
2018,percentage,baden-wuerttemberg,code08,16.262
2019,percentage,baden-wuerttemberg,code08,16.38
2005,percentage,bavaria,code09,8.586
2006,percentage,bavaria,code09,9.501
2007,percentage,bavaria,code09,10.465
2008,percentage,bavaria,code09,10.121
2009,percentage,bavaria,code09,10.803
2010,percentage,bavaria,code09,14.617
2011,percentage,bavaria,code09,15.509
2012,percentage,bavaria,code09,17.796
2013,percentage,bavaria,code09,18.342
2014,percentage,bavaria,code09,18.407
2015,percentage,bavaria,code09,19.1
2016,percentage,bavaria,code09,19.828
2017,percentage,bavaria,code09,20.312
2018,percentage,bavaria,code09,21.17
2019,percentage,bavaria,code09,20.684
2020,percentage,bavaria,code09,24.227
2005,percentage,berlin,code11,1.248
2006,percentage,berlin,code11,1.934
2007,percentage,berlin,code11,2.346
2008,percentage,berlin,code11,1.636
2009,percentage,berlin,code11,2.173
2010,percentage,berlin,code11,2.842
2011,percentage,berlin,code11,3.284
2012,percentage,berlin,code11,3.359
2013,percentage,berlin,code11,3.559
2014,percentage,berlin,code11,3.361
2015,percentage,berlin,code11,3.583
2016,percentage,berlin,code11,3.482
2017,percentage,berlin,code11,3.735
2018,percentage,berlin,code11,4.202
2019,percentage,berlin,code11,4.555
2020,percentage,berlin,code11,5.191
2005,percentage,brandenburg,code12,9.768
2006,percentage,brandenburg,code12,13.837
2007,percentage,brandenburg,code12,16.672
2008,percentage,brandenburg,code12,15.262
2009,percentage,brandenburg,code12,16.482
2010,percentage,brandenburg,code12,17.366
2011,percentage,brandenburg,code12,21.765
2012,percentage,brandenburg,code12,22.172
2013,percentage,brandenburg,code12,22.868
2014,percentage,brandenburg,code12,23.657
2015,percentage,brandenburg,code12,25.901
2016,percentage,brandenburg,code12,24.377
2017,percentage,brandenburg,code12,27.202
2018,percentage,brandenburg,code12,28.218
2019,percentage,brandenburg,code12,30.67
2005,percentage,bremen,code04,2.08
2006,percentage,bremen,code04,2.586
2007,percentage,bremen,code04,2.724
2008,percentage,bremen,code04,2.724
2009,percentage,bremen,code04,2.926
2010,percentage,bremen,code04,3.235
2011,percentage,bremen,code04,3.544
2012,percentage,bremen,code04,3.718
2013,percentage,bremen,code04,4.321
2014,percentage,bremen,code04,5.058
2015,percentage,bremen,code04,4.603
2016,percentage,bremen,code04,4.213
2017,percentage,bremen,code04,4.482
2018,percentage,bremen,code04,5.23
2019,percentage,bremen,code04,5.365
2005,percentage,hamburg,code02,2.748
2006,percentage,hamburg,code02,3.898
2007,percentage,hamburg,code02,4.569
2008,percentage,hamburg,code02,4.068
2009,percentage,hamburg,code02,4.628
2010,percentage,hamburg,code02,4.184
2011,percentage,hamburg,code02,4.515
2012,percentage,hamburg,code02,4.614
2013,percentage,hamburg,code02,4.481
2014,percentage,hamburg,code02,4.871
2015,percentage,hamburg,code02,4.919
2016,percentage,hamburg,code02,4.695
2017,percentage,hamburg,code02,4.936
2018,percentage,hamburg,code02,5.635
2019,percentage,hamburg,code02,7.267
2020,percentage,hamburg,code02,8.241
2021,percentage,hamburg,code02,9.205
2005,percentage,hesse,code06,4.264
2006,percentage,hesse,code06,5.286
2007,percentage,hesse,code06,6.082
2008,percentage,hesse,code06,5.838
2009,percentage,hesse,code06,6.331
2010,percentage,hesse,code06,7.506
2011,percentage,hesse,code06,8.099
2012,percentage,hesse,code06,8.259
2013,percentage,hesse,code06,8.68
2014,percentage,hesse,code06,8.742
2015,percentage,hesse,code06,9.491
2016,percentage,hesse,code06,9.609
2017,percentage,hesse,code06,10.2
2018,percentage,hesse,code06,11.532
2019,percentage,hesse,code06,11.527
2006,percentage,lower saxony,code03,8.704
2008,percentage,lower saxony,code03,10.888
2009,percentage,lower saxony,code03,11.365
2010,percentage,lower saxony,code03,12.26
2011,percentage,lower saxony,code03,13.766
2012,percentage,lower saxony,code03,15.581
2013,percentage,lower saxony,code03,15.598
2014,percentage,lower saxony,code03,16.179
2015,percentage,lower saxony,code03,18.543
2016,percentage,lower saxony,code03,18.575
2017,percentage,lower saxony,code03,20.922
