Year,Units,federal state,GeoCode,Value
2005,percentage,,,10.3
2006,percentage,,,11.7
2007,percentage,,,14.3
2008,percentage,,,15.2
2009,percentage,,,16.5
2010,percentage,,,17.1
2011,percentage,,,20.4
2012,percentage,,,23.6
2013,percentage,,,25.1
2014,percentage,,,27.3
2015,percentage,,,31.4
2016,percentage,,,31.6
2017,percentage,,,36.0
2018,percentage,,,37.6
2019,percentage,,,41.9
2020,percentage,,,45.2
2021,percentage,,,41.1
2030,percentage,,,
2050,percentage,,,
2040,percentage,,,
2005,percentage,baden-wuerttemberg,code08,8.77
2006,percentage,baden-wuerttemberg,code08,10.26
2007,percentage,baden-wuerttemberg,code08,11.48
2008,percentage,baden-wuerttemberg,code08,11.63
2009,percentage,baden-wuerttemberg,code08,12.33
2010,percentage,baden-wuerttemberg,code08,13.95
2011,percentage,baden-wuerttemberg,code08,15.47
2012,percentage,baden-wuerttemberg,code08,18.3
2013,percentage,baden-wuerttemberg,code08,19.12
2014,percentage,baden-wuerttemberg,code08,19.99
2015,percentage,baden-wuerttemberg,code08,20.14
2016,percentage,baden-wuerttemberg,code08,21.37
2017,percentage,baden-wuerttemberg,code08,22.72
2018,percentage,baden-wuerttemberg,code08,23.01
2019,percentage,baden-wuerttemberg,code08,24.59
2020,percentage,baden-wuerttemberg,code08,27.39
2030,percentage,,,
2050,percentage,,,
2040,percentage,,,
2005,percentage,bavaria,code09,18.45
2006,percentage,bavaria,code09,20.05
2007,percentage,bavaria,code09,22.14
2008,percentage,bavaria,code09,22.64
2009,percentage,bavaria,code09,24.65
2010,percentage,bavaria,code09,26.42
2011,percentage,bavaria,code09,27.67
2012,percentage,bavaria,code09,35.25
2013,percentage,bavaria,code09,37.1
2014,percentage,bavaria,code09,38.37
2015,percentage,bavaria,code09,40.33
2016,percentage,bavaria,code09,42.26
2017,percentage,bavaria,code09,44.36
2018,percentage,bavaria,code09,42.29
2019,percentage,bavaria,code09,45.78
2030,percentage,,,
2050,percentage,,,
2040,percentage,,,
2005,percentage,berlin,code11,0.74
2006,percentage,berlin,code11,0.81
2007,percentage,berlin,code11,0.83
2010,percentage,berlin,code11,2.35
2011,percentage,berlin,code11,2.39
2012,percentage,berlin,code11,1.7
2013,percentage,berlin,code11,1.89
2014,percentage,berlin,code11,2.17
2015,percentage,berlin,code11,2.47
2016,percentage,berlin,code11,2.47
2017,percentage,berlin,code11,2.72
2018,percentage,berlin,code11,2.7
2019,percentage,berlin,code11,2.73
2030,percentage,,,
2050,percentage,,,
2040,percentage,,,
2005,percentage,brandenburg,code12,22.21
2006,percentage,brandenburg,code12,28.18
2007,percentage,brandenburg,code12,38.86
2008,percentage,brandenburg,code12,37.65
2009,percentage,brandenburg,code12,40.99
2010,percentage,brandenburg,code12,48.26
2011,percentage,brandenburg,code12,54.48
2012,percentage,brandenburg,code12,55.82
2013,percentage,brandenburg,code12,59.34
2014,percentage,brandenburg,code12,62.18
2015,percentage,brandenburg,code12,68.97
2016,percentage,brandenburg,code12,69.93
2017,percentage,brandenburg,code12,82.26
2018,percentage,brandenburg,code12,84.48
2019,percentage,brandenburg,code12,94.96
2030,percentage,,,
2050,percentage,,,
2040,percentage,,,
2005,percentage,bremen,code04,3.91
2006,percentage,bremen,code04,4.2
2007,percentage,bremen,code04,5.02
2008,percentage,bremen,code04,5.8
2009,percentage,bremen,code04,6.07
2010,percentage,bremen,code04,7.1
2011,percentage,bremen,code04,8.8
2012,percentage,bremen,code04,9.94
2013,percentage,bremen,code04,13.16
2014,percentage,bremen,code04,13.92
2015,percentage,bremen,code04,15.08
2016,percentage,bremen,code04,13.94
2017,percentage,bremen,code04,14.8
2018,percentage,bremen,code04,14.72
2019,percentage,bremen,code04,16.28
2020,percentage,bremen,code04,17.97
2030,percentage,,,
2050,percentage,,,
2040,percentage,,,
2005,percentage,hamburg,code02,1.32
2006,percentage,hamburg,code02,2.74
2007,percentage,hamburg,code02,2.68
2008,percentage,hamburg,code02,2.73
2009,percentage,hamburg,code02,2.91
2010,percentage,hamburg,code02,2.63
2011,percentage,hamburg,code02,2.82
2012,percentage,hamburg,code02,2.94
2013,percentage,hamburg,code02,2.81
2014,percentage,hamburg,code02,3.68
2015,percentage,hamburg,code02,3.83
2016,percentage,hamburg,code02,3.3
2017,percentage,hamburg,code02,3.73
2018,percentage,hamburg,code02,4.51
2019,percentage,hamburg,code02,4.82
2020,percentage,hamburg,code02,4.88
2030,percentage,,,
2050,percentage,,,
2040,percentage,,,
2005,percentage,hesse,code06,3.79
2006,percentage,hesse,code06,4.22
2007,percentage,hesse,code06,5.4
2008,percentage,hesse,code06,5.53
2009,percentage,hesse,code06,6.71
2010,percentage,hesse,code06,7.86
2011,percentage,hesse,code06,9.68
2012,percentage,hesse,code06,11.07
2013,percentage,hesse,code06,12.52
2014,percentage,hesse,code06,14.18
2015,percentage,hesse,code06,16.38
2016,percentage,hesse,code06,16.9
2017,percentage,hesse,code06,19.47
2018,percentage,hesse,code06,22.3
2019,percentage,hesse,code06,22.72
2020,percentage,hesse,code06,24.81
2030,percentage,,,
2050,percentage,,,
2040,percentage,,,
2010,percentage,mecklenburg western pomerania,code13,56.67
2011,percentage,mecklenburg western pomerania,code13,72.87
2012,percentage,mecklenburg western pomerania,code13,90.19
2013,percentage,mecklenburg western pomerania,code13,61.07
2014,percentage,mecklenburg western pomerania,code13,63.33
2030,percentage,,,
2050,percentage,,,
2040,percentage,,,
2006,percentage,lower saxony,code03,18.63
2008,percentage,lower saxony,code03,26.25
2009,percentage,lower saxony,code03,26.6
2010,percentage,lower saxony,code03,27.23
2011,percentage,lower saxony,code03,33.84
2012,percentage,lower saxony,code03,39.51
2013,percentage,lower saxony,code03,40.3
2014,percentage,lower saxony,code03,44.83
2015,percentage,lower saxony,code03,54.28
2016,percentage,lower saxony,code03,55.72
2017,percentage,lower saxony,code03,68.11
2018,percentage,lower saxony,code03,72.53
2019,percentage,lower saxony,code03,82.9
2020,percentage,lower saxony,code03,92.04
2030,percentage,,,
2050,percentage,,,
2040,percentage,,,
2005,percentage,north rhine-westphalia,code05,5.7
2006,percentage,north rhine-westphalia,code05,5.85
2007,percentage,north rhine-westphalia,code05,6.14
2008,percentage,north rhine-westphalia,code05,4.71
2009,percentage,north rhine-westphalia,code05,8.03
2010,percentage,north rhine-westphalia,code05,7.88
2011,percentage,north rhine-westphalia,code05,8.9
2012,percentage,north rhine-westphalia,code05,10.84
2013,percentage,north rhine-westphalia,code05,10.15
2014,percentage,north rhine-westphalia,code05,10.47
2015,percentage,north rhine-westphalia,code05,12.58
2016,percentage,north rhine-westphalia,code05,12.29
2017,percentage,north rhine-westphalia,code05,13.75
2018,percentage,north rhine-westphalia,code05,14.18
2019,percentage,north rhine-westphalia,code05,16.7
2030,percentage,,,
2050,percentage,,,
2040,percentage,,,
2005,percentage,rhineland palatinate,code07,7.91
2006,percentage,rhineland palatinate,code07,10.16
2007,percentage,rhineland palatinate,code07,12.58
2008,percentage,rhineland palatinate,code07,13.02
2009,percentage,rhineland palatinate,code07,14.52
2010,percentage,rhineland palatinate,code07,15.29
2011,percentage,rhineland palatinate,code07,16.81
2012,percentage,rhineland palatinate,code07,20.59
2013,percentage,rhineland palatinate,code07,23.1
2014,percentage,rhineland palatinate,code07,25.43
2015,percentage,rhineland palatinate,code07,30.73
2016,percentage,rhineland palatinate,code07,31.23
2017,percentage,rhineland palatinate,code07,33.94
2018,percentage,rhineland palatinate,code07,34.94
2019,percentage,rhineland palatinate,code07,38.12
2020,percentage,rhineland palatinate,code07,41.25
2030,percentage,,,
2050,percentage,,,
2040,percentage,,,
2005,percentage,saarland,code10,3.23
2006,percentage,saarland,code10,4.22
2007,percentage,saarland,code10,5.3
2008,percentage,saarland,code10,4.66
2009,percentage,saarland,code10,4.92
2010,percentage,saarland,code10,5.66
2011,percentage,saarland,code10,6.53
2012,percentage,saarland,code10,6.6
2013,percentage,saarland,code10,7.61
2014,percentage,saarland,code10,10.22
2015,percentage,saarland,code10,13.08
2030,percentage,,,
2050,percentage,,,
2040,percentage,,,
2005,percentage,saxony,code14,7.87
2006,percentage,saxony,code14,8.51
2007,percentage,saxony,code14,11.53
2008,percentage,saxony,code14,11.99
2009,percentage,saxony,code14,12.92
2010,percentage,saxony,code14,12.71
2011,percentage,saxony,code14,15.29
2012,percentage,saxony,code14,16.08
2013,percentage,saxony,code14,17.28
2014,percentage,saxony,code14,18.28
2015,percentage,saxony,code14,20.7
2016,percentage,saxony,code14,19.76
2017,percentage,saxony,code14,21.37
2018,percentage,saxony,code14,21.2
2019,percentage,saxony,code14,22.78
2030,percentage,,,
2050,percentage,,,
2040,percentage,,,
2005,percentage,saxony-anhalt,code15,18.95
2006,percentage,saxony-anhalt,code15,22.89
2007,percentage,saxony-anhalt,code15,34.35
2008,percentage,saxony-anhalt,code15,38.97
2009,percentage,saxony-anhalt,code15,42.29
2010,percentage,saxony-anhalt,code15,41.95
2011,percentage,saxony-anhalt,code15,49.6
2012,percentage,saxony-anhalt,code15,53.88
2013,percentage,saxony-anhalt,code15,57.08
2014,percentage,saxony-anhalt,code15,62.21
2015,percentage,saxony-anhalt,code15,71.93
2016,percentage,saxony-anhalt,code15,61.92
