Year,Units,time series,Value
2005,percentage,government deficit,-3.319
2006,percentage,government deficit,-1.653
2007,percentage,government deficit,0.261
2008,percentage,government deficit,-0.116
2009,percentage,government deficit,-3.151
2010,percentage,government deficit,-4.379
2011,percentage,government deficit,-0.881
2012,percentage,government deficit,0.009
2013,percentage,government deficit,0.04
2014,percentage,government deficit,0.58
2015,percentage,government deficit,0.961
2016,percentage,government deficit,1.16
2017,percentage,government deficit,1.336
2018,percentage,government deficit,1.95
2019,percentage,government deficit,1.531
2020,percentage,government deficit,-4.333
2021,percentage,government deficit,-3.727
2005,percentage,structural deficit,-2.2
2006,percentage,structural deficit,-1.8
2007,percentage,structural deficit,-0.7
2008,percentage,structural deficit,-0.6
2009,percentage,structural deficit,-0.5
2010,percentage,structural deficit,-2.1
2011,percentage,structural deficit,-1.2
2012,percentage,structural deficit,0.1
2013,percentage,structural deficit,0.6
2014,percentage,structural deficit,0.9
2015,percentage,structural deficit,1.1
2016,percentage,structural deficit,1.0
2017,percentage,structural deficit,0.7
2018,percentage,structural deficit,1.3
2019,percentage,structural deficit,0.8
2020,percentage,structural deficit,-2.2
2021,percentage,structural deficit,-2.5
2005,percentage,gross domestic product (price-adjusted),0.7
2006,percentage,gross domestic product (price-adjusted),3.8
2007,percentage,gross domestic product (price-adjusted),3.0
2008,percentage,gross domestic product (price-adjusted),1.0
2009,percentage,gross domestic product (price-adjusted),-5.7
2010,percentage,gross domestic product (price-adjusted),4.2
2011,percentage,gross domestic product (price-adjusted),3.9
2012,percentage,gross domestic product (price-adjusted),0.4
2013,percentage,gross domestic product (price-adjusted),0.4
2014,percentage,gross domestic product (price-adjusted),2.2
2015,percentage,gross domestic product (price-adjusted),1.5
2016,percentage,gross domestic product (price-adjusted),2.2
2017,percentage,gross domestic product (price-adjusted),2.7
2018,percentage,gross domestic product (price-adjusted),1.0
2019,percentage,gross domestic product (price-adjusted),1.1
2020,percentage,gross domestic product (price-adjusted),-3.7
2021,percentage,gross domestic product (price-adjusted),2.6
