Year,Units,federal state,GeoCode,Value
1991,percentage,,,39.5
1992,percentage,,,41.9
1993,percentage,,,45.5
1994,percentage,,,47.9
1995,percentage,,,55.3
1996,percentage,,,58.1
1997,percentage,,,59.2
1998,percentage,,,59.8
1999,percentage,,,60.3
2000,percentage,,,59.2
2001,percentage,,,58.1
2002,percentage,,,59.8
2003,percentage,,,63.3
2004,percentage,,,65.0
2005,percentage,,,67.1
2006,percentage,,,66.4
2007,percentage,,,63.7
2008,percentage,,,65.2
2009,percentage,,,72.3
2010,percentage,,,81.0
2011,percentage,,,78.5
2012,percentage,,,79.8
2013,percentage,,,77.4
2014,percentage,,,74.5
2015,percentage,,,71.2
2016,percentage,,,68.3
2017,percentage,,,64.0
2018,percentage,,,60.8
2019,percentage,,,58.7
2020,percentage,,,68.0
2021,percentage,,,68.1
2022,percentage,,,65.0
2023,percentage,,,62.9
1991,percentage,baden-wuerttemberg,code08,11.531
1992,percentage,baden-wuerttemberg,code08,11.628
1993,percentage,baden-wuerttemberg,code08,11.639
1994,percentage,baden-wuerttemberg,code08,11.74
1995,percentage,baden-wuerttemberg,code08,11.975
1996,percentage,baden-wuerttemberg,code08,11.849
1997,percentage,baden-wuerttemberg,code08,12.167
1998,percentage,baden-wuerttemberg,code08,12.057
1999,percentage,baden-wuerttemberg,code08,11.943
2000,percentage,baden-wuerttemberg,code08,11.743
2001,percentage,baden-wuerttemberg,code08,11.421
2002,percentage,baden-wuerttemberg,code08,12.136
2003,percentage,baden-wuerttemberg,code08,12.261
2004,percentage,baden-wuerttemberg,code08,12.827
2005,percentage,baden-wuerttemberg,code08,13.257
2006,percentage,baden-wuerttemberg,code08,13.02
2007,percentage,baden-wuerttemberg,code08,12.803
2008,percentage,baden-wuerttemberg,code08,12.5
2009,percentage,baden-wuerttemberg,code08,17.699
2010,percentage,baden-wuerttemberg,code08,16.97
2011,percentage,baden-wuerttemberg,code08,16.898
2012,percentage,baden-wuerttemberg,code08,16.619
2013,percentage,baden-wuerttemberg,code08,16.597
2014,percentage,baden-wuerttemberg,code08,13.496
2015,percentage,baden-wuerttemberg,code08,13.297
2016,percentage,baden-wuerttemberg,code08,13.047
2017,percentage,baden-wuerttemberg,code08,10.998
2018,percentage,baden-wuerttemberg,code08,10.19
2019,percentage,baden-wuerttemberg,code08,10.099
2020,percentage,baden-wuerttemberg,code08,11.242
2021,percentage,baden-wuerttemberg,code08,10.629
2022,percentage,baden-wuerttemberg,code08,9.422
2023,percentage,baden-wuerttemberg,code08,8.608
1991,percentage,bavaria,code09,9.306
1992,percentage,bavaria,code09,9.132
1993,percentage,bavaria,code09,8.89
1994,percentage,bavaria,code09,8.88
1995,percentage,bavaria,code09,8.563
1996,percentage,bavaria,code09,8.553
1997,percentage,bavaria,code09,9.222
1998,percentage,bavaria,code09,9.395
1999,percentage,bavaria,code09,9.402
2000,percentage,bavaria,code09,9.017
2001,percentage,bavaria,code09,8.544
2002,percentage,bavaria,code09,8.428
2003,percentage,bavaria,code09,8.924
2004,percentage,bavaria,code09,9.204
2005,percentage,bavaria,code09,9.442
2006,percentage,bavaria,code09,9.437
2007,percentage,bavaria,code09,8.628
2008,percentage,bavaria,code09,8.198
2009,percentage,bavaria,code09,9.651
2010,percentage,bavaria,code09,9.554
2011,percentage,bavaria,code09,8.78
2012,percentage,bavaria,code09,8.503
2013,percentage,bavaria,code09,7.843
2014,percentage,bavaria,code09,7.063
2015,percentage,bavaria,code09,6.405
2016,percentage,bavaria,code09,5.728
2017,percentage,bavaria,code09,5.01
2018,percentage,bavaria,code09,4.441
2019,percentage,bavaria,code09,3.994
2020,percentage,bavaria,code09,5.034
2021,percentage,bavaria,code09,5.157
2022,percentage,bavaria,code09,4.924
2023,percentage,bavaria,code09,4.708
1991,percentage,berlin,code11,11.889
1992,percentage,berlin,code11,13.972
1993,percentage,berlin,code11,16.904
1994,percentage,berlin,code11,19.415
1995,percentage,berlin,code11,25.128
1996,percentage,berlin,code11,29.291
1997,percentage,berlin,code11,32.388
1998,percentage,berlin,code11,34.968
1999,percentage,berlin,code11,37.166
2000,percentage,berlin,code11,39.111
2001,percentage,berlin,code11,44.403
2002,percentage,berlin,code11,51.857
2003,percentage,berlin,code11,57.097
2004,percentage,berlin,code11,63.069
2005,percentage,berlin,code11,65.812
2006,percentage,berlin,code11,65.143
2007,percentage,berlin,code11,59.892
2008,percentage,berlin,code11,56.545
2009,percentage,berlin,code11,59.3
2010,percentage,berlin,code11,58.459
2011,percentage,berlin,code11,56.781
2012,percentage,berlin,code11,55.501
2013,percentage,berlin,code11,53.519
2014,percentage,berlin,code11,50.365
2015,percentage,berlin,code11,46.957
2016,percentage,berlin,code11,43.563
2017,percentage,berlin,code11,40.018
2018,percentage,berlin,code11,36.416
2019,percentage,berlin,code11,34.354
2020,percentage,berlin,code11,38.158
2021,percentage,berlin,code11,37.313
2022,percentage,berlin,code11,34.479
2023,percentage,berlin,code11,32.399
1991,percentage,brandenburg,code12,5.645
1992,percentage,brandenburg,code12,14.465
1993,percentage,brandenburg,code12,11.896
1994,percentage,brandenburg,code12,19.84
1995,percentage,brandenburg,code12,25.36
1996,percentage,brandenburg,code12,28.398
1997,percentage,brandenburg,code12,32.092
1998,percentage,brandenburg,code12,33.948
1999,percentage,brandenburg,code12,34.437
2000,percentage,brandenburg,code12,34.335
2001,percentage,brandenburg,code12,31.944
2002,percentage,brandenburg,code12,33.134
2003,percentage,brandenburg,code12,35.308
2004,percentage,brandenburg,code12,37.753
2005,percentage,brandenburg,code12,37.583
2006,percentage,brandenburg,code12,36.651
2007,percentage,brandenburg,code12,35.819
2008,percentage,brandenburg,code12,34.311
2009,percentage,brandenburg,code12,35.505
2010,percentage,brandenburg,code12,39.513
2011,percentage,brandenburg,code12,38.04
2012,percentage,brandenburg,code12,36.928
2013,percentage,brandenburg,code12,34.471
2014,percentage,brandenburg,code12,31.864
2015,percentage,brandenburg,code12,30.904
2016,percentage,brandenburg,code12,29.762
2017,percentage,brandenburg,code12,26.631
2018,percentage,brandenburg,code12,24.761
2019,percentage,brandenburg,code12,24.161
2020,percentage,brandenburg,code12,26.555
2021,percentage,brandenburg,code12,25.286
2022,percentage,brandenburg,code12,22.487
2023,percentage,brandenburg,code12,21.549
1991,percentage,bremen,code04,41.482
1992,percentage,bremen,code04,43.299
1993,percentage,bremen,code04,45.425
1994,percentage,bremen,code04,43.291
1995,percentage,bremen,code04,42.27
1996,percentage,bremen,code04,41.684
1997,percentage,bremen,code04,41.099
1998,percentage,bremen,code04,39.774
1999,percentage,bremen,code04,37.678
2000,percentage,bremen,code04,38.231
2001,percentage,bremen,code04,38.547
2002,percentage,bremen,code04,40.513
2003,percentage,bremen,code04,43.694
2004,percentage,bremen,code04,46.102
2005,percentage,bremen,code04,49.512
2006,percentage,bremen,code04,51.324
2007,percentage,bremen,code04,53.009
2008,percentage,bremen,code04,55.911
2009,percentage,bremen,code04,64.308
2010,percentage,bremen,code04,68.491
2011,percentage,bremen,code04,69.324
2012,percentage,bremen,code04,68.957
2013,percentage,bremen,code04,69.526
2014,percentage,bremen,code04,69.114
2015,percentage,bremen,code04,71.894
2016,percentage,bremen,code04,67.997
2017,percentage,bremen,code04,64.97
2018,percentage,bremen,code04,65.99
2019,percentage,bremen,code04,90.462
2020,percentage,bremen,code04,122.662
2021,percentage,bremen,code04,104.365
2022,percentage,bremen,code04,60.98
2023,percentage,bremen,code04,59.651
1991,percentage,hamburg,code02,16.069
1992,percentage,hamburg,code02,16.359
1993,percentage,hamburg,code02,17.852
1994,percentage,hamburg,code02,18.92
1995,percentage,hamburg,code02,19.185
1996,percentage,hamburg,code02,20.11
1997,percentage,hamburg,code02,19.814
1998,percentage,hamburg,code02,19.694
1999,percentage,hamburg,code02,20.529
2000,percentage,hamburg,code02,21.36
2001,percentage,hamburg,code02,21.451
2002,percentage,hamburg,code02,21.877
2003,percentage,hamburg,code02,23.185
2004,percentage,hamburg,code02,23.83
2005,percentage,hamburg,code02,24.286
2006,percentage,hamburg,code02,24.46
2007,percentage,hamburg,code02,23.635
2008,percentage,hamburg,code02,22.872
2009,percentage,hamburg,code02,26.203
2010,percentage,hamburg,code02,26.825
2011,percentage,hamburg,code02,26.294
2012,percentage,hamburg,code02,25.369
2013,percentage,hamburg,code02,24.799
2014,percentage,hamburg,code02,27.305
2015,percentage,hamburg,code02,26.687
2016,percentage,hamburg,code02,28.16
2017,percentage,hamburg,code02,27.934
2018,percentage,hamburg,code02,28.885
2019,percentage,hamburg,code02,26.871
2020,percentage,hamburg,code02,29.392
2021,percentage,hamburg,code02,26.358
2022,percentage,hamburg,code02,22.421
2023,percentage,hamburg,code02,21.576
1991,percentage,hesse,code06,15.797
1992,percentage,hesse,code06,15.67
1993,percentage,hesse,code06,15.331
1994,percentage,hesse,code06,15.867
1995,percentage,hesse,code06,16.223
1996,percentage,hesse,code06,16.44
1997,percentage,hesse,code06,16.087
1998,percentage,hesse,code06,16.543
1999,percentage,hesse,code06,16.179
2000,percentage,hesse,code06,15.423
2001,percentage,hesse,code06,14.918
2002,percentage,hesse,code06,15.479
2003,percentage,hesse,code06,16.007
2004,percentage,hesse,code06,16.915
2005,percentage,hesse,code06,17.56
2006,percentage,hesse,code06,17.784
2007,percentage,hesse,code06,16.915
2008,percentage,hesse,code06,16.801
2009,percentage,hesse,code06,19.103
2010,percentage,hesse,code06,22.854
2011,percentage,hesse,code06,23.475
2012,percentage,hesse,code06,24.81
2013,percentage,hesse,code06,23.964
2014,percentage,hesse,code06,24.783
2015,percentage,hesse,code06,23.675
2016,percentage,hesse,code06,22.608
2017,percentage,hesse,code06,20.925
2018,percentage,hesse,code06,18.648
2019,percentage,hesse,code06,18.202
2020,percentage,hesse,code06,20.883
2021,percentage,hesse,code06,19.164
2022,percentage,hesse,code06,17.051
2023,percentage,hesse,code06,16.583
1991,percentage,mecklenburg western pomerania,code13,4.712
1992,percentage,mecklenburg western pomerania,code13,8.71
1993,percentage,mecklenburg western pomerania,code13,7.27
1994,percentage,mecklenburg western pomerania,code13,12.612
1995,percentage,mecklenburg western pomerania,code13,16.594
1996,percentage,mecklenburg western pomerania,code13,22.151
1997,percentage,mecklenburg western pomerania,code13,26.092
1998,percentage,mecklenburg western pomerania,code13,29.781
1999,percentage,mecklenburg western pomerania,code13,31.778
2000,percentage,mecklenburg western pomerania,code13,33.366
2001,percentage,mecklenburg western pomerania,code13,32.29
2002,percentage,mecklenburg western pomerania,code13,34.322
2003,percentage,mecklenburg western pomerania,code13,35.967
2004,percentage,mecklenburg western pomerania,code13,38.12
2005,percentage,mecklenburg western pomerania,code13,40.513
2006,percentage,mecklenburg western pomerania,code13,40.623
2007,percentage,mecklenburg western pomerania,code13,35.786
2008,percentage,mecklenburg western pomerania,code13,34.039
2009,percentage,mecklenburg western pomerania,code13,34.035
2010,percentage,mecklenburg western pomerania,code13,35.286
2011,percentage,mecklenburg western pomerania,code13,33.434
2012,percentage,mecklenburg western pomerania,code13,33.407
2013,percentage,mecklenburg western pomerania,code13,31.402
2014,percentage,mecklenburg western pomerania,code13,29.752
2015,percentage,mecklenburg western pomerania,code13,28.83
2016,percentage,mecklenburg western pomerania,code13,25.402
2017,percentage,mecklenburg western pomerania,code13,22.19
2018,percentage,mecklenburg western pomerania,code13,21.022
2019,percentage,mecklenburg western pomerania,code13,19.444
2020,percentage,mecklenburg western pomerania,code13,21.412
2021,percentage,mecklenburg western pomerania,code13,20.341
2022,percentage,mecklenburg western pomerania,code13,18.131
2023,percentage,mecklenburg western pomerania,code13,15.345
1991,percentage,lower saxony,code03,20.776
1992,percentage,lower saxony,code03,20.744
1993,percentage,lower saxony,code03,20.286
1994,percentage,lower saxony,code03,21.076
1995,percentage,lower saxony,code03,22.109
1996,percentage,lower saxony,code03,22.98
1997,percentage,lower saxony,code03,23.505
1998,percentage,lower saxony,code03,23.557
1999,percentage,lower saxony,code03,23.533
2000,percentage,lower saxony,code03,22.828
2001,percentage,lower saxony,code03,22.629
2002,percentage,lower saxony,code03,24.054
2003,percentage,lower saxony,code03,25.583
2004,percentage,lower saxony,code03,26.703
2005,percentage,lower saxony,code03,27.703
2006,percentage,lower saxony,code03,26.875
2007,percentage,lower saxony,code03,26.364
2008,percentage,lower saxony,code03,25.918
2009,percentage,lower saxony,code03,27.769
2010,percentage,lower saxony,code03,29.681
2011,percentage,lower saxony,code03,28.961
2012,percentage,lower saxony,code03,28.023
2013,percentage,lower saxony,code03,27.787
2014,percentage,lower saxony,code03,26.892
