Year,Units,federal state,GeoCode,Value
1991,percentage,,,24.891
1992,percentage,,,25.201
1993,percentage,,,24.056
1994,percentage,,,24.141
1995,percentage,,,23.539
1996,percentage,,,23.027
1997,percentage,,,22.651
1998,percentage,,,22.798
1999,percentage,,,23.039
2000,percentage,,,23.114
2001,percentage,,,21.778
2002,percentage,,,20.122
2003,percentage,,,19.523
2004,percentage,,,19.091
2005,percentage,,,19.077
2006,percentage,,,19.803
2007,percentage,,,20.057
2008,percentage,,,20.303
2009,percentage,,,19.268
2010,percentage,,,19.543
2011,percentage,,,20.371
2012,percentage,,,20.321
2013,percentage,,,19.901
2014,percentage,,,20.04
2015,percentage,,,20.02
2016,percentage,,,20.298
2017,percentage,,,20.411
2018,percentage,,,21.065
2019,percentage,,,21.316
2020,percentage,,,21.541
2021,percentage,,,21.299
2022,percentage,,,22.085
2023,percentage,,,22.053
1991,percentage,baden-wuerttemberg,code08,24.707
1992,percentage,baden-wuerttemberg,code08,24.326
1993,percentage,baden-wuerttemberg,code08,23.065
1994,percentage,baden-wuerttemberg,code08,21.766
1995,percentage,baden-wuerttemberg,code08,20.41
1996,percentage,baden-wuerttemberg,code08,20.321
1997,percentage,baden-wuerttemberg,code08,19.561
1998,percentage,baden-wuerttemberg,code08,20.074
1999,percentage,baden-wuerttemberg,code08,20.331
2000,percentage,baden-wuerttemberg,code08,21.208
2001,percentage,baden-wuerttemberg,code08,21.57
2002,percentage,baden-wuerttemberg,code08,20.468
2003,percentage,baden-wuerttemberg,code08,19.268
2004,percentage,baden-wuerttemberg,code08,19.84
2005,percentage,baden-wuerttemberg,code08,19.227
2006,percentage,baden-wuerttemberg,code08,20.17
2007,percentage,baden-wuerttemberg,code08,20.372
2008,percentage,baden-wuerttemberg,code08,21.165
2009,percentage,baden-wuerttemberg,code08,20.642
2010,percentage,baden-wuerttemberg,code08,19.826
2011,percentage,baden-wuerttemberg,code08,20.631
2012,percentage,baden-wuerttemberg,code08,21.706
2013,percentage,baden-wuerttemberg,code08,20.888
2014,percentage,baden-wuerttemberg,code08,20.532
2015,percentage,baden-wuerttemberg,code08,20.807
2016,percentage,baden-wuerttemberg,code08,20.979
2017,percentage,baden-wuerttemberg,code08,21.847
2018,percentage,baden-wuerttemberg,code08,22.957
2019,percentage,baden-wuerttemberg,code08,22.968
2020,percentage,baden-wuerttemberg,code08,22.973
2021,percentage,baden-wuerttemberg,code08,22.857
1991,percentage,bavaria,code09,28.111
1992,percentage,bavaria,code09,27.402
1993,percentage,bavaria,code09,24.581
1994,percentage,bavaria,code09,25.283
1995,percentage,bavaria,code09,24.778
1996,percentage,bavaria,code09,24.414
1997,percentage,bavaria,code09,22.886
1998,percentage,bavaria,code09,23.711
1999,percentage,bavaria,code09,23.508
2000,percentage,bavaria,code09,24.274
2001,percentage,bavaria,code09,23.04
2002,percentage,bavaria,code09,21.684
2003,percentage,bavaria,code09,22.353
2004,percentage,bavaria,code09,21.328
2005,percentage,bavaria,code09,20.428
2006,percentage,bavaria,code09,23.701
2007,percentage,bavaria,code09,22.939
2008,percentage,bavaria,code09,23.153
2009,percentage,bavaria,code09,21.517
2010,percentage,bavaria,code09,21.601
2011,percentage,bavaria,code09,23.155
2012,percentage,bavaria,code09,22.917
2013,percentage,bavaria,code09,22.661
2014,percentage,bavaria,code09,23.017
2015,percentage,bavaria,code09,23.145
2016,percentage,bavaria,code09,22.95
2017,percentage,bavaria,code09,23.508
2018,percentage,bavaria,code09,24.398
