Year,Units,COMMENT_OBS_0,federal state,GeoCode,sector,Value
1991,percentage,,,,,2.4
1992,percentage,,,,,2.28
1993,percentage,,,,,2.21
1994,percentage,,,,,2.13
1995,percentage,,,,,2.13
1996,percentage,,,,,2.15
1997,percentage,,,,,2.18
1998,percentage,,,,,2.25
1999,percentage,,,,,2.33
2000,percentage,,,,,2.39
2001,percentage,,,,,2.38
2002,percentage,,,,,2.41
2003,percentage,,,,,2.44
2004,percentage,,,,,2.4
2005,percentage,,,,,2.4
2006,percentage,,,,,2.43
2007,percentage,,,,,2.42
2008,percentage,,,,,2.57
2009,percentage,,,,,2.69
2010,percentage,,,,,2.68
2011,percentage,,,,,2.75
2012,percentage,,,,,2.82
2013,percentage,,,,,2.78
2014,percentage,,,,,2.82
2015,percentage,,,,,2.88
2016,percentage,,,,,2.88
2017,percentage,,,,,2.99
2018,percentage,,,,,3.05
2019,percentage,,,,,3.11
2020,percentage,,,,,3.09
2021,percentage,,,,,3.08
2022,percentage,,,,,3.07
2023,percentage,,,,,3.2
2025,percentage,…,,,,
1995,percentage,,baden-wuerttemberg,code08,,3.42
1997,percentage,,baden-wuerttemberg,code08,,3.56
1999,percentage,,baden-wuerttemberg,code08,,3.66
2000,percentage,,baden-wuerttemberg,code08,,3.76
2001,percentage,,baden-wuerttemberg,code08,,3.71
2002,percentage,,baden-wuerttemberg,code08,,3.75
2003,percentage,,baden-wuerttemberg,code08,,3.75
2004,percentage,,baden-wuerttemberg,code08,,3.74
2005,percentage,,baden-wuerttemberg,code08,,4.08
2006,percentage,,baden-wuerttemberg,code08,,4.02
2007,percentage,,baden-wuerttemberg,code08,,4.16
2008,percentage,,baden-wuerttemberg,code08,,4.42
2009,percentage,,baden-wuerttemberg,code08,,4.63
2010,percentage,,baden-wuerttemberg,code08,,4.45
2011,percentage,,baden-wuerttemberg,code08,,4.8
2012,percentage,,baden-wuerttemberg,code08,,4.9
2013,percentage,,baden-wuerttemberg,code08,,4.75
2014,percentage,,baden-wuerttemberg,code08,,4.85
2015,percentage,,baden-wuerttemberg,code08,,4.9
2016,percentage,,baden-wuerttemberg,code08,,4.93
2017,percentage,,baden-wuerttemberg,code08,,5.64
2018,percentage,,baden-wuerttemberg,code08,,5.68
2019,percentage,,baden-wuerttemberg,code08,,5.79
2020,percentage,,baden-wuerttemberg,code08,,5.69
2021,percentage,,baden-wuerttemberg,code08,,5.64
2022,percentage,,baden-wuerttemberg,code08,,5.65
2025,percentage,…,baden-wuerttemberg,,,
1995,percentage,,bavaria,code09,,2.68
1997,percentage,,bavaria,code09,,2.66
1999,percentage,,bavaria,code09,,2.8
2000,percentage,,bavaria,code09,,2.83
2001,percentage,,bavaria,code09,,2.92
2002,percentage,,bavaria,code09,,2.9
2003,percentage,,bavaria,code09,,3.0
2004,percentage,,bavaria,code09,,2.93
2005,percentage,,bavaria,code09,,2.9
2006,percentage,,bavaria,code09,,2.97
2007,percentage,,bavaria,code09,,2.82
2008,percentage,,bavaria,code09,,3.02
2009,percentage,,bavaria,code09,,3.05
2010,percentage,,bavaria,code09,,3.01
2011,percentage,,bavaria,code09,,2.98
2012,percentage,,bavaria,code09,,3.08
2013,percentage,,bavaria,code09,,3.11
2014,percentage,,bavaria,code09,,3.13
2015,percentage,,bavaria,code09,,3.13
2016,percentage,,bavaria,code09,,3.13
2017,percentage,,bavaria,code09,,3.11
2018,percentage,,bavaria,code09,,3.19
2019,percentage,,bavaria,code09,,3.41
2020,percentage,,bavaria,code09,,3.36
2021,percentage,,bavaria,code09,,3.39
2022,percentage,,bavaria,code09,,3.4
2025,percentage,…,bavaria,,,
1995,percentage,,berlin,code11,,2.91
1997,percentage,,berlin,code11,,3.17
1999,percentage,,berlin,code11,,3.32
2000,percentage,,berlin,code11,,3.4
2001,percentage,,berlin,code11,,3.79
