Year,Units,time series,länder,GeoCode,Value
2018/2,percentage,all wired technologies,,,27.33
2019/1,percentage,all wired technologies,,,34.12
2019/2,percentage,all wired technologies,,,43.22
2020/1,percentage,all wired technologies,,,55.9
2020/2,percentage,all wired technologies,,,59.18
2021/1,percentage,all wired technologies,,,62.13
2021/2,percentage,all wired technologies,,,
2022/1,percentage,all wired technologies,,,68.04
2022/2,percentage,all wired technologies,,,70.5
2023/1,percentage,all wired technologies,,,73.6
2023/2,percentage,all wired technologies,,,74.8
2024/1,percentage,all wired technologies,,,76.47
2024/2,percentage,all wired technologies,,,77.89
2025/1,percentage,all wired technologies,,,79.0
2015,percentage,fibre-to-the-building/home (fttb/h),,,6.7
2016,percentage,fibre-to-the-building/home (fttb/h),,,7.1
2017,percentage,fibre-to-the-building/home (fttb/h),,,8.0
2018/2,percentage,fibre-to-the-building/home (fttb/h),,,9.0
2019/1,percentage,fibre-to-the-building/home (fttb/h),,,10.5
2019/2,percentage,fibre-to-the-building/home (fttb/h),,,11.8
2020/1,percentage,fibre-to-the-building/home (fttb/h),,,13.8
2020/2,percentage,fibre-to-the-building/home (fttb/h),,,14.5
2021/1,percentage,fibre-to-the-building/home (fttb/h),,,15.4
2021/2,percentage,fibre-to-the-building/home (fttb/h),,,
2022/1,percentage,fibre-to-the-building/home (fttb/h),,,18.2
2022/2,percentage,fibre-to-the-building/home (fttb/h),,,23.2
2023/1,percentage,fibre-to-the-building/home (fttb/h),,,28.2
2023/2,percentage,fibre-to-the-building/home (fttb/h),,,32.1
2024/1,percentage,fibre-to-the-building/home (fttb/h),,,35.69
2024/2,percentage,fibre-to-the-building/home (fttb/h),,,39.79
2025/1,percentage,fibre-to-the-building/home (fttb/h),,,42.85
2018/2,percentage,hybrid fiber coax (hfc),,,23.66
2019/1,percentage,hybrid fiber coax (hfc),,,29.28
2019/2,percentage,hybrid fiber coax (hfc),,,37.83
2020/1,percentage,hybrid fiber coax (hfc),,,50.18
2020/2,percentage,hybrid fiber coax (hfc),,,53.5
2021/1,percentage,hybrid fiber coax (hfc),,,56.54
2021/2,percentage,hybrid fiber coax (hfc),,,
2022/1,percentage,hybrid fiber coax (hfc),,,59.07
2022/2,percentage,hybrid fiber coax (hfc),,,60.55
2023/1,percentage,hybrid fiber coax (hfc),,,61.94
2023/2,percentage,hybrid fiber coax (hfc),,,62.04
2024/1,percentage,hybrid fiber coax (hfc),,,62.33
2024/2,percentage,hybrid fiber coax (hfc),,,62.41
2025/1,percentage,hybrid fiber coax (hfc),,,62.14
2022/1,percentage,all wired technologies,baden-wuerttemberg,code08,69.65
2022/2,percentage,all wired technologies,baden-wuerttemberg,code08,71.48
2023/1,percentage,all wired technologies,baden-wuerttemberg,code08,71.85
2023/2,percentage,all wired technologies,baden-wuerttemberg,code08,72.36
2024/1,percentage,all wired technologies,baden-wuerttemberg,code08,74.06
2024/2,percentage,all wired technologies,baden-wuerttemberg,code08,75.93
2025/1,percentage,all wired technologies,baden-wuerttemberg,code08,76.63
2022/1,percentage,all wired technologies,bavaria,code09,65.66
2022/2,percentage,all wired technologies,bavaria,code09,66.47
2023/1,percentage,all wired technologies,bavaria,code09,67.9
2023/2,percentage,all wired technologies,bavaria,code09,69.48
2024/1,percentage,all wired technologies,bavaria,code09,70.68
2024/2,percentage,all wired technologies,bavaria,code09,71.96
2025/1,percentage,all wired technologies,bavaria,code09,72.92
2022/1,percentage,all wired technologies,berlin,code11,96.64
2022/2,percentage,all wired technologies,berlin,code11,98.97
2023/1,percentage,all wired technologies,berlin,code11,99.3
2023/2,percentage,all wired technologies,berlin,code11,98.16
2024/1,percentage,all wired technologies,berlin,code11,95.13
2024/2,percentage,all wired technologies,berlin,code11,95.45
2025/1,percentage,all wired technologies,berlin,code11,95.73
2022/1,percentage,all wired technologies,brandenburg,code12,49.48
2022/2,percentage,all wired technologies,brandenburg,code12,47.77
2023/1,percentage,all wired technologies,brandenburg,code12,57.0
2023/2,percentage,all wired technologies,brandenburg,code12,59.89
2024/1,percentage,all wired technologies,brandenburg,code12,62.7
2024/2,percentage,all wired technologies,brandenburg,code12,64.0
2025/1,percentage,all wired technologies,brandenburg,code12,61.27
2022/1,percentage,all wired technologies,bremen,code04,92.36
2022/2,percentage,all wired technologies,bremen,code04,92.81
2023/1,percentage,all wired technologies,bremen,code04,94.5
2023/2,percentage,all wired technologies,bremen,code04,95.14
2024/1,percentage,all wired technologies,bremen,code04,95.93
2024/2,percentage,all wired technologies,bremen,code04,97.37
2025/1,percentage,all wired technologies,bremen,code04,97.6
2022/1,percentage,all wired technologies,hamburg,code02,98.15
2022/2,percentage,all wired technologies,hamburg,code02,93.77
2023/1,percentage,all wired technologies,hamburg,code02,94.9
2023/2,percentage,all wired technologies,hamburg,code02,95.33
