Year,Units,time series,COMMENT_OBS_0,Value
2015,2015 = 100,energy consumption in passenger transport,,100.0
2016,2015 = 100,energy consumption in passenger transport,,100.966
2017,2015 = 100,energy consumption in passenger transport,,101.473
2018,2015 = 100,energy consumption in passenger transport,,101.33
2019,2015 = 100,energy consumption in passenger transport,r,101.747
2020,2015 = 100,energy consumption in passenger transport,r,84.863
2021,2015 = 100,energy consumption in passenger transport,r,86.153
2022,2015 = 100,energy consumption in passenger transport,r,87.179
2023,2015 = 100,energy consumption in passenger transport,r,88.447
2024,2015 = 100,energy consumption in passenger transport,,88.631
2030,2015 = 100,energy consumption in passenger transport,…,
2015,2015 = 100,passenger transport performance,,100.0
2016,2015 = 100,passenger transport performance,,100.939
2017,2015 = 100,passenger transport performance,,101.245
2018,2015 = 100,passenger transport performance,,101.396
2019,2015 = 100,passenger transport performance,,101.952
2020,2015 = 100,passenger transport performance,,80.107
2021,2015 = 100,passenger transport performance,r,80.888
2022,2015 = 100,passenger transport performance,r,87.218
2023,2015 = 100,passenger transport performance,r,90.4498255
2024,2015 = 100,passenger transport performance,,91.814
2030,2015 = 100,passenger transport performance,…,
2015,2015 = 100,energy consumption per passenger-kilometre,,100.0
2016,2015 = 100,energy consumption per passenger-kilometre,,100.026
2017,2015 = 100,energy consumption per passenger-kilometre,,100.225
2018,2015 = 100,energy consumption per passenger-kilometre,,99.935
2019,2015 = 100,energy consumption per passenger-kilometre,r,99.799
2020,2015 = 100,energy consumption per passenger-kilometre,r,105.938
2021,2015 = 100,energy consumption per passenger-kilometre,r,106.508
2022,2015 = 100,energy consumption per passenger-kilometre,r,99.955
2023,2015 = 100,energy consumption per passenger-kilometre,r,97.785
2024,2015 = 100,energy consumption per passenger-kilometre,,96.533
2030,2015 = 100,energy consumption per passenger-kilometre,…,
