Year,Units,Series,federal state,GeoCode,Value
2005,number,locations of organisation registered with emas,,,1958.0
2006,number,locations of organisation registered with emas,,,1985.0
2007,number,locations of organisation registered with emas,,,1956.0
2008,number,locations of organisation registered with emas,,,1917.0
2009,number,locations of organisation registered with emas,,,1906.0
2010,number,locations of organisation registered with emas,,,1913.0
2011,number,locations of organisation registered with emas,,,1909.0
2012,number,locations of organisation registered with emas,,,1828.0
2013,number,locations of organisation registered with emas,,,1862.0
2014,number,locations of organisation registered with emas,,,1906.0
2015,number,locations of organisation registered with emas,,,2004.0
2016,number,locations of organisation registered with emas,,,2073.0
2017,number,locations of organisation registered with emas,,,2182.0
2018,number,locations of organisation registered with emas,,,2167.0
2019,number,locations of organisation registered with emas,,,2176.0
2020,number,locations of organisation registered with emas,,,2184.0
2021,number,locations of organisation registered with emas,,,2290.0
2022,number,locations of organisation registered with emas,,,2361.0
2030,number,locations of organisation registered with emas,,,
2010,number,locations of organisation registered with emas,baden-wuerttemberg,code08,493.0
2011,number,locations of organisation registered with emas,baden-wuerttemberg,code08,498.0
2012,number,locations of organisation registered with emas,baden-wuerttemberg,code08,508.0
2013,number,locations of organisation registered with emas,baden-wuerttemberg,code08,522.0
2014,number,locations of organisation registered with emas,baden-wuerttemberg,code08,538.0
2015,number,locations of organisation registered with emas,baden-wuerttemberg,code08,578.0
2016,number,locations of organisation registered with emas,baden-wuerttemberg,code08,582.0
2017,number,locations of organisation registered with emas,baden-wuerttemberg,code08,574.0
2018,number,locations of organisation registered with emas,baden-wuerttemberg,code08,591.0
2019,number,locations of organisation registered with emas,baden-wuerttemberg,code08,594.0
2020,number,locations of organisation registered with emas,baden-wuerttemberg,code08,597.0
2021,number,locations of organisation registered with emas,baden-wuerttemberg,code08,652.0
2022,number,locations of organisation registered with emas,baden-wuerttemberg,code08,655.0
2010,number,locations of organisation registered with emas,bavaria,code09,385.0
2011,number,locations of organisation registered with emas,bavaria,code09,391.0
2012,number,locations of organisation registered with emas,bavaria,code09,388.0
2013,number,locations of organisation registered with emas,bavaria,code09,391.0
2014,number,locations of organisation registered with emas,bavaria,code09,421.0
2015,number,locations of organisation registered with emas,bavaria,code09,466.0
2016,number,locations of organisation registered with emas,bavaria,code09,475.0
2017,number,locations of organisation registered with emas,bavaria,code09,524.0
2018,number,locations of organisation registered with emas,bavaria,code09,502.0
2019,number,locations of organisation registered with emas,bavaria,code09,478.0
2020,number,locations of organisation registered with emas,bavaria,code09,502.0
2021,number,locations of organisation registered with emas,bavaria,code09,535.0
2022,number,locations of organisation registered with emas,bavaria,code09,559.0
2010,number,locations of organisation registered with emas,berlin,code11,53.0
2011,number,locations of organisation registered with emas,berlin,code11,53.0
2012,number,locations of organisation registered with emas,berlin,code11,48.0
2013,number,locations of organisation registered with emas,berlin,code11,56.0
2014,number,locations of organisation registered with emas,berlin,code11,50.0
2015,number,locations of organisation registered with emas,berlin,code11,52.0
2016,number,locations of organisation registered with emas,berlin,code11,57.0
2017,number,locations of organisation registered with emas,berlin,code11,61.0
2018,number,locations of organisation registered with emas,berlin,code11,63.0
2019,number,locations of organisation registered with emas,berlin,code11,65.0
2020,number,locations of organisation registered with emas,berlin,code11,68.0
2021,number,locations of organisation registered with emas,berlin,code11,71.0
2022,number,locations of organisation registered with emas,berlin,code11,78.0
2010,number,locations of organisation registered with emas,brandenburg,code12,52.0
2011,number,locations of organisation registered with emas,brandenburg,code12,47.0
2012,number,locations of organisation registered with emas,brandenburg,code12,36.0
2013,number,locations of organisation registered with emas,brandenburg,code12,40.0
2014,number,locations of organisation registered with emas,brandenburg,code12,39.0
2015,number,locations of organisation registered with emas,brandenburg,code12,39.0
2016,number,locations of organisation registered with emas,brandenburg,code12,47.0
2017,number,locations of organisation registered with emas,brandenburg,code12,60.0
2018,number,locations of organisation registered with emas,brandenburg,code12,61.0
2019,number,locations of organisation registered with emas,brandenburg,code12,64.0
2020,number,locations of organisation registered with emas,brandenburg,code12,64.0
2021,number,locations of organisation registered with emas,brandenburg,code12,66.0
2022,number,locations of organisation registered with emas,brandenburg,code12,67.0
2010,number,locations of organisation registered with emas,bremen,code04,26.0
2011,number,locations of organisation registered with emas,bremen,code04,26.0
2012,number,locations of organisation registered with emas,bremen,code04,28.0
2013,number,locations of organisation registered with emas,bremen,code04,29.0
2014,number,locations of organisation registered with emas,bremen,code04,28.0
2015,number,locations of organisation registered with emas,bremen,code04,30.0
2016,number,locations of organisation registered with emas,bremen,code04,29.0
2017,number,locations of organisation registered with emas,bremen,code04,30.0
2018,number,locations of organisation registered with emas,bremen,code04,31.0
2019,number,locations of organisation registered with emas,bremen,code04,31.0
2020,number,locations of organisation registered with emas,bremen,code04,30.0
2021,number,locations of organisation registered with emas,bremen,code04,27.0
2022,number,locations of organisation registered with emas,bremen,code04,28.0
2010,number,locations of organisation registered with emas,hamburg,code02,37.0
2011,number,locations of organisation registered with emas,hamburg,code02,36.0
2012,number,locations of organisation registered with emas,hamburg,code02,33.0
2013,number,locations of organisation registered with emas,hamburg,code02,34.0
2014,number,locations of organisation registered with emas,hamburg,code02,38.0
2015,number,locations of organisation registered with emas,hamburg,code02,37.0
2016,number,locations of organisation registered with emas,hamburg,code02,37.0
2017,number,locations of organisation registered with emas,hamburg,code02,51.0
2018,number,locations of organisation registered with emas,hamburg,code02,58.0
2019,number,locations of organisation registered with emas,hamburg,code02,58.0
2020,number,locations of organisation registered with emas,hamburg,code02,59.0
2021,number,locations of organisation registered with emas,hamburg,code02,62.0
2022,number,locations of organisation registered with emas,hamburg,code02,64.0
2010,number,locations of organisation registered with emas,hesse,code06,138.0
2011,number,locations of organisation registered with emas,hesse,code06,139.0
2012,number,locations of organisation registered with emas,hesse,code06,140.0
2013,number,locations of organisation registered with emas,hesse,code06,132.0
2014,number,locations of organisation registered with emas,hesse,code06,134.0
2015,number,locations of organisation registered with emas,hesse,code06,144.0
2016,number,locations of organisation registered with emas,hesse,code06,159.0
2017,number,locations of organisation registered with emas,hesse,code06,159.0
2018,number,locations of organisation registered with emas,hesse,code06,142.0
2019,number,locations of organisation registered with emas,hesse,code06,126.0
2020,number,locations of organisation registered with emas,hesse,code06,132.0
2021,number,locations of organisation registered with emas,hesse,code06,148.0
2022,number,locations of organisation registered with emas,hesse,code06,145.0
2010,number,locations of organisation registered with emas,mecklenburg western pomerania,code13,10.0
2011,number,locations of organisation registered with emas,mecklenburg western pomerania,code13,10.0
2012,number,locations of organisation registered with emas,mecklenburg western pomerania,code13,10.0
2013,number,locations of organisation registered with emas,mecklenburg western pomerania,code13,10.0
2014,number,locations of organisation registered with emas,mecklenburg western pomerania,code13,10.0
2015,number,locations of organisation registered with emas,mecklenburg western pomerania,code13,7.0
2016,number,locations of organisation registered with emas,mecklenburg western pomerania,code13,8.0
2017,number,locations of organisation registered with emas,mecklenburg western pomerania,code13,8.0
2018,number,locations of organisation registered with emas,mecklenburg western pomerania,code13,6.0
2019,number,locations of organisation registered with emas,mecklenburg western pomerania,code13,3.0
2020,number,locations of organisation registered with emas,mecklenburg western pomerania,code13,3.0
2021,number,locations of organisation registered with emas,mecklenburg western pomerania,code13,2.0
2022,number,locations of organisation registered with emas,mecklenburg western pomerania,code13,2.0
2010,number,locations of organisation registered with emas,lower saxony,code03,91.0
2011,number,locations of organisation registered with emas,lower saxony,code03,95.0
2012,number,locations of organisation registered with emas,lower saxony,code03,82.0
2013,number,locations of organisation registered with emas,lower saxony,code03,82.0
2014,number,locations of organisation registered with emas,lower saxony,code03,84.0
2015,number,locations of organisation registered with emas,lower saxony,code03,85.0
2016,number,locations of organisation registered with emas,lower saxony,code03,80.0
2017,number,locations of organisation registered with emas,lower saxony,code03,93.0
2018,number,locations of organisation registered with emas,lower saxony,code03,88.0
2019,number,locations of organisation registered with emas,lower saxony,code03,87.0
2020,number,locations of organisation registered with emas,lower saxony,code03,85.0
2021,number,locations of organisation registered with emas,lower saxony,code03,89.0
2022,number,locations of organisation registered with emas,lower saxony,code03,90.0
2010,number,locations of organisation registered with emas,north rhine-westphalia,code05,262.0
2011,number,locations of organisation registered with emas,north rhine-westphalia,code05,263.0
2012,number,locations of organisation registered with emas,north rhine-westphalia,code05,232.0
2013,number,locations of organisation registered with emas,north rhine-westphalia,code05,231.0
2014,number,locations of organisation registered with emas,north rhine-westphalia,code05,222.0
2015,number,locations of organisation registered with emas,north rhine-westphalia,code05,229.0
2016,number,locations of organisation registered with emas,north rhine-westphalia,code05,236.0
2017,number,locations of organisation registered with emas,north rhine-westphalia,code05,232.0
2018,number,locations of organisation registered with emas,north rhine-westphalia,code05,229.0
2019,number,locations of organisation registered with emas,north rhine-westphalia,code05,236.0
2020,number,locations of organisation registered with emas,north rhine-westphalia,code05,232.0
2021,number,locations of organisation registered with emas,north rhine-westphalia,code05,233.0
2022,number,locations of organisation registered with emas,north rhine-westphalia,code05,255.0
2010,number,locations of organisation registered with emas,rhineland palatinate,code07,53.0
2011,number,locations of organisation registered with emas,rhineland palatinate,code07,48.0
2012,number,locations of organisation registered with emas,rhineland palatinate,code07,49.0
2013,number,locations of organisation registered with emas,rhineland palatinate,code07,53.0
2014,number,locations of organisation registered with emas,rhineland palatinate,code07,51.0
2015,number,locations of organisation registered with emas,rhineland palatinate,code07,45.0
2016,number,locations of organisation registered with emas,rhineland palatinate,code07,51.0
2017,number,locations of organisation registered with emas,rhineland palatinate,code07,53.0
