Year,Units,Series,Value
2015,2015 = 100,paper bearing the blue angel label as a proportion of the total paper consumption of the direct federal administration,100.0
2016,2015 = 100,paper bearing the blue angel label as a proportion of the total paper consumption of the direct federal administration,136.802
2017,2015 = 100,paper bearing the blue angel label as a proportion of the total paper consumption of the direct federal administration,147.738
2018,2015 = 100,paper bearing the blue angel label as a proportion of the total paper consumption of the direct federal administration,197.464
2019,2015 = 100,paper bearing the blue angel label as a proportion of the total paper consumption of the direct federal administration,204.067
2020,2015 = 100,paper bearing the blue angel label as a proportion of the total paper consumption of the direct federal administration,212.886
2015,2015 = 100,co2 emissions of commercially available vehicles in the public sector,100.0
2016,2015 = 100,co2 emissions of commercially available vehicles in the public sector,99.978
2017,2015 = 100,co2 emissions of commercially available vehicles in the public sector,100.046
2018,2015 = 100,co2 emissions of commercially available vehicles in the public sector,99.985
2019,2015 = 100,co2 emissions of commercially available vehicles in the public sector,100.63
2020,2015 = 100,co2 emissions of commercially available vehicles in the public sector,101.773
